Num_Acc,nearest_pompiers_min_osrm,nearest_sau_min_osrm
202200000066,3.47,13.29
202200000104,13.03,18.44
202200000113,3.73,25.7
202200000114,3.13,21.74
202200000115,18.27,15.87
202200000246,7.95,19.77
202200000267,2.54,10.14
202200000305,7.14,8.49
202200000360,18.6,10.3
202200000361,21.84,8.11
202200000466,2.03,22.73
202200000550,4.69,30.58
202200000554,2.05,21.9
202200000557,32.97,14.5
202200000612,25.18,12.66
202200000662,3.57,17.56
202200000665,10.23,26.33
202200000704,19.35,4.56
202200000706,26.2,5.3
202200000709,23.09,7.69
202200000822,23.7,4.77
202200000825,23.22,5.39
202200000931,14.61,11.51
202200000933,25.6,9.65
202200000967,25.36,9.41
202200000968,25.82,9.87
202200000975,1.3,11.01
202200000981,0.84,22.73
202200001028,28.84,21.79
202200001068,5.58,3.8
202200001142,22.23,7.3
202200001144,21.16,3.89
202200001334,24.58,17.21
202200001345,5.44,5.44
202200001346,47.27,8.82
202200001384,4.17,5.36
202200001442,3.66,18.26
202200001464,3.96,15.37
202200001467,5.23,17.89
202200001516,21.35,7.13
202200001517,23.87,7.92
202200001596,1.43,4.6
202200001659,35.87,18.61
202200001666,18.28,13.76
202200001683,4.43,22.5
202200001685,1.96,24.31
202200001717,22.94,6.99
202200001778,4.0,10.44
202200001831,21.72,5.76
202200001841,26.25,10.3
202200001845,20.81,4.86
202200001848,24.77,5.37
202200001863,21.13,4.08
202200001897,21.54,36.43
202200001963,7.51,10.55
202200001968,1.98,27.12
202200001973,3.32,17.2
202200002095,17.51,14.38
202200002101,19.53,11.68
202200002108,27.2,9.94
202200002216,4.37,5.58
202200002219,2.33,21.71
202200002278,11.72,40.29
202200002447,21.49,3.77
202200002448,16.69,20.58
202200002449,26.32,10.37
202200002451,7.35,21.02
202200002452,19.46,7.13
202200002457,22.02,6.34
202200002459,19.14,9.98
202200002589,11.84,25.32
202200002632,3.32,11.71
202200002828,23.02,7.07
202200002829,19.93,2.0
202200002830,22.18,7.66
202200002831,17.52,10.31
202200002913,1.35,27.44
202200002924,3.64,18.19
202200003080,29.17,22.12
202200003116,3.08,25.7
202200003178,4.87,2.91
202200003180,21.88,6.63
202200003184,21.57,3.31
202200003331,4.07,12.95
202200003466,35.22,28.54
202200003480,23.47,5.82
202200003481,23.71,6.32
202200003484,28.88,8.17
202200003486,24.54,4.41
202200003488,20.4,8.88
202200003496,24.3,5.69
202200003500,20.41,5.31
202200003561,2.48,25.71
202200003638,18.95,3.67
202200003692,4.09,5.24
202200003800,27.23,6.0
202200003950,2.12,7.71
202200003969,4.03,16.63
202200004009,7.98,23.02
202200004039,1.84,14.18
202200004106,0.34,18.63
202200004136,4.77,14.06
202200004156,0.94,25.51
202200004235,4.4,10.01
202200004272,19.13,10.61
202200004275,16.85,10.81
202200004277,24.64,6.83
202200004278,27.0,9.92
202200004456,4.1,4.83
202200004479,24.06,17.37
202200004480,28.8,21.48
202200004523,25.78,8.51
202200004568,5.62,20.94
202200004607,31.22,17.39
202200004608,26.23,14.38
202200004625,1.86,14.02
202200004626,20.8,14.43
202200004725,2.94,27.8
202200004964,22.21,9.64
202200005262,24.2,4.03
202200005298,14.93,12.9
202200005303,22.5,6.54
202200005307,25.66,8.4
202200005379,27.81,20.5
202200005438,18.24,13.98
202200005596,1.56,16.23
202200005600,26.2,10.25
202200005603,26.38,11.23
202200005666,3.72,30.97
202200005875,3.81,5.9
202200005886,2.42,20.79
202200005901,5.29,9.46
202200005919,4.84,23.58
202200005921,4.14,24.7
202200006002,22.9,8.4
202200006211,2.48,24.02
202200006280,36.64,23.94
202200006723,26.37,10.42
202200006725,20.09,7.66
202200006836,2.97,7.03
202200006837,20.58,9.2
202200006840,20.7,5.64
202200006841,15.13,12.86
202200006842,21.5,7.44
202200006938,16.75,12.76
202200006940,19.02,3.03
202200007070,1.16,13.89
202200007075,1.31,4.68
202200007091,1.6,10.18
202200007137,16.19,6.5
202200007141,0.69,27.08
202200007491,27.62,8.89
202200007575,5.75,26.54
202200007726,41.74,24.48
202200007887,2.23,17.52
202200007888,20.94,2.68
202200008120,13.08,15.06
202200008121,22.72,6.69
202200008123,18.81,21.94
202200008260,3.75,8.14
202200008263,23.06,7.11
202200008378,0.84,25.98
202200008478,6.23,15.46
202200008507,8.54,9.35
202200008508,2.14,15.25
202200008554,24.62,5.96
202200008555,19.63,8.01
202200008556,24.88,6.14
202200008737,23.68,6.26
202200008788,20.8,4.85
202200008879,25.15,2.99
202200008881,21.39,5.87
202200008922,24.2,2.96
202200009040,17.68,15.27
202200009111,24.62,5.96
202200009115,19.92,9.43
202200009120,23.85,7.37
202200009124,27.04,10.03
202200009285,21.87,6.64
202200009332,3.39,13.01
202200009401,2.32,11.3
202200009413,19.78,12.52
202200009424,2.4,19.31
202200009657,22.93,6.98
202200009661,30.15,13.15
202200009700,3.16,5.54
202200009724,15.9,15.17
202200009738,0.35,19.6
202200009739,3.87,14.22
202200009741,9.33,23.6
202200010011,3.08,16.84
202200010064,18.81,24.94
202200010080,9.57,10.92
202200010117,4.18,16.29
202200010202,4.22,3.24
202200010205,25.64,10.49
202200010224,3.88,4.44
202200010227,18.17,15.04
202200010387,23.23,7.28
202200010496,11.19,25.31
202200010582,4.49,15.54
202200010637,21.6,3.34
202200010638,27.79,11.84
202200010639,22.33,6.39
202200010737,10.77,27.41
202200010858,25.36,9.41
202200010910,25.94,9.99
202200010914,21.61,5.66
202200011059,21.59,5.64
202200011578,4.83,18.82
202200011581,13.05,15.08
202200011677,16.96,13.87
202200011680,22.27,6.32
202200011783,14.42,10.34
202200011875,1.99,19.16
202200011910,22.02,5.06
202200011911,16.55,13.46
202200011912,20.05,7.64
202200011913,28.49,12.54
202200012092,3.73,11.59
202200012162,25.25,6.34
202200012165,22.81,9.07
202200012231,5.09,24.32
202200012430,4.6,17.32
202200012431,20.85,9.59
202200012445,17.94,13.68
202200012454,17.57,11.68
202200012455,22.39,6.44
202200012550,3.43,12.26
202200012701,21.76,4.71
202200012902,4.47,19.14
202200012938,4.42,28.42
202200012942,21.44,16.59
202200012951,1.55,9.52
202200012970,2.32,14.7
202200013026,2.64,9.54
202200013029,22.56,8.74
202200013034,21.96,6.38
202200013193,2.09,8.55
202200013212,2.12,3.47
202200013218,0.6,33.34
202200013385,24.02,11.44
202200013389,21.23,2.32
202200013416,22.1,7.58
202200013418,19.72,8.86
202200013422,19.58,2.3
202200013500,25.28,18.59
202200013502,8.22,22.46
202200013950,8.1,6.84
202200013964,5.76,8.39
202200014054,19.55,4.43
202200014058,25.48,9.53
202200014061,17.75,4.14
202200014193,2.19,10.49
202200014243,3.7,6.56
202200014303,23.22,5.6
202200014393,6.69,29.38
202200014444,27.67,20.98
202200014465,2.16,15.85
202200014521,24.99,6.08
202200014833,21.45,5.5
202200014998,9.09,40.38
202200015016,21.06,6.31
202200015036,20.94,17.64
202200015095,1.61,15.39
202200015424,4.27,17.41
202200015508,4.81,9.01
202200015586,9.3,35.18
202200015621,4.41,14.04
202200015666,37.83,19.93
202200015670,14.48,24.09
202200015788,14.09,12.31
202200015819,20.6,8.17
202200015820,22.97,7.02
202200015822,19.02,3.24
202200015823,21.97,6.02
202200015824,27.35,11.4
202200016005,3.99,12.28
202200016194,8.26,26.41
202200016294,9.05,25.69
202200016410,2.93,30.87
202200016457,1.59,23.94
202200016460,12.39,13.88
202200016485,23.47,34.03
202200016543,1.5,6.5
202200016544,30.69,7.79
202200016593,22.37,5.88
202200016653,18.41,2.46
202200016753,6.0,6.23
202200016756,24.45,8.5
202200016890,7.52,28.54
202200016892,25.32,15.37
202200016894,3.58,23.13
202200016955,29.58,8.75
202200017081,24.0,12.93
202200017156,21.88,5.93
202200017161,23.56,4.16
202200017204,5.7,20.3
202200017232,26.22,10.27
202200017442,0.73,24.69
202200017444,0.86,6.07
202200017609,22.78,5.76
202200017788,3.89,23.77
202200017819,6.14,19.87
202200017844,10.16,10.16
202200017846,19.9,21.01
202200017888,20.99,8.34
202200017890,20.36,9.36
202200017892,19.35,6.41
202200018104,3.22,21.16
202200018129,8.1,9.02
202200018313,22.64,7.87
202200018315,19.4,2.71
202200018318,25.42,9.47
202200018320,24.66,8.71
202200018323,23.09,6.99
202200018326,23.86,7.92
202200018331,20.77,6.87
202200018333,41.82,28.29
202200018334,25.64,9.69
202200018337,25.72,11.82
202200018339,20.08,6.77
202200018373,8.32,25.06
202200018609,19.84,9.15
202200018629,1.63,16.11
202200018828,54.68,4.33
202200018857,21.27,7.79
202200018898,2.63,11.9
202200018957,23.0,11.2
202200018981,3.87,25.2
202200019198,9.57,19.0
202200019211,0.86,12.54
202200019213,5.12,15.21
202200019231,2.03,9.41
202200019349,2.98,9.26
202200019377,1.48,12.15
202200019381,1.77,14.67
202200019383,11.12,33.82
202200019394,3.52,13.02
202200019450,2.43,15.95
202200019498,3.21,9.08
202200019499,24.86,8.91
202200019500,24.55,8.6
202200019501,16.96,4.97
202200019502,22.92,5.58
202200019503,20.0,6.39
202200019597,2.55,5.01
202200019611,7.2,30.18
202200019660,1.01,16.05
202200019857,7.02,20.16
202200019924,3.18,18.88
202200019927,4.8,22.09
202200019944,16.67,21.16
202200019991,47.27,8.82
202200020052,18.83,10.32
202200020056,21.23,4.18
202200020199,5.01,10.62
202200020206,3.33,13.87
202200020237,29.16,28.02
202200020398,36.85,20.26
202200020441,3.99,16.03
202200020443,10.52,21.08
202200020519,1.4,20.75
202200020543,19.93,10.08
202200020545,24.9,6.39
202200020563,51.28,31.85
202200020566,13.47,28.5
202200020581,30.85,23.79
202200020677,1.49,17.12
202200020703,3.74,16.26
202200020704,4.06,29.75
202200020734,4.51,24.23
202200020736,17.25,27.81
202200020813,22.88,6.93
202200020844,19.63,7.31
202200020845,25.94,9.99
202200020846,22.14,6.19
202200020893,5.76,20.43
202200020909,5.16,15.34
202200020988,1.2,24.68
202200021081,3.31,4.5
202200021085,16.78,13.68
202200021087,25.95,11.54
202200021089,23.98,5.08
202200021168,2.02,23.71
202200021250,6.5,14.84
202200021332,3.76,17.07
202200021368,20.8,5.08
202200021440,1.6,15.57
202200021550,6.39,31.26
202200021552,2.38,18.14
202200021593,2.86,19.01
202200021595,9.31,19.87
202200021668,4.33,32.23
202200021699,5.57,5.83
202200021701,23.2,7.24
202200021703,20.02,6.19
202200021707,20.99,8.34
202200021794,1.65,14.59
202200021836,5.98,8.55
202200021849,20.51,5.98
202200021851,20.52,5.9
202200022035,25.08,6.34
202200022069,21.16,24.78
202200022120,2.79,6.58
202200022186,4.16,10.53
202200022703,29.29,11.8
202200022714,1.98,15.66
202200022797,30.52,22.11
202200022819,2.01,16.91
202200022842,1.64,2.39
202200022846,6.47,37.53
202200022891,5.44,7.36
202200022892,22.03,7.26
202200022893,21.86,7.83
202200022894,25.49,12.32
202200023014,5.08,5.88
202200023247,25.88,9.93
202200023345,4.45,3.63
202200023551,4.42,20.51
202200023552,16.3,15.14
202200023572,30.75,22.17
202200023600,49.92,11.03
202200023653,5.28,5.84
202200023916,3.15,24.44
202200023919,17.69,8.85
202200023922,4.5,21.37
202200023975,20.38,15.86
202200024118,17.48,11.57
202200024278,1.92,18.86
202200024397,2.25,24.82
202200024408,4.81,25.53
202200024410,23.54,9.8
202200024550,6.44,7.62
202200024628,1.35,20.79
202200024687,27.96,11.38
202200024766,5.52,1.88
202200024772,4.58,10.24
202200024880,8.6,19.87
202200024985,2.85,13.44
202200024988,2.15,24.35
202200025067,3.1,10.46
202200025068,3.68,5.22
202200025069,24.56,8.95
202200025070,20.7,2.44
202200025071,28.32,12.36
202200025228,22.76,7.8
202200025229,20.54,5.54
202200025230,20.23,7.05
202200025321,7.08,30.31
202200025401,29.03,19.37
202200025403,3.94,27.2
202200025522,24.82,8.87
202200025715,5.76,3.39
202200025716,19.02,3.24
202200025818,3.2,23.75
202200025882,21.89,3.86
202200026008,6.06,19.11
202200026025,12.13,22.68
202200026115,21.07,8.58
202200026116,19.33,8.92
202200026274,1.2,25.04
202200026360,19.39,8.28
202200026469,24.24,5.06
202200026554,50.81,23.67
202200026617,3.28,4.47
202200026722,5.32,16.81
202200026764,22.49,5.22
202200026829,6.82,17.1
202200026850,5.72,19.07
202200027070,1.08,12.82
202200027071,2.49,20.9
202200027176,1.29,3.16
202200027258,4.31,20.73
202200027267,0.78,31.67
202200027291,1.36,15.04
202200027401,25.16,9.21
202200027498,21.58,7.29
202200027499,25.42,6.25
202200027501,21.56,7.58
202200027503,23.56,5.54
202200027505,20.57,8.88
202200027506,19.24,5.55
202200027508,21.56,4.87
202200027510,21.62,7.1
202200027512,22.06,6.11
202200027634,8.71,21.89
202200027639,5.68,28.8
202200027689,18.8,10.26
202200027690,22.11,6.16
202200027691,23.21,5.95
202200027692,22.02,5.58
202200027693,21.14,6.27
