Num_Acc,nearest_pompiers_min_osrm,nearest_sau_min_osrm
202200000077,1.98,23.59
202200000098,11.93,9.5
202200000105,8.32,28.54
202200000119,12.68,14.2
202200000126,10.26,2.89
202200000127,11.91,12.25
202200000128,9.43,6.29
202200000159,15.18,17.3
202200000160,3.88,4.7
202200000171,6.02,5.56
202200000172,6.92,16.94
202200000207,9.68,28.77
202200000307,4.15,5.13
202200000308,10.04,9.18
202200000310,5.92,10.8
202200000319,7.82,10.87
202200000320,3.48,6.98
202200000322,2.73,6.22
202200000339,10.92,13.73
202200000362,3.01,2.93
202200000363,2.19,1.84
202200000364,6.5,6.48
202200000376,6.26,4.53
202200000464,9.66,8.98
202200000491,1.36,43.11
202200000506,9.68,16.94
202200000531,6.1,9.59
202200000553,3.52,5.26
202200000568,4.31,22.28
202200000604,8.42,8.9
202200000606,9.19,6.06
202200000678,1.71,22.86
202200000712,10.09,9.15
202200000714,10.04,11.38
202200000716,9.37,7.52
202200000717,7.68,2.52
202200000762,7.32,13.94
202200000765,7.14,5.82
202200000833,8.1,7.0
202200000836,4.24,12.25
202200000881,6.04,5.48
202200000883,10.88,11.86
202200001007,10.23,29.2
202200001014,17.79,20.57
202200001035,10.66,27.78
202200001069,2.92,1.77
202200001070,1.94,5.7
202200001073,4.12,5.48
202200001078,5.14,5.18
202200001079,3.6,14.52
202200001146,3.72,3.03
202200001148,12.15,8.36
202200001161,7.77,7.96
202200001166,6.58,8.66
202200001167,3.48,4.26
202200001168,10.91,11.75
202200001169,5.31,7.04
202200001170,4.4,11.15
202200001246,10.25,8.1
202200001275,11.47,27.58
202200001301,8.09,40.63
202200001356,5.37,6.75
202200001357,8.48,11.06
202200001358,5.89,10.76
202200001359,6.38,16.77
202200001385,6.63,3.82
202200001400,4.49,11.83
202200001401,5.7,7.7
202200001402,4.14,4.92
202200001452,5.47,2.34
202200001453,10.36,23.17
202200001475,7.5,10.82
202200001476,5.45,33.2
202200001487,11.07,13.51
202200001518,7.02,5.18
202200001539,5.13,2.1
202200001547,7.17,6.44
202200001548,5.38,5.95
202200001597,5.75,45.95
202200001648,7.07,32.01
202200001677,5.1,5.69
202200001679,10.88,6.85
202200001681,1.8,13.55
202200001700,11.59,13.61
202200001782,5.67,8.05
202200001799,5.97,25.42
202200001810,16.15,42.04
202200001854,4.17,3.48
202200001876,11.72,11.18
202200001882,5.97,9.44
202200001888,5.05,4.94
202200001913,4.93,4.44
202200002052,11.34,9.43
202200002102,18.22,49.59
202200002105,8.73,4.98
202200002106,22.53,53.9
202200002109,3.32,20.07
202200002112,5.15,6.73
202200002152,4.87,18.35
202200002155,14.54,30.6
202200002158,6.15,8.59
202200002218,5.66,15.39
202200002245,4.32,5.75
202200002249,6.39,2.8
202200002253,15.55,19.39
202200002254,4.86,6.31
202200002255,8.25,17.98
202200002291,11.48,12.15
202200002295,8.36,19.12
202200002322,9.18,4.53
202200002326,9.86,5.38
202200002329,8.64,6.31
202200002417,4.36,3.04
202200002465,2.39,3.67
202200002466,2.42,3.69
202200002469,9.54,8.0
202200002482,9.29,20.36
202200002484,7.0,17.66
202200002503,3.85,4.24
202200002507,9.68,3.51
202200002512,9.35,12.16
202200002513,5.73,7.82
202200002514,7.89,10.69
202200002539,0.52,16.59
202200002544,14.55,46.23
202200002584,3.18,11.22
202200002596,16.02,7.6
202200002597,6.88,32.12
202200002602,8.0,8.93
202200002635,2.15,1.8
202200002636,8.53,9.02
202200002637,4.11,4.08
202200002662,7.06,16.73
202200002663,4.76,5.54
202200002664,7.37,6.3
202200002665,7.7,15.94
202200002715,2.02,35.62
202200002716,3.18,10.66
202200002763,3.45,27.3
202200002833,5.99,1.85
202200002834,8.4,9.1
202200002835,9.01,9.68
202200002851,5.92,4.6
202200002852,2.4,4.69
202200002910,7.58,29.23
202200002911,4.53,25.52
202200002932,9.47,10.56
202200002968,2.1,3.8
202200002982,3.54,14.45
202200003021,2.58,19.56
202200003034,5.64,8.75
202200003039,3.15,20.18
202200003051,7.97,54.17
202200003057,6.28,18.03
202200003104,1.32,13.35
202200003113,7.54,9.63
202200003115,6.8,7.43
202200003192,10.61,10.08
202200003215,4.78,25.97
202200003227,1.9,3.99
202200003258,6.5,4.35
202200003359,14.62,41.71
202200003362,9.76,11.7
202200003377,10.21,10.55
202200003418,3.92,24.54
202200003464,6.03,14.52
202200003489,3.16,2.75
202200003507,4.27,24.38
202200003517,2.02,23.92
202200003519,7.28,4.33
202200003520,13.96,10.46
202200003522,1.27,4.1
202200003526,5.76,5.68
202200003528,6.57,4.9
202200003531,11.03,10.8
202200003534,4.94,7.3
202200003538,9.28,5.48
202200003546,8.94,10.94
202200003549,6.21,11.56
202200003572,4.48,22.85
202200003580,13.42,15.04
202200003582,3.57,2.4
202200003588,5.26,12.77
202200003672,4.62,4.99
202200003771,10.12,13.02
202200003775,2.2,18.52
202200003827,5.08,5.75
202200003831,3.53,5.62
202200003832,5.92,4.6
202200003836,7.98,8.64
202200003840,9.8,11.69
202200003845,2.83,4.92
202200003848,2.36,12.22
202200003852,3.49,12.98
202200003942,1.3,24.7
202200003989,2.33,22.19
202200004049,5.17,17.34
202200004050,4.35,12.0
202200004057,4.01,2.7
202200004059,4.22,5.47
202200004062,11.02,11.48
202200004115,7.22,23.03
202200004119,2.52,29.88
202200004121,4.93,4.93
202200004139,2.0,14.64
202200004149,8.03,20.95
202200004153,14.38,25.65
202200004170,15.86,9.5
202200004182,7.68,5.09
202200004238,5.28,7.64
202200004283,9.01,9.36
202200004303,9.75,10.45
202200004304,2.38,4.38
202200004314,2.49,2.64
202200004316,8.56,8.02
202200004317,6.87,7.81
202200004319,6.91,5.59
202200004408,8.28,11.27
202200004411,5.88,10.69
202200004412,7.77,6.46
202200004415,4.92,5.81
202200004437,8.21,4.59
202200004468,9.47,34.68
202200004469,6.21,32.65
202200004490,13.55,17.17
202200004491,12.24,10.41
202200004507,7.23,7.93
202200004524,5.66,10.66
202200004529,12.84,11.32
202200004534,5.84,5.28
202200004569,3.8,13.99
202200004595,9.51,15.44
202200004612,16.21,42.09
202200004613,14.37,5.95
202200004631,8.4,16.62
202200004632,10.04,19.82
202200004654,4.79,4.42
202200004655,9.1,7.94
202200004656,6.83,10.3
202200004657,4.26,3.71
202200004667,4.18,5.53
202200004739,1.68,2.31
202200004742,5.62,6.73
202200004753,5.55,9.27
202200004756,6.47,5.85
202200004772,9.39,11.52
202200004800,2.13,7.97
202200004826,3.51,4.92
202200004847,6.78,12.92
202200004868,5.14,7.52
202200004976,7.04,7.96
202200005003,1.78,29.02
202200005038,2.75,4.05
202200005040,3.18,13.59
202200005080,4.94,7.03
202200005111,3.01,3.51
202200005115,9.19,7.34
202200005118,12.52,8.73
202200005150,1.29,11.78
202200005279,5.61,6.95
202200005287,5.24,6.57
202200005351,32.49,31.77
202200005381,2.28,3.06
202200005397,4.76,7.97
202200005473,5.85,23.59
202200005589,1.15,19.85
202200005593,10.03,2.33
202200005660,5.24,3.49
202200005671,7.75,7.2
202200005805,3.67,4.45
202200005848,3.59,17.29
202200005851,8.21,19.5
202200005873,14.22,13.0
202200005883,3.86,6.52
202200005885,3.21,34.36
202200005900,12.79,14.9
202200005911,10.26,13.07
202200005918,6.38,26.96
202200005920,6.43,26.94
202200005923,6.23,9.01
202200005971,20.01,18.79
202200005987,12.1,32.44
202200006012,1.76,26.4
202200006045,9.13,18.86
202200006047,6.12,16.8
202200006079,9.68,9.03
202200006155,5.12,26.11
202200006203,1.47,17.05
202200006208,12.2,51.21
202200006210,15.6,19.33
202200006222,10.5,21.07
202200006251,10.45,25.48
202200006287,6.86,10.99
202200006290,9.1,5.96
202200006296,5.62,7.7
202200006299,8.55,4.74
202200006317,6.6,7.53
202200006337,4.81,4.72
202200006359,1.12,2.44
202200006360,12.3,14.42
202200006361,4.72,11.59
202200006366,4.72,7.04
202200006367,7.21,8.99
202200006374,9.24,1.87
202200006375,4.02,3.95
202200006424,14.15,15.98
202200006434,1.47,41.66
202200006458,7.12,40.68
202200006459,3.31,23.85
202200006460,17.18,48.55
202200006463,1.65,22.94
202200006464,10.68,44.32
202200006465,8.02,10.8
202200006473,8.74,7.53
202200006512,8.96,15.18
202200006513,3.82,4.49
202200006632,2.32,8.05
202200006643,4.12,4.32
202200006654,9.09,9.55
202200006655,9.71,10.17
202200006727,10.33,6.54
202200006745,4.66,4.62
202200006747,8.85,8.31
202200006748,3.03,3.81
202200006749,10.15,5.97
202200006766,7.6,25.28
202200006805,6.09,16.91
202200006810,5.56,40.79
202200006845,8.38,7.16
202200006855,4.12,4.59
202200006857,7.84,3.43
202200006859,3.5,4.23
202200006860,3.7,7.47
202200006863,9.73,5.87
202200006865,9.48,8.62
202200006914,4.22,2.99
202200006918,8.66,5.97
202200006927,6.64,12.4
202200006929,3.92,3.09
202200006931,4.06,8.53
202200006933,5.5,7.48
202200006946,7.01,10.48
202200006981,5.13,7.42
202200007131,3.37,13.65
202200007150,8.31,7.73
202200007154,7.46,9.55
202200007158,10.38,7.85
202200007160,11.51,15.89
202200007164,5.54,25.81
202200007189,9.0,14.9
202200007194,5.23,9.32
202200007200,6.1,8.19
202200007220,2.53,4.77
202200007221,6.76,6.47
202200007224,9.83,6.47
202200007239,4.76,16.91
202200007319,18.98,21.3
202200007320,5.96,6.68
202200007326,7.04,4.42
202200007330,5.64,6.42
202200007350,8.56,11.14
202200007396,11.46,3.04
202200007515,6.68,23.82
202200007516,7.54,12.1
202200007539,7.25,5.34
202200007551,6.92,8.98
202200007555,19.74,21.11
202200007560,7.82,6.28
202200007589,3.01,5.96
202200007616,2.85,3.12
202200007617,4.88,11.1
202200007621,5.82,4.06
202200007627,5.5,4.66
202200007630,2.44,4.18
202200007638,12.16,37.68
202200007642,1.43,6.17
202200007659,8.37,17.49
202200007769,9.08,22.49
202200007813,9.3,8.08
202200007906,5.91,9.9
202200007907,6.32,10.68
202200007917,4.31,4.39
202200007919,3.11,4.05
202200007921,5.08,6.24
202200007922,4.01,7.42
202200008082,6.87,25.1
202200008095,9.75,17.49
202200008096,9.09,21.04
202200008140,6.96,9.74
202200008142,7.18,13.72
202200008143,6.04,12.81
202200008154,6.58,8.05
202200008181,1.02,10.59
202200008235,7.33,6.18
202200008236,9.32,5.54
202200008238,9.25,5.48
