Num_Acc,nearest_pompiers_min_osrm,nearest_sau_min_osrm
202200000013,14.14,13.52
202200000068,0.44,18.43
202200000083,6.43,10.75
202200000084,4.62,24.67
202200000116,5.32,22.8
202200000247,3.23,41.61
202200000309,1.46,3.25
202200000381,5.62,4.7
202200000478,7.79,23.02
202200000493,4.64,19.24
202200000528,2.58,28.48
202200000556,10.72,12.21
202200000576,6.17,12.75
202200000598,7.62,36.02
202200000621,5.98,38.59
202200000622,5.53,7.4
202200000684,5.62,11.55
202200000787,4.37,9.85
202200000839,6.24,7.34
202200000843,3.25,5.94
202200000846,6.06,7.56
202200000849,4.07,6.92
202200000998,3.23,28.84
202200001003,4.07,11.8
202200001004,1.66,28.54
202200001015,4.74,21.73
202200001075,5.78,4.81
202200001149,1.56,13.66
202200001180,4.7,6.89
202200001412,3.24,3.03
202200001665,7.07,16.82
202200001718,8.97,10.55
202200001729,3.95,3.53
202200001742,3.38,27.93
202200002037,3.28,18.55
202200002118,9.28,12.75
202200002202,1.34,25.12
202200002225,7.41,9.57
202200002231,5.17,44.06
202200002262,28.58,26.54
202200002545,6.74,15.24
202200002565,8.44,26.54
202200002572,3.33,21.29
202200002580,4.01,17.97
202200002591,5.93,35.16
202200002658,4.45,3.49
202200002758,4.1,21.58
202200002759,1.93,17.62
202200002799,7.2,5.35
202200002836,5.17,4.7
202200002859,2.05,7.71
202200002979,8.58,7.61
202200003052,3.31,18.85
202200003114,5.54,3.33
202200003123,2.33,25.78
202200003372,3.15,23.54
202200003392,9.66,14.77
202200003396,5.8,24.18
202200003406,3.33,23.69
202200003409,2.04,19.78
202200003474,12.43,13.75
202200003487,7.15,17.74
202200003575,4.88,31.48
202200003597,4.36,6.99
202200003604,3.77,7.23
202200003695,5.17,5.37
202200003718,2.17,1.76
202200003765,4.69,10.67
202200004002,9.44,21.45
202200004074,4.51,4.54
202200004110,9.21,36.83
202200004116,1.7,18.72
202200004122,6.68,22.18
202200004155,16.15,13.78
202200004285,4.99,4.24
202200004329,4.81,11.17
202200004334,3.78,2.81
202200004420,2.75,5.61
202200004428,13.36,16.83
202200004454,2.25,17.84
202200004461,3.92,14.76
202200004462,9.78,29.43
202200004483,5.41,8.0
202200004544,4.71,5.86
202200004583,1.06,39.23
202200004658,5.48,4.41
202200004670,5.84,5.42
202200004745,5.52,6.66
202200004746,13.08,35.73
202200004748,3.65,10.09
202200004750,5.64,4.17
202200004752,4.72,6.4
202200004755,5.28,7.38
202200004758,2.3,9.68
202200004761,2.43,31.68
202200004762,6.15,7.26
202200004764,4.8,36.26
202200004765,4.85,4.47
202200004768,3.8,6.57
202200004773,3.74,7.12
202200004946,0.8,14.65
202200004971,2.14,4.9
202200005079,11.16,25.98
202200005159,8.54,14.43
202200005163,3.37,9.72
202200005292,4.82,7.67
202200005296,3.2,5.96
202200005304,3.75,21.31
202200005315,6.46,8.03
202200005327,3.88,3.93
202200005479,12.53,22.39
202200005492,5.91,22.16
202200005612,1.0,7.36
202200005862,5.4,29.63
202200006001,1.46,37.96
202200006003,2.92,18.64
202200006019,3.97,21.36
202200006020,0.49,28.85
202200006022,7.09,17.78
202200006035,4.38,54.18
202200006082,5.07,7.77
202200006141,8.62,5.84
202200006174,12.96,29.57
202200006187,3.82,25.08
202200006206,17.02,22.21
202200006225,10.57,11.34
202200006256,5.96,41.4
202200006257,2.07,36.95
202200006258,5.41,20.0
202200006368,7.04,6.63
202200006440,6.26,5.25
202200006441,21.92,20.9
202200006442,10.1,9.09
202200006450,6.29,19.26
202200006597,5.78,49.4
202200006625,27.4,25.36
202200006638,9.24,18.3
202200006758,4.26,5.68
202200006787,14.66,22.36
202200006796,6.11,13.14
202200006867,5.0,6.56
202200006949,4.32,7.08
202200007252,3.96,25.26
202200007301,8.55,12.87
202200007313,2.81,11.42
202200007605,6.39,22.08
202200007610,6.19,19.58
202200007620,1.72,20.45
202200007641,3.35,12.52
202200007653,16.35,16.4
202200007658,2.28,22.01
202200007675,3.49,23.99
202200007785,5.61,8.23
202200007800,6.51,17.7
202200007801,1.88,33.55
202200007802,14.9,21.26
202200007891,6.09,8.2
202200007892,2.98,17.88
202200007916,7.91,3.58
202200007940,4.29,3.32
202200007942,6.43,2.23
202200008065,17.59,33.52
202200008283,2.01,19.57
202200008318,8.06,7.64
202200008320,5.05,4.64
202200008417,8.41,30.44
202200008484,2.38,31.5
202200008489,8.09,19.81
202200008490,3.85,6.64
202200008497,5.62,22.22
202200008509,7.0,30.94
202200008559,4.44,7.29
202200008572,4.76,4.18
202200008668,7.61,22.66
202200008669,4.89,17.77
202200008670,5.38,24.83
202200008682,1.28,18.16
202200008698,7.14,32.88
202200008756,11.5,10.54
202200008757,7.33,6.99
202200008893,1.69,14.65
202200008894,3.79,6.46
202200008917,5.79,9.9
202200008937,5.16,4.19
202200008941,4.38,4.15
202200009005,6.27,4.96
202200009110,7.06,4.61
202200009116,7.47,7.95
202200009359,0.24,21.64
202200009389,3.63,35.9
202200009468,2.02,44.41
202200009487,3.12,43.78
202200009538,13.89,28.76
202200009540,1.71,16.89
202200009676,1.26,37.62
202200009696,11.57,30.17
202200009831,10.1,25.9
202200009839,3.01,20.43
202200009930,3.94,4.33
202200010051,6.39,13.04
202200010083,2.15,37.59
202200010102,7.46,8.09
202200010104,13.15,47.54
202200010220,5.27,7.36
202200010253,3.82,3.41
202200010271,5.34,8.48
202200010314,1.13,7.03
202200010446,10.96,20.7
202200010482,2.08,3.71
202200010538,6.62,7.62
202200010556,5.84,33.45
202200010643,5.38,8.14
202200010644,4.28,7.04
202200010703,6.1,16.48
202200010884,1.84,1.58
202200010948,1.23,8.95
202200010953,5.09,4.62
202200011026,6.63,8.22
202200011215,14.4,37.18
202200011382,4.6,3.63
202200011442,3.16,3.01
202200011518,11.41,18.81
202200011538,8.26,36.72
202200011539,10.76,22.7
202200011699,7.19,6.23
202200011700,7.2,6.78
202200011781,5.34,12.74
202200011829,13.58,30.52
202200011923,3.6,9.04
202200011924,6.34,11.3
202200011943,5.02,4.6
202200012080,15.12,30.58
202200012103,2.8,28.67
202200012140,2.83,28.91
202200012176,5.56,8.41
202200012260,5.78,4.14
202200012287,6.0,3.94
202200012381,9.95,14.8
202200012393,5.97,26.17
202200012395,5.32,26.82
202200012397,17.3,15.28
202200012433,3.02,20.28
202200012503,6.9,11.0
202200012507,5.23,12.4
202200012522,6.32,22.6
202200012845,4.77,7.54
202200012849,5.26,5.74
202200012885,3.31,2.35
202200012977,11.14,23.37
202200013006,3.15,26.1
202200013158,4.45,17.37
202200013256,4.15,8.93
202200013282,2.15,17.72
202200013428,6.13,7.92
202200013439,2.9,1.93
202200013492,5.55,3.32
202200013767,8.92,14.84
202200013913,8.21,17.81
202200013926,14.65,34.18
202200013932,1.17,31.03
202200013970,4.68,7.45
202200014020,2.42,2.01
202200014071,4.75,6.34
202200014075,4.5,7.99
202200014080,4.58,6.06
202200014111,7.44,7.46
202200014202,12.67,24.97
202200014234,7.08,43.43
202200014318,4.89,9.9
202200014358,5.86,4.35
202200014360,6.45,4.6
202200014363,2.58,9.96
202200014365,5.07,5.22
202200014371,5.69,4.94
202200014372,5.73,4.9
202200014410,8.64,17.11
202200014411,4.91,4.85
202200014434,10.4,10.4
202200014615,3.64,33.28
202200014636,2.27,12.66
202200014638,1.09,16.1
202200014816,4.29,3.33
202200014889,3.08,5.04
202200014912,2.26,4.41
202200014964,4.67,12.18
202200015001,14.5,13.44
202200015099,5.51,28.3
202200015214,4.56,5.5
202200015360,5.46,18.22
202200015362,4.14,6.89
202200015364,4.95,7.7
202200015369,5.63,5.58
202200015374,2.25,5.02
202200015398,14.27,17.33
202200015406,4.3,3.88
202200015412,7.74,7.68
202200015482,8.32,5.04
202200015485,2.36,3.85
202200015551,3.47,16.18
202200015572,5.54,6.92
202200015636,13.02,17.54
202200015833,3.15,5.92
202200015982,1.67,20.65
202200016047,3.78,15.1
202200016169,0.95,16.28
202200016170,6.93,6.52
202200016176,3.62,15.0
202200016178,4.9,7.69
202200016336,10.33,6.24
202200016400,6.46,27.21
202200016551,2.92,9.21
202200016554,1.98,10.67
202200016582,5.8,5.54
202200016656,8.8,7.42
202200016764,3.86,6.62
202200016766,4.26,8.04
202200016911,1.83,20.32
202200017048,4.47,11.92
202200017049,5.9,9.83
202200017214,3.19,6.92
202200017273,5.48,11.4
202200017275,4.21,6.97
202200017278,2.36,4.14
202200017281,3.03,9.82
202200017283,3.8,9.1
202200017287,3.52,2.58
202200017293,4.56,8.26
202200017294,3.38,6.27
202200017298,1.97,4.65
202200017446,6.3,5.34
202200017506,4.26,32.12
202200017621,5.44,5.03
202200017752,16.26,30.31
202200017778,4.37,34.86
202200017797,5.32,29.12
202200017813,15.67,41.14
202200018314,2.12,11.75
202200018371,5.78,13.91
202200018417,3.35,3.82
202200018581,3.37,9.72
202200018599,5.53,4.01
202200018834,5.52,25.16
202200018858,10.82,15.87
202200018881,4.88,8.96
202200019023,9.36,3.77
202200019124,4.46,14.17
202200019192,2.1,6.2
202200019203,1.73,37.52
202200019280,3.39,23.04
202200019282,5.85,24.96
202200019338,1.34,36.71
202200019379,4.29,35.33
202200019382,3.42,24.92
202200019386,7.4,38.02
202200019506,2.06,11.62
202200019507,2.46,1.91
202200019508,4.78,6.56
202200019626,1.31,18.17
202200019634,2.61,12.16
202200019799,4.58,8.37
202200019898,13.72,16.23
202200019912,9.16,30.43
202200020051,4.92,7.68
202200020197,3.58,2.0
202200020210,1.64,28.03
202200020211,19.96,26.36
202200020220,7.37,14.82
202200020227,5.46,36.73
202200020299,2.72,6.61
202200020371,16.29,42.22
202200020421,1.83,16.32
202200020458,6.04,5.08
202200020460,3.05,27.91
202200020523,5.33,14.14
202200020573,4.93,4.51
202200020586,9.54,32.11
202200020614,11.85,20.31
202200020617,6.35,42.04
202200020618,3.35,31.66
202200020653,2.5,25.78
202200020656,6.04,27.85
202200020669,9.02,17.44
202200020675,10.26,20.4
202200020689,9.3,11.45
202200020824,3.45,8.43
202200020854,3.97,6.82
202200020856,5.19,5.21
202200020862,4.6,27.94
202200020863,7.45,14.37
202200020911,3.42,3.01
202200020915,5.83,9.47
202200020967,4.7,5.13
202200021128,8.16,7.19
202200021182,3.78,5.27
202200021257,7.15,34.89
202200021291,10.67,22.67
202200021295,6.55,19.46
202200021419,7.06,28.44
202200021425,10.67,34.09
202200021426,2.96,37.19
202200021531,9.98,14.22
202200021596,1.11,34.88
202200021637,5.08,7.82
202200021674,6.87,22.17
202200021683,3.42,28.72
202200021711,1.4,10.95
202200021714,1.76,9.29
202200021795,5.64,3.96
202200021812,3.51,28.71
202200021843,8.73,4.44
202200021846,6.77,4.5
202200021939,1.07,19.4
202200021985,6.49,15.1
202200022040,5.53,4.42
202200022154,5.88,6.35
202200022285,10.64,26.97
202200022311,5.81,7.22
202200022581,5.38,4.37
202200022602,9.73,14.94
202200022809,0.39,10.42
202200022824,8.62,8.66
202200022898,5.9,10.91
202200022935,7.64,5.4
202200023008,0.46,40.79
202200023009,5.04,47.74
202200023055,6.04,5.07
202200023229,12.18,12.94
202200023242,7.62,38.24
202200023244,1.13,28.23
202200023246,10.9,12.09
202200023248,6.03,24.91
202200023255,3.81,3.55
202200023256,5.18,4.92
202200023347,6.27,8.78
202200023348,2.81,5.36
202200023423,6.49,7.11
202200023460,6.5,6.98
202200023520,5.41,42.49
202200023522,3.58,34.51
202200023541,9.41,20.72
202200023556,3.34,24.77
202200023568,2.1,25.44
202200023611,4.59,8.29
202200023710,2.99,4.9
202200023713,5.01,5.91
202200023813,4.1,7.12
202200023881,2.76,19.64
202200023967,2.9,2.49
202200024025,4.44,10.32
202200024057,3.9,3.71
202200024097,7.57,6.61
202200024135,5.5,6.52
202200024139,2.46,9.83
202200024142,3.52,6.1
202200024145,2.52,4.43
202200024270,1.94,36.89
202200024272,0.92,18.56
202200024277,5.5,7.66
202200024313,2.17,21.06
202200024369,2.87,20.8
202200024372,14.4,16.92
202200024434,6.12,32.82
202200024438,5.02,15.84
202200024488,1.57,25.94
202200024504,4.29,13.51
202200024521,7.49,6.52
202200024627,7.91,19.12
202200024630,0.81,19.44
202200024642,6.53,31.84
202200024645,3.21,15.04
202200024785,4.02,6.78
202200024787,2.24,10.16
202200024897,8.38,35.44
202200024994,2.49,20.13
202200024995,3.22,14.83
202200025003,4.81,27.48
202200025041,3.84,9.0
202200025077,4.69,14.54
202200025078,3.62,8.89
202200025079,4.76,6.5
202200025098,5.08,6.8
202200025105,4.28,6.56
202200025157,10.92,15.48
202200025190,4.01,28.55
202200025272,6.84,3.6
