Num_Acc,nearest_pompiers_min_osrm,nearest_sau_min_osrm
202200000085,8.09,9.03
202200000091,8.31,29.6
202200000230,3.2,18.15
202200000289,2.52,3.68
202200000317,6.39,5.29
202200000458,8.8,22.75
202200000488,4.14,7.33
202200000519,4.24,5.06
202200000523,5.04,15.69
202200000559,4.33,30.98
202200000579,3.24,5.01
202200000613,4.28,18.32
202200000629,12.53,24.4
202200000631,7.19,5.76
202200000649,8.24,9.22
202200000656,9.81,11.64
202200000659,8.49,14.25
202200000784,2.86,16.42
202200000788,4.65,5.48
202200000792,7.35,8.5
202200000813,10.76,8.25
202200000974,9.75,20.33
202200000977,11.4,20.56
202200001087,6.66,4.41
202200001274,2.46,23.04
202200001277,8.87,6.62
202200001317,4.07,24.44
202200001324,6.61,24.55
202200001325,9.6,11.94
202200001451,4.07,28.61
202200001519,3.01,6.1
202200001520,4.99,6.34
202200001530,6.93,4.47
202200001531,6.63,2.22
202200001532,6.72,2.72
202200001533,2.83,7.01
202200001684,9.95,8.55
202200001725,12.47,14.26
202200001745,0.82,13.32
202200001754,7.79,6.74
202200001762,6.49,24.21
202200001773,6.15,15.89
202200001796,3.21,6.14
202200001879,6.42,7.68
202200001889,3.2,31.24
202200001923,5.52,15.8
202200001926,5.64,4.86
202200001931,6.68,9.03
202200001933,9.12,5.56
202200001935,12.0,13.78
202200002092,1.62,34.97
202200002094,3.3,24.85
202200002193,10.12,23.81
202200002242,1.52,20.18
202200002288,4.8,7.81
202200002300,8.3,2.7
202200002371,2.85,3.67
202200002375,3.27,3.27
202200002378,6.0,6.0
202200002383,1.02,1.97
202200002488,7.62,6.66
202200002499,1.29,6.22
202200002551,4.17,13.04
202200002555,3.83,17.11
202200002569,6.36,22.42
202200002570,0.79,18.21
202200002676,6.36,8.9
202200002677,2.08,4.45
202200002678,6.72,6.21
202200002764,7.08,29.09
202200002915,7.65,9.38
202200002969,5.49,4.94
202200003037,7.4,9.32
202200003050,1.36,24.82
202200003133,5.26,36.89
