Num_Acc,nearest_pompiers_min_osrm,nearest_sau_min_osrm
202200000078,3.98,11.75
202200000079,4.99,10.01
202200000080,14.82,14.79
202200000081,1.05,22.5
202200000082,8.28,9.11
202200000106,4.04,12.15
202200000220,2.84,23.0
202200000291,6.76,10.24
202200000453,5.2,15.84
202200000455,2.32,20.83
202200000620,26.56,36.99
202200000661,8.85,4.73
202200000814,14.06,11.15
202200000817,3.93,7.58
202200000871,4.14,25.3
202200000989,4.31,13.54
202200000990,3.53,19.68
202200000991,5.91,15.66
202200001006,0.7,18.21
202200001140,5.84,5.18
202200001177,4.33,5.09
202200001247,4.09,14.62
202200001249,4.46,31.75
202200001258,2.57,18.26
202200001259,10.44,10.42
202200001260,1.63,18.59
202200001273,2.9,37.26
202200001305,5.86,31.24
202200001316,4.32,12.65
202200001327,9.81,40.27
202200001328,9.32,15.57
202200001344,6.21,18.26
202200001383,3.46,8.05
202200001435,9.68,24.0
202200001448,16.15,16.55
202200001650,3.66,2.63
202200001655,3.24,5.67
202200001657,7.71,22.11
202200001760,1.9,7.84
202200001792,19.23,20.65
202200002068,2.61,37.54
202200002148,5.83,7.92
202200002201,5.44,23.7
202200002207,7.6,18.02
202200002440,4.76,13.39
202200002444,5.56,12.7
202200002520,5.01,6.39
202200002550,2.38,10.32
202200002554,7.56,19.61
202200002567,2.28,37.02
202200002588,2.32,15.76
202200002627,3.16,3.97
202200002724,6.92,9.34
202200002755,8.64,19.95
202200002756,6.4,20.84
202200002757,15.04,12.75
202200002824,8.8,1.61
202200002825,4.72,7.48
202200002923,1.57,26.21
202200003026,4.59,7.02
202200003035,11.1,19.18
202200003036,7.11,17.53
202200003056,2.57,31.19
202200003167,9.86,6.64
202200003289,13.03,19.05
202200003440,6.6,5.8
202200003443,3.24,10.56
202200003447,6.44,8.21
202200003451,11.76,9.31
202200003455,5.15,6.59
202200003573,8.22,9.43
202200003816,4.64,6.46
202200003932,9.73,9.7
202200004016,3.15,4.35
202200004112,3.72,3.72
202200004120,9.6,15.95
202200004154,7.45,15.96
202200004168,13.94,19.49
202200004231,2.49,9.19
202200004270,8.18,8.87
202200004355,4.01,7.9
202200004358,4.27,5.95
202200004387,9.0,6.59
202200004447,6.85,13.14
202200004478,5.9,11.84
202200004567,11.77,21.36
202200004577,7.4,8.83
202200004582,1.23,8.36
202200004598,3.36,5.75
202200004621,3.76,9.44
202200004622,7.92,19.87
202200004623,5.09,12.27
202200004652,3.68,7.92
202200004736,3.33,35.72
202200004828,8.34,7.92
202200004832,7.19,16.11
202200004954,1.71,9.46
202200004957,6.89,5.09
202200005021,5.81,10.78
202200005071,9.38,17.82
202200005074,3.12,9.64
202200005199,9.08,9.6
202200005203,9.56,10.25
202200005206,4.04,3.5
202200005210,2.99,5.0
202200005213,7.61,9.7
202200005266,2.09,16.82
202200005282,5.42,2.39
202200005284,3.27,10.16
202200005317,7.17,10.12
202200005335,6.76,11.07
202200005476,5.16,10.15
202200005585,2.78,19.23
202200005604,5.38,4.24
202200005605,4.22,2.78
202200005608,6.68,4.64
202200005833,7.95,26.75
202200005867,3.29,37.65
202200005881,1.1,15.22
202200005895,6.33,19.95
202200005897,2.98,22.28
202200006025,10.3,9.87
202200006027,11.04,19.57
202200006059,3.46,12.73
202200006061,5.66,27.12
202200006131,2.06,4.94
202200006133,4.76,8.03
202200006135,2.73,5.42
202200006194,15.23,27.75
202200006240,0.3,24.1
202200006242,5.24,12.22
202200006356,9.77,6.48
202200006430,3.76,30.4
202200006431,10.5,12.92
202200006439,3.61,18.31
202200006634,9.88,10.85
202200006756,1.21,7.42
202200006784,0.12,23.68
202200006786,3.31,35.67
202200006816,3.68,7.82
202200006818,5.12,3.17
202200006823,6.0,17.0
202200006838,1.31,16.09
202200006960,1.51,8.77
202200007103,3.1,5.9
202200007120,3.4,6.5
202200007133,3.09,3.75
202200007214,4.57,11.21
202200007329,9.53,29.54
202200007496,5.07,13.77
202200007499,4.97,5.91
202200007541,4.59,3.05
202200007591,3.93,4.13
202200007595,2.36,19.46
202200007644,2.65,30.18
202200007670,2.14,37.65
202200007722,7.11,22.08
202200007780,5.52,24.18
202200007782,2.27,22.63
202200007783,8.98,10.25
202200007805,1.44,1.64
202200007962,6.27,4.24
202200008093,2.74,23.2
202200008119,10.52,19.69
202200008127,5.86,6.57
202200008239,4.5,1.2
202200008243,3.04,2.41
202200008246,3.64,3.23
202200008248,6.05,4.73
202200008289,3.95,4.88
202200008373,9.55,33.32
202200008377,11.54,10.05
202200008397,0.72,30.83
202200008406,6.39,17.39
202200008658,9.37,18.64
202200008667,1.27,21.55
202200008813,1.41,12.38
202200008842,6.14,16.66
202200008875,4.97,2.04
202200009097,3.8,7.67
202200009122,3.03,8.32
202200009203,7.8,7.01
202200009365,1.93,3.48
202200009420,7.39,27.41
202200009647,2.02,5.36
202200009693,4.3,22.99
202200009694,2.5,21.12
202200009815,7.12,14.2
202200009825,5.77,6.8
202200009928,6.82,9.23
202200010001,8.88,28.83
202200010007,6.18,26.65
202200010073,6.24,18.73
202200010101,4.72,9.84
202200010149,13.2,19.88
202200010197,7.48,4.26
202200010256,7.49,7.16
202200010259,5.57,12.02
202200010281,9.64,10.33
202200010362,7.18,4.6
202200010366,3.03,9.1
202200010369,3.06,5.15
202200010437,7.23,18.67
202200010464,2.71,29.13
202200010508,7.05,48.34
202200010537,5.96,20.64
202200010546,5.44,12.12
202200010590,2.35,25.92
202200010591,5.27,22.31
202200010723,28.17,38.6
202200010818,9.79,3.27
202200010839,4.7,7.08
202200010843,5.84,4.5
202200010877,6.0,5.63
202200010881,4.34,1.29
202200010971,3.89,27.02
202200010973,9.41,16.7
202200011001,4.92,14.79
202200011028,6.57,6.3
202200011030,5.11,5.26
202200011033,4.72,7.81
202200011152,15.39,27.43
202200011186,8.24,14.03
202200011304,2.86,21.89
202200011385,10.09,3.57
202200011431,4.44,7.02
202200011468,10.31,18.42
202200011487,2.88,4.32
202200011501,6.44,22.5
202200011513,1.28,13.9
202200011548,8.38,12.58
202200011576,8.76,27.29
202200011577,26.44,26.66
202200011634,8.19,5.51
202200011661,4.59,8.7
202200011663,4.59,8.7
202200011689,6.61,6.64
202200011802,1.27,8.49
202200011803,4.1,11.41
202200011805,5.62,9.52
202200011806,2.63,13.06
202200011823,11.34,45.86
202200011854,3.62,10.21
202200011856,2.7,2.19
202200011873,8.76,12.92
202200011879,2.43,18.06
202200011908,3.55,5.54
202200011925,3.81,5.48
202200011929,7.96,9.97
202200012045,3.2,12.18
202200012059,4.1,33.57
202200012073,7.49,22.65
202200012081,2.94,23.23
202200012084,4.37,4.86
202200012120,3.95,36.97
202200012226,2.33,15.76
202200012229,7.69,35.37
202200012542,9.87,36.62
202200012555,4.48,17.12
202200012583,23.19,33.62
202200012594,1.83,7.01
202200012692,3.06,4.91
202200012757,9.74,16.71
202200012789,2.67,8.3
202200012823,8.24,12.77
202200012868,3.96,3.89
202200013233,4.63,20.88
202200013252,1.97,26.22
202200013363,3.81,8.32
202200013383,8.85,4.02
202200013603,5.65,10.99
202200013619,5.64,23.32
202200013677,1.53,12.5
202200013684,9.0,16.94
202200013687,1.57,19.4
202200013718,2.06,28.0
202200013765,2.23,17.95
202200013917,6.01,23.15
202200014092,8.01,7.89
202200014213,10.84,21.33
202200014301,4.16,7.56
202200014399,1.15,8.43
202200014400,6.89,11.05
202200014401,9.54,24.79
202200014402,0.87,24.29
202200014433,3.22,9.21
202200014598,6.28,21.56
202200014600,9.57,10.1
202200014616,6.53,23.92
202200014719,4.84,5.72
202200014798,4.22,34.21
202200014801,8.62,11.18
202200014802,3.3,20.26
202200014808,4.25,4.14
202200014967,9.22,8.17
202200015041,7.69,21.99
202200015179,6.03,6.29
202200015191,4.68,3.01
202200015193,2.4,17.63
202200015225,3.74,5.26
202200015339,15.3,42.05
202200015346,9.98,2.8
202200015350,3.39,4.73
202200015400,2.0,31.52
202200015504,3.51,15.98
202200015579,7.81,11.71
202200015581,8.19,18.29
202200015667,4.01,16.66
202200015744,5.37,7.89
202200015754,4.02,12.43
202200015757,15.05,22.17
202200015764,4.44,12.37
202200015779,3.87,18.16
202200015794,12.01,13.75
202200015796,26.88,30.06
202200015981,9.69,27.28
202200015992,4.16,25.28
202200016006,5.53,5.87
202200016031,11.11,30.27
202200016122,7.58,12.18
202200016149,3.86,7.72
202200016151,3.98,4.33
202200016158,5.32,4.78
202200016168,8.16,20.26
202200016189,3.76,16.41
202200016292,4.76,6.89
202200016293,5.06,18.17
202200016447,18.05,35.29
202200016453,5.63,25.08
202200016455,8.92,16.27
202200016470,3.64,16.86
202200016483,9.43,7.17
202200016679,7.73,35.68
202200016682,4.99,8.48
202200016793,29.22,39.65
202200016823,3.36,30.4
202200016826,12.28,10.6
202200016831,6.47,2.74
202200016832,6.13,26.49
202200016869,1.17,40.64
202200016883,7.98,12.54
202200016885,5.7,6.73
202200017034,3.1,4.69
202200017107,3.48,11.88
202200017131,3.01,5.09
202200017135,3.37,22.13
202200017174,2.33,4.92
202200017199,5.71,15.97
202200017286,6.6,5.65
202200017415,4.2,7.91
202200017434,6.66,19.6
202200017499,11.54,13.16
202200017771,2.63,10.93
202200017773,5.88,26.12
202200017776,10.64,15.61
202200017801,1.95,36.21
202200017884,5.74,6.16
202200017937,6.12,6.9
202200017939,1.71,10.48
202200018103,9.15,16.26
202200018109,2.06,16.33
202200018172,1.52,10.87
202200018237,3.16,5.78
202200018301,8.97,9.67
202200018302,3.12,6.77
202200018322,8.92,9.61
202200018325,2.31,4.86
202200018327,7.65,8.34
202200018368,3.4,13.1
202200018557,2.57,14.43
202200018562,6.56,22.04
202200018618,7.87,14.51
202200018839,5.83,3.65
202200018901,3.03,18.6
202200018945,6.03,3.34
202200018949,4.71,4.17
202200019047,5.26,7.47
202200019096,31.83,30.8
202200019118,6.17,3.38
202200019187,1.28,7.57
202200019209,3.55,28.46
202200019275,6.5,14.44
202200019278,4.44,11.76
202200019343,8.28,24.06
202200019396,2.48,34.49
202200019399,1.78,12.53
202200019536,5.33,7.47
202200019537,3.89,6.62
202200019595,6.21,27.75
202200019613,3.1,12.58
202200019700,3.76,3.18
202200019767,5.56,5.69
202200019791,5.48,5.88
202200019839,9.56,16.68
202200019867,3.56,27.22
202200019901,6.17,11.57
202200019922,3.99,25.45
202200020035,7.99,11.55
202200020102,8.74,10.09
202200020203,9.5,32.54
202200020208,11.37,12.69
202200020209,1.54,2.77
202200020400,4.26,16.15
202200020413,1.99,16.0
202200020536,4.58,7.37
202200020559,10.14,11.58
202200020575,2.86,13.28
202200020580,6.78,29.08
202200020584,5.62,25.34
202200020665,3.35,24.77
202200020682,8.41,24.58
202200020701,10.46,14.62
202200020713,4.36,35.64
202200020729,4.85,15.41
202200020732,8.92,23.58
202200020873,5.48,16.77
202200020983,8.88,20.18
202200021170,6.08,15.72
202200021177,2.58,18.82
202200021228,5.0,25.5
202200021243,6.58,20.4
202200021261,5.36,29.3
202200021301,4.84,23.06
202200021329,2.66,15.14
202200021432,3.04,3.93
202200021474,3.76,6.54
202200021502,4.96,9.18
202200021522,8.23,28.3
202200021542,1.34,14.51
202200021543,3.8,5.01
202200021545,2.36,14.79
202200021663,5.59,25.24
202200021665,4.42,3.63
202200021678,5.97,21.12
202200021688,5.9,10.37
202200021691,3.73,4.25
202200021700,12.38,20.92
202200021959,9.85,27.93
202200021982,2.72,14.02
202200022003,6.2,3.5
202200022019,5.2,4.69
