Num_Acc,nearest_pompiers_min_osrm,nearest_sau_min_osrm
202200000003,5.04,2.75
202200000069,9.66,17.57
202200000086,10.24,31.63
202200000087,6.6,8.75
202200000120,10.98,5.95
202200000206,13.23,21.48
202200000210,3.21,25.0
202200000212,7.4,20.55
202200000213,8.57,30.53
202200000224,2.28,18.98
202200000253,13.96,14.76
202200000312,6.73,5.56
202200000330,5.51,7.43
202200000332,4.28,3.76
202200000341,11.03,9.12
202200000344,4.62,4.34
202200000346,7.38,8.78
202200000367,5.7,7.91
202200000373,4.7,8.85
202200000377,7.09,4.25
202200000454,3.7,26.46
202200000477,6.6,21.5
202200000500,2.48,21.43
202200000527,8.4,29.96
202200000534,11.22,24.44
202200000538,9.32,7.9
202200000541,7.74,27.25
202200000592,3.94,4.44
202200000602,7.5,9.49
202200000603,7.14,7.76
202200000615,8.88,9.5
202200000729,6.27,6.27
202200000754,5.6,8.11
202200000757,3.33,5.44
202200000859,7.34,6.11
202200000863,5.06,8.03
202200000879,5.39,4.83
202200000887,10.0,6.72
202200000889,3.06,2.68
202200000901,1.78,3.65
202200000903,4.37,6.24
202200001076,8.64,2.08
202200001077,8.06,5.08
202200001081,5.59,5.97
202200001165,6.01,4.76
202200001174,4.91,5.42
202200001176,6.12,8.81
202200001253,8.56,11.75
202200001263,16.66,11.03
202200001265,6.1,15.0
202200001312,5.61,15.62
202200001399,8.02,4.34
202200001403,8.66,8.99
202200001446,4.9,14.13
202200001469,3.56,32.23
202200001480,6.06,12.15
202200001604,6.54,18.85
202200001610,10.3,11.37
202200001618,3.17,15.95
202200001620,4.04,13.03
202200001622,5.03,13.98
202200001639,14.55,17.92
202200001654,8.76,10.2
202200001686,7.39,10.35
202200001715,8.8,17.85
202200001781,13.38,28.23
202200001844,2.7,9.22
202200001894,9.67,6.44
202200001898,8.12,5.7
202200001899,6.78,9.74
202200001903,8.92,2.55
202200001910,4.41,4.78
202200001914,0.49,2.32
202200001919,4.76,4.14
202200001977,7.33,21.03
202200002016,1.22,23.09
202200002111,5.62,4.9
202200002159,7.29,14.53
202200002174,6.0,4.2
202200002177,7.47,5.0
202200002192,5.78,34.03
202200002241,5.82,9.25
202200002250,10.56,19.2
202200002264,8.14,7.43
202200002266,7.0,11.96
202200002270,7.69,8.02
202200002303,1.1,5.75
202200002304,0.91,1.72
202200002333,5.49,6.9
202200002419,2.3,9.57
202200002474,6.23,9.92
202200002489,12.43,30.56
202200002490,9.71,5.92
202200002492,14.0,15.43
202200002494,6.64,21.78
202200002496,13.28,18.76
202200002515,5.91,6.19
202200002516,10.66,10.46
202200002517,3.46,3.76
202200002519,5.89,6.93
202200002552,7.25,19.79
202200002559,5.66,22.08
202200002560,3.93,25.78
202200002561,12.04,21.34
202200002562,5.66,14.61
202200002598,11.51,17.8
202200002599,10.57,42.46
202200002609,5.37,5.17
202200002645,5.19,8.0
202200002765,2.85,35.75
202200002841,3.07,13.02
202200002842,5.82,12.85
202200002848,5.63,7.92
202200002849,2.99,5.11
202200002934,4.24,14.94
202200002949,1.48,2.84
202200002981,3.23,5.9
202200002984,14.8,15.13
202200002985,1.84,3.2
202200002986,3.49,3.66
202200003019,3.12,18.07
202200003031,3.1,28.0
202200003040,6.88,21.23
202200003044,4.45,15.31
202200003091,2.07,25.17
202200003156,8.4,8.68
202200003250,7.72,6.53
202200003255,6.4,3.41
202200003384,9.41,30.59
202200003403,0.97,19.55
202200003420,6.93,21.09
202200003465,5.64,30.24
202200003559,4.23,6.9
202200003565,7.05,7.5
202200003578,7.01,9.16
202200003584,4.51,7.77
202200003585,2.3,5.49
202200003591,5.6,8.56
202200003600,9.14,18.22
202200003637,6.44,8.84
202200003762,5.24,9.37
202200003782,9.4,6.76
202200003788,7.04,5.91
202200003795,5.46,7.97
202200003798,7.87,6.09
202200003803,5.8,5.45
202200003808,4.45,6.75
202200003812,7.33,8.44
202200003814,7.66,11.19
202200003818,7.58,6.4
202200003821,7.77,6.33
202200003824,7.61,6.4
202200003838,10.3,7.43
202200003859,9.23,16.49
202200003915,11.0,15.08
202200003959,4.34,3.85
202200003962,1.85,19.78
202200003979,2.34,2.9
202200004026,8.28,8.9
202200004067,7.84,4.44
202200004107,11.54,22.88
202200004113,2.13,14.77
202200004127,4.38,21.11
202200004129,11.14,10.81
202200004132,12.26,11.93
202200004133,2.04,23.91
202200004293,6.49,8.28
202200004313,6.46,17.93
202200004315,5.35,9.05
202200004318,7.89,18.35
202200004343,7.3,7.74
202200004345,6.71,9.3
202200004347,0.9,3.21
202200004422,6.6,25.42
202200004431,2.99,14.24
202200004433,4.19,22.73
202200004448,10.76,34.84
202200004457,6.48,18.56
202200004493,11.17,12.09
202200004494,9.85,26.52
202200004535,5.66,7.06
202200004538,9.66,9.49
202200004587,17.35,31.4
202200004589,9.97,16.21
202200004661,9.62,5.87
202200004673,7.14,8.08
202200004674,7.94,6.76
202200004675,7.93,6.68
202200004723,5.22,21.3
202200004741,7.64,18.87
202200004743,1.25,8.94
202200004769,3.12,4.05
202200004785,8.09,2.18
202200004786,1.91,7.7
202200004788,5.58,3.46
202200004819,6.51,3.52
202200004822,6.42,8.68
202200004825,8.37,2.17
202200004833,4.18,3.32
202200004836,2.99,2.74
202200004850,5.43,8.02
202200004978,6.19,5.9
202200004983,3.02,1.14
202200005039,10.39,8.67
202200005041,6.02,3.12
202200005044,12.54,10.45
202200005047,6.38,6.12
202200005052,7.42,7.93
202200005110,1.92,10.16
202200005122,5.15,5.77
202200005186,5.32,5.26
202200005286,11.33,25.58
202200005290,7.2,21.96
202200005295,7.87,22.27
202200005330,6.53,6.47
202200005369,7.77,8.22
202200005373,2.07,6.78
202200005374,5.32,5.77
202200005377,8.86,13.29
202200005378,2.38,6.59
202200005390,1.84,1.62
202200005399,5.58,2.95
202200005573,7.52,23.49
202200005582,7.35,6.16
202200005586,6.93,7.73
202200005628,3.0,15.77
