Num_Acc,nearest_pompiers_min_osrm,nearest_sau_min_osrm
202200000094,2.1,8.54
202200000108,2.94,17.63
202200000165,5.45,12.1
202200000166,3.55,3.02
202200000169,11.23,5.57
202200000232,6.63,30.95
202200000268,5.37,12.02
202200000372,5.99,13.1
202200000378,5.24,3.44
202200000446,8.07,28.57
202200000490,9.9,19.9
202200000495,4.86,24.07
202200000509,13.73,29.75
202200000513,5.64,11.69
202200000571,3.72,25.13
202200000580,10.58,42.16
202200000582,8.15,33.18
202200000584,7.7,39.35
202200000633,1.81,4.3
202200000741,7.69,7.56
202200000749,7.5,6.08
202200000751,8.43,4.24
202200000776,2.97,6.28
202200000870,2.3,9.38
202200000872,1.57,12.27
202200000873,3.68,9.79
202200000891,5.86,4.65
202200000915,11.35,10.4
202200000917,2.54,29.74
202200000919,5.72,4.7
202200000972,23.29,33.1
202200001010,4.12,19.64
202200001011,4.4,22.67
202200001012,1.6,19.86
202200001018,5.16,18.35
202200001023,6.1,16.54
202200001074,5.07,5.93
202200001162,6.16,3.93
202200001163,8.83,3.87
202200001164,2.12,6.54
202200001326,8.78,21.15
202200001540,4.68,13.59
202200001541,5.28,8.32
202200001542,8.04,13.28
202200001543,6.07,6.26
202200001552,4.33,4.32
202200001635,12.54,9.04
202200001642,20.36,26.07
202200001676,8.69,12.39
202200001890,3.02,9.09
202200001916,7.53,5.81
202200001932,5.68,7.23
202200001953,6.68,33.14
202200001959,3.78,31.54
202200002117,3.55,26.21
202200002121,5.89,43.78
202200002126,4.78,41.88
202200002165,5.79,28.97
202200002209,3.0,11.53
202200002213,9.21,35.04
202200002214,2.4,11.05
202200002221,7.36,4.21
202200002228,4.65,6.95
202200002232,6.84,36.47
202200002238,8.53,29.4
202200002239,20.28,17.7
202200002246,3.39,22.33
202200002268,27.22,30.05
202200002309,11.88,8.63
202200002423,6.77,40.82
202200002427,8.56,32.61
202200002505,5.66,12.08
202200002509,7.1,6.91
202200002510,3.67,10.4
202200002546,8.24,45.58
202200002571,1.23,21.8
202200002575,11.43,7.93
202200002576,2.19,22.08
202200002656,4.25,10.14
202200002659,3.2,7.41
202200002660,5.97,5.23
202200002670,5.4,5.86
202200002731,11.5,13.42
202200002746,9.69,11.07
202200002987,6.09,7.33
202200003020,7.33,21.63
202200003024,9.24,8.85
202200003054,6.34,22.75
202200003065,13.93,43.17
202200003066,22.29,27.14
202200003072,7.97,34.23
202200003073,4.93,3.6
202200003223,5.69,10.58
202200003240,4.16,7.67
202200003246,8.14,9.06
202200003272,7.21,5.37
202200003301,6.62,10.12
202200003375,10.59,29.86
202200003446,7.82,20.61
202200003482,8.06,20.87
202200003483,2.78,4.73
202200003485,10.76,32.25
202200003529,0.67,16.9
202200003537,6.7,7.64
202200003548,6.65,28.74
202200003552,9.49,8.19
202200003679,2.64,7.53
202200003686,5.9,12.06
202200003690,6.94,7.92
202200003696,6.43,12.36
202200003713,2.75,30.33
202200003749,2.75,9.58
202200003751,8.43,10.97
202200003755,5.14,9.25
202200003757,5.89,23.07
202200003761,9.31,3.53
202200003766,4.06,5.62
202200003774,2.48,11.62
202200003817,2.77,9.12
202200003822,7.8,5.36
202200003843,5.36,8.7
202200003850,1.98,4.82
202200003923,3.02,16.29
202200003968,3.86,21.37
202200003972,4.48,6.28
202200003987,5.28,50.28
202200004072,3.16,4.27
202200004309,6.38,9.16
202200004324,7.7,5.36
202200004341,9.11,9.36
202200004425,5.65,24.88
202200004466,7.81,8.8
202200004473,6.44,18.13
202200004530,4.82,10.59
202200004531,8.85,4.81
202200004532,1.68,10.41
202200004533,9.54,6.65
202200004566,1.27,28.26
202200004603,1.53,15.77
202200004604,5.62,8.76
202200004617,4.41,20.44
202200004678,11.43,7.39
202200004726,37.52,25.21
202200004766,9.4,34.6
202200004780,1.95,14.58
202200004805,4.16,10.89
202200004808,4.16,10.89
202200004811,7.43,33.5
202200004814,6.05,35.38
202200004840,8.56,9.02
202200005042,11.39,7.89
202200005055,8.85,8.16
202200005058,6.27,5.8
202200005155,5.07,10.34
202200005160,5.22,10.87
202200005167,2.63,7.4
202200005172,4.83,10.0
202200005176,6.19,12.21
202200005180,3.91,8.02
202200005343,3.57,24.7
202200005345,8.04,9.86
202200005403,0.93,6.65
202200005497,9.49,21.64
202200005558,1.94,8.11
202200005562,5.08,4.17
202200005567,4.52,9.42
202200005575,4.04,10.19
202200005578,8.98,2.49
202200005638,5.92,17.65
202200005655,3.0,16.18
202200005690,4.84,8.22
202200005794,5.58,7.31
202200005801,3.76,9.61
202200005876,6.12,8.65
202200005902,9.86,28.46
202200005913,1.43,12.76
202200005977,0.68,19.29
202200005995,8.89,38.35
202200006013,4.74,30.46
202200006039,6.43,1.56
202200006111,4.57,11.24
202200006113,3.58,9.78
202200006115,5.36,6.82
202200006127,7.95,7.94
202200006204,3.89,28.91
202200006253,7.05,18.47
202200006312,6.49,8.97
202200006314,3.85,25.33
202200006371,1.95,6.5
202200006372,7.43,2.75
202200006422,1.61,23.96
202200006444,8.53,27.15
202200006621,5.3,17.5
202200006626,5.44,4.15
202200006635,6.33,7.31
202200006637,2.24,12.02
202200006651,5.14,7.89
202200006653,5.6,10.59
202200006657,6.46,4.85
202200006741,5.84,2.37
202200006743,9.62,3.57
202200006807,5.96,5.51
202200006828,3.16,10.15
202200006916,4.74,6.58
202200006917,4.13,13.04
202200006919,7.29,5.18
202200006921,3.59,5.97
202200006964,3.46,4.2
202200006977,5.27,37.11
202200006988,5.56,1.17
202200007065,7.96,33.29
202200007212,8.32,30.94
202200007235,2.8,28.2
202200007286,3.67,8.98
202200007290,7.28,3.78
202200007297,8.91,6.23
202200007300,1.93,13.22
202200007302,1.83,4.28
202200007336,4.24,18.78
202200007347,10.83,10.08
202200007594,4.56,7.8
202200007600,5.84,10.0
202200007603,12.56,11.05
202200007607,5.13,6.59
202200007612,7.94,3.62
202200007636,4.62,22.74
202200007645,8.43,37.24
202200007655,1.72,22.74
202200007683,18.94,28.28
202200007685,6.98,14.44
202200007694,0.79,16.37
202200007703,3.62,4.54
202200007789,9.51,41.5
202200007810,1.4,23.46
202200007811,7.16,14.94
202200007839,6.81,11.68
202200007901,5.78,7.62
202200007903,4.72,7.46
202200007957,7.4,9.9
202200007964,4.81,3.07
202200007966,7.71,17.37
202200008032,10.52,7.51
202200008078,9.01,18.46
202200008085,1.15,25.46
202200008088,3.16,21.02
202200008099,9.78,8.24
202200008100,13.25,9.6
202200008115,1.99,24.16
202200008269,3.93,8.64
202200008271,4.14,5.08
202200008272,5.3,12.4
202200008316,2.36,3.55
202200008324,7.31,8.56
202200008396,8.9,9.54
202200008411,2.66,27.79
202200008492,6.89,3.78
202200008574,7.23,8.8
202200008575,5.67,6.34
202200008576,6.86,10.54
202200008681,11.87,28.24
202200008753,3.55,11.96
202200008758,4.92,7.23
202200008925,3.07,9.12
202200008929,5.92,3.41
202200008931,6.74,7.34
202200008933,5.68,6.64
202200008943,5.71,35.21
202200008946,5.18,2.94
202200008968,2.41,11.83
202200008971,6.3,11.86
202200008995,3.87,28.01
202200009156,7.16,6.28
202200009164,7.04,34.35
202200009191,5.02,4.47
202200009237,5.26,6.78
202200009367,5.89,8.18
202200009379,8.13,17.22
202200009384,3.11,15.56
202200009391,12.26,43.01
202200009395,5.28,4.38
202200009428,14.14,20.8
202200009430,3.88,7.53
202200009509,7.16,26.56
202200009549,4.36,6.87
202200009563,3.62,16.71
202200009568,8.04,21.61
202200009586,9.96,35.78
202200009592,3.95,22.15
202200009634,2.97,6.48
202200009702,5.63,9.51
202200009704,0.76,9.91
202200009708,3.47,9.14
202200009711,7.28,14.09
202200009727,4.65,7.1
202200009734,1.3,28.58
202200009827,5.15,22.91
202200009838,4.78,16.23
202200009904,2.61,6.26
202200009906,2.02,6.3
202200009916,7.31,7.77
202200009927,3.14,9.35
202200010153,7.21,27.13
202200010244,7.8,6.04
202200010247,7.73,6.87
202200010258,8.02,5.14
202200010282,5.54,6.89
202200010285,6.28,32.36
202200010289,3.24,8.91
202200010513,9.33,13.21
202200010515,5.24,33.27
202200010547,9.16,14.91
202200010559,1.11,31.21
202200010575,4.36,5.56
202200010710,12.84,23.52
202200010714,4.56,7.73
202200010720,6.49,37.57
202200010941,5.11,6.14
202200010951,7.52,6.3
202200010955,4.86,4.84
202200010959,2.68,8.75
202200010963,4.31,38.78
202200010968,4.22,36.54
202200011020,2.35,10.56
202200011037,4.08,7.94
202200011040,4.74,6.74
202200011121,5.91,9.54
202200011157,7.81,9.05
202200011171,4.83,10.68
202200011174,4.18,7.84
202200011177,5.83,7.86
202200011193,9.2,6.6
202200011198,6.46,5.63
202200011203,7.82,4.24
202200011208,6.7,5.08
202200011210,2.53,9.24
202200011213,5.86,12.15
202200011232,3.59,5.54
202200011245,7.38,5.24
202200011246,3.03,29.26
202200011253,5.38,15.16
202200011270,3.1,25.45
202200011286,3.7,27.5
202200011288,10.63,3.44
202200011291,8.1,14.28
202200011408,5.31,2.68
202200011476,9.02,29.76
202200011511,9.08,33.33
202200011529,6.57,39.37
202200011544,6.84,25.11
202200011545,9.24,16.73
202200011569,6.71,38.49
202200011632,2.82,11.64
202200011695,5.84,12.14
202200011697,9.15,8.29
202200011703,4.55,6.98
202200011706,2.12,13.41
202200011717,8.35,10.97
202200011784,7.61,19.83
202200011816,2.33,23.12
202200011939,1.73,5.62
202200011945,4.36,12.39
202200011946,7.9,5.1
202200011963,5.97,6.96
202200011979,10.04,3.99
202200011981,3.71,8.44
202200012088,3.23,36.26
202200012111,5.83,2.57
202200012135,3.79,20.27
202200012198,5.79,9.96
202200012209,8.03,8.49
202200012243,5.52,7.09
202200012422,8.34,15.4
202200012478,3.17,12.17
202200012537,3.82,19.66
202200012547,12.25,8.27
202200012552,6.12,37.45
202200012553,4.97,4.7
202200012575,2.64,27.08
202200012683,3.86,10.92
202200012740,1.93,10.3
202200012817,4.86,35.88
202200012874,7.7,6.4
202200012890,4.69,4.92
202200012908,7.01,6.32
202200012932,2.06,25.06
202200012954,4.85,6.31
202200013027,5.24,33.32
202200013051,4.75,10.12
202200013052,4.5,7.69
202200013135,6.77,15.61
202200013179,2.32,13.33
202200013183,3.39,12.1
202200013186,6.81,5.93
202200013192,6.43,6.21
202200013209,9.45,2.96
202200013213,4.11,8.55
202200013216,6.44,7.9
202200013221,5.6,5.84
202200013231,4.39,14.85
202200013437,1.78,6.73
202200013438,5.1,7.13
202200013442,3.18,7.61
202200013446,2.71,35.38
202200013598,4.39,38.45
202200013645,11.84,29.48
202200013648,10.94,7.86
202200013652,10.69,25.81
202200013656,3.97,20.89
202200013711,1.98,27.44
202200013714,4.46,6.4
202200013716,4.15,17.92
