Num_Acc,nearest_pompiers_min_osrm,nearest_sau_min_osrm
202200000009,4.71,2.84
202200000072,8.34,20.15
202200000073,4.84,27.33
202200000074,4.69,12.0
202200000112,2.0,24.95
202200000215,10.57,17.73
202200000315,2.14,7.01
202200000368,4.44,7.96
202200000388,8.82,11.77
202200000439,4.83,16.42
202200000515,3.7,2.93
202200000618,8.47,9.74
202200000815,5.74,4.69
202200000818,4.19,6.9
202200000866,8.47,13.1
202200000867,3.12,7.35
202200000973,2.2,5.78
202200000979,1.49,15.96
202200001091,5.17,2.84
202200001155,5.04,3.27
202200001156,7.6,4.99
202200001276,8.68,9.2
202200001311,9.51,11.69
202200001392,9.07,9.0
202200001393,4.77,7.64
202200001460,7.51,7.51
202200001461,1.71,16.09
202200001473,7.91,15.03
202200001527,5.51,13.2
202200001528,4.61,2.87
202200001529,8.62,6.02
202200001562,4.61,1.4
202200001601,13.18,24.14
202200001602,14.4,27.12
202200001732,3.28,7.08
202200001867,4.42,2.64
202200001871,8.03,11.61
202200001875,3.6,5.57
202200001907,2.07,10.91
202200001909,4.22,6.18
202200002191,3.45,5.42
202200002196,5.66,10.03
202200002199,8.19,11.4
202200002210,3.82,7.94
202200002212,1.81,31.07
202200002217,11.17,27.26
202200002220,6.27,19.06
202200002252,3.59,24.53
202200002493,6.92,10.63
202200002495,2.06,9.29
202200002497,4.67,2.9
202200002527,6.0,8.41
202200002540,6.65,6.96
202200002650,3.12,5.09
202200002651,4.52,10.22
202200002652,5.7,7.81
202200002717,5.62,4.84
202200002737,0.96,26.29
202200002845,11.19,8.58
202200002948,4.02,4.24
202200002974,6.31,4.44
202200002992,6.69,7.42
202200002993,8.12,11.9
202200002994,7.99,6.57
202200003018,8.3,17.04
202200003030,12.39,9.65
202200003053,6.06,23.79
202200003087,4.21,18.72
202200003090,12.19,13.68
202200003327,0.79,62.56
202200003410,0.98,22.0
202200003513,3.58,4.78
202200003518,1.51,2.56
202200003523,7.18,4.19
202200003527,5.5,13.57
202200003610,6.97,10.12
202200003613,3.92,5.9
202200003618,2.77,7.82
202200003623,1.24,5.66
202200003629,4.67,12.74
202200003635,5.49,2.88
202200003640,4.67,2.94
202200003809,3.17,3.37
202200003810,5.05,6.02
202200003813,7.96,5.35
202200004157,29.67,28.0
202200004158,7.19,6.6
202200004328,3.11,3.15
202200004344,2.03,5.36
202200004346,3.92,6.5
202200004467,0.45,38.1
202200004527,6.83,4.49
202200004541,4.49,3.89
202200004624,7.33,22.36
202200004686,5.36,2.12
202200004732,1.7,20.07
202200004795,3.32,5.29
202200005015,0.77,30.43
202200005135,5.71,5.91
202200005137,4.01,3.87
202200005141,5.78,5.42
202200005173,2.35,7.49
202200005283,3.76,6.47
202200005285,3.14,4.3
202200005291,2.69,5.13
202200005297,3.2,5.99
202200005302,5.69,7.89
202200005309,5.06,2.37
202200005320,4.36,9.27
202200005339,2.19,5.99
202200005346,6.05,10.92
202200005349,5.76,5.48
202200005354,6.21,3.61
202200005648,4.33,2.24
202200005927,0.87,24.56
202200005943,4.23,8.02
202200005944,4.69,11.8
202200006096,7.13,4.73
202200006098,7.13,10.29
202200006216,7.5,23.2
202200006218,2.17,29.32
202200006260,3.59,10.93
202200006383,4.37,8.16
202200006435,7.69,26.87
202200006461,8.59,11.55
202200006474,11.76,25.68
202200006532,2.78,3.49
202200006533,3.27,6.21
202200006534,3.6,3.56
202200006535,4.07,6.02
202200006592,1.12,4.87
202200006596,7.84,25.18
202200006623,6.8,33.07
202200006636,2.4,3.07
202200006739,3.73,5.7
202200006768,12.0,39.25
202200006770,7.0,17.97
202200006839,1.14,1.14
202200006894,7.5,5.11
202200006897,1.47,7.79
202200006972,3.95,4.29
202200006992,4.54,3.77
202200006993,3.23,2.22
202200006994,3.89,3.22
202200006996,7.66,9.03
202200007069,1.26,18.28
202200007088,15.44,18.38
202200007222,14.31,15.81
202200007256,8.88,16.11
202200007259,8.57,15.65
202200007271,6.85,11.48
202200007272,0.78,26.06
202200007275,4.76,23.28
202200007277,5.78,8.78
202200007359,3.68,6.48
202200007362,1.68,8.25
202200007368,4.94,4.76
202200007398,6.66,7.64
202200007444,5.91,15.08
202200007564,2.6,28.54
202200007579,20.98,22.47
202200007580,4.03,6.92
202200007585,3.81,2.04
202200007632,3.75,3.03
202200007688,4.33,1.56
202200007692,4.39,4.03
202200007696,5.12,4.06
202200007701,2.35,7.18
202200007716,9.92,15.71
202200007823,6.9,25.55
202200007896,1.63,7.86
202200007897,6.19,6.57
202200007898,5.42,9.2
202200007928,4.03,3.42
202200007934,2.33,7.3
202200007936,7.04,8.65
202200007974,4.37,3.15
202200008014,8.53,7.76
202200008024,9.01,14.69
202200008070,13.3,26.83
202200008105,3.19,26.87
202200008251,2.83,8.62
202200008253,6.3,9.37
202200008254,3.17,8.61
202200008256,4.85,3.08
202200008303,6.06,10.92
202200008304,3.19,5.99
202200008305,5.56,9.01
202200008374,4.94,17.87
202200008401,6.08,25.5
202200008435,1.73,8.36
202200008436,5.17,7.88
202200008439,4.48,7.15
202200008472,3.12,5.08
202200008493,1.56,20.86
202200008564,2.72,4.69
202200008565,5.9,6.28
202200008566,6.65,9.79
202200008567,4.03,8.05
202200008656,12.96,14.46
