Num_Acc,nearest_pompiers_min_osrm,nearest_sau_min_osrm
202200000002,4.18,8.12
202200000223,5.07,5.04
202200000281,9.46,45.97
202200000379,3.66,13.6
202200000468,2.3,23.71
202200000473,2.98,40.92
202200000785,6.92,13.61
202200000791,3.88,15.49
202200000927,6.73,6.02
202200000929,8.11,7.39
202200000994,2.14,14.25
202200000995,7.16,34.59
202200001021,3.7,12.68
202200001083,6.66,14.97
202200001264,1.49,51.9
202200001404,4.25,8.72
202200001443,3.07,20.68
202200001444,1.09,49.6
202200001445,9.73,10.15
202200001447,7.35,17.8
202200001553,2.95,15.84
202200001554,7.03,13.61
202200001612,5.46,18.58
202200001614,4.0,17.17
202200001658,2.7,15.8
202200001682,3.59,1.0
202200001777,7.06,14.86
202200001980,6.13,4.5
202200001984,13.94,19.8
202200001987,5.9,19.96
202200001991,6.16,45.6
202200001995,4.16,37.83
202200001999,11.01,28.42
202200002057,4.59,16.7
202200002059,5.22,16.07
202200002064,1.32,18.61
202200002294,3.08,13.01
202200002435,5.22,4.07
202200002438,8.76,43.89
202200002518,5.21,19.35
202200002557,5.81,17.5
202200002558,9.76,24.31
202200002674,8.8,14.76
202200002980,6.79,6.07
202200003041,8.99,8.84
202200003042,2.16,6.35
202200003048,3.47,21.18
202200003270,5.9,14.71
202200003461,1.95,38.16
202200003535,7.23,13.97
202200003632,3.24,2.84
202200003723,2.47,5.06
202200003781,2.88,5.16
202200003873,5.1,3.79
202200003953,2.98,15.63
202200003956,2.51,19.75
202200003999,4.97,11.65
202200004111,1.66,26.67
202200004291,3.36,3.86
202200004327,4.03,5.1
202200004353,6.67,11.06
202200004441,1.57,33.75
202200004442,4.48,16.72
202200004458,3.73,14.41
202200004517,8.0,19.41
202200004536,6.85,14.7
202200004537,5.59,13.9
202200004570,9.53,9.72
202200004679,3.55,3.5
202200004823,6.61,21.98
202200005025,7.16,7.32
202200005081,6.91,20.35
202200005085,1.15,10.67
202200005089,7.25,15.56
202200005091,4.7,18.84
202200005095,6.12,14.42
202200005485,6.29,33.66
202200005863,2.56,2.56
202200006015,5.67,33.1
202200006032,11.63,13.64
202200006129,5.88,19.45
202200006181,4.3,18.9
202200006238,11.47,14.54
202200006451,2.05,22.13
202200006523,4.07,12.38
202200006524,4.94,7.96
202200006607,8.62,7.77
202200006608,4.56,41.54
202200006950,3.75,9.67
202200006952,0.89,11.22
202200006954,6.57,10.04
202200006956,3.92,21.68
202200006983,3.4,3.35
202200006985,8.02,11.49
202200007093,9.69,8.26
202200007095,4.92,36.01
202200007102,2.52,21.24
202200007116,7.57,5.01
202200007245,4.86,22.47
202200007248,7.56,26.64
202200007308,0.69,25.83
202200007477,3.31,9.32
202200007537,4.16,10.07
202200007663,0.82,30.54
202200007790,2.6,27.19
202200007911,6.02,18.55
202200007960,3.22,8.11
202200008074,3.36,4.67
202200008201,7.28,15.39
202200008286,5.04,16.72
202200008287,7.52,11.92
202200008379,11.29,24.64
202200008380,3.66,24.84
202200008381,2.71,20.28
202200008388,2.89,18.3
202200008393,8.97,9.03
202200008674,7.02,50.98
202200008962,7.51,15.12
202200009256,3.46,4.06
202200009362,3.93,7.22
202200009450,5.67,57.12
202200009517,4.92,10.85
202200009635,8.08,5.13
202200009638,8.86,7.25
202200009701,2.54,30.76
202200009705,4.61,6.79
202200009725,6.36,18.04
202200009921,5.63,18.86
202200009923,5.88,7.19
202200009924,6.86,11.21
202200009925,4.25,4.2
202200010067,0.4,24.32
202200010120,4.98,13.32
202200010123,5.73,4.16
202200010163,5.29,12.03
202200010187,5.29,13.09
202200010312,7.9,7.48
202200010498,5.46,18.58
202200010561,6.25,8.43
202200010562,7.5,29.22
202200010563,10.35,10.2
202200010699,9.48,10.1
202200010749,7.4,32.36
202200010751,8.14,27.84
202200010812,5.49,3.5
202200010837,8.55,12.02
202200011005,7.97,13.08
202200011034,9.85,3.52
202200011530,6.84,34.26
202200011533,2.08,18.84
202200011827,5.86,22.86
202200011860,7.9,7.17
202200011871,4.06,5.3
202200011961,4.39,5.46
202200012007,9.23,12.7
202200012116,2.21,14.77
202200012128,4.99,14.41
202200012213,5.65,6.61
202200012216,7.82,17.14
202200012351,3.96,25.4
202200012399,3.52,24.35
202200012532,4.44,17.19
202200012581,8.78,16.74
202200012784,4.17,5.74
202200012819,1.28,30.97
202200012880,5.62,7.86
202200012922,5.36,8.78
202200012993,4.85,15.74
202200013059,7.9,17.23
202200013220,2.78,33.08
202200013236,3.88,8.5
202200013243,3.18,11.32
202200013370,0.96,6.19
202200013485,15.79,24.4
202200013487,7.55,6.64
202200013498,7.25,37.41
202200013697,3.3,14.11
202200013761,5.33,8.75
202200013855,6.73,11.12
202200013923,4.89,19.2
202200014194,5.4,16.92
202200014262,6.78,58.15
202200014270,3.34,17.74
202200014293,4.72,8.65
202200014311,4.84,4.18
202200014364,1.57,6.18
202200014366,7.3,16.23
202200014367,9.69,12.36
202200014546,5.24,2.28
202200014590,11.06,8.65
202200014592,5.41,10.02
202200014879,1.5,18.43
202200014910,8.1,5.14
