Num_Acc,nearest_pompiers_min_osrm,nearest_sau_min_osrm
202200000065,5.25,20.97
202200000070,10.3,24.83
202200000099,0.36,13.38
202200000175,3.05,3.86
202200000235,8.25,26.36
202200000297,2.59,7.97
202200000299,12.26,11.13
202200000301,1.33,1.7
202200000577,7.0,28.51
202200000779,1.56,2.37
202200000811,7.94,5.66
202200000962,4.3,5.65
202200000963,3.59,7.48
202200000964,6.98,6.67
202200000965,5.51,3.3
202200000982,5.04,22.14
202200000983,8.36,12.46
202200001008,2.28,23.24
202200001009,5.59,2.21
202200001065,6.58,9.74
202200001133,6.91,9.93
202200001175,7.2,3.36
202200001313,2.66,15.84
202200001332,10.5,16.55
202200001380,3.7,5.81
202200001433,9.19,9.19
202200001456,1.95,17.53
202200001510,4.59,4.89
202200001511,3.51,6.98
202200001512,9.54,14.12
202200001513,10.18,11.49
202200001514,6.1,6.37
202200001515,6.37,4.45
202200001633,4.99,26.04
202200001646,10.91,31.27
202200001703,8.29,7.95
202200001829,5.8,7.53
202200001832,5.84,6.62
202200001847,7.85,13.91
202200001928,7.18,6.09
202200001929,6.04,4.93
202200002055,3.24,2.19
202200002141,2.62,19.15
202200002179,3.19,3.3
202200002182,11.1,27.27
202200002247,10.53,13.77
202200002257,3.13,2.37
202200002276,7.13,12.56
202200002306,7.76,17.08
202200002311,2.46,12.54
202200002498,10.47,13.42
202200002600,1.88,6.29
202200002624,3.75,8.62
202200002625,1.76,1.75
202200002626,5.5,3.81
202200002671,8.02,9.16
202200002672,4.14,5.54
202200002673,5.89,12.75
202200002740,10.62,19.78
202200002766,5.11,22.92
202200002820,3.23,4.81
202200002821,5.86,3.4
202200002822,2.48,7.1
202200002935,2.87,16.52
202200002988,4.74,5.2
202200003097,8.69,19.24
202200003098,2.32,19.42
202200003146,1.7,7.74
202200003150,8.18,10.96
202200003155,2.53,6.01
202200003393,2.91,3.85
202200003398,5.44,7.87
202200003399,1.72,7.86
202200003404,1.77,9.01
202200003405,3.64,21.84
202200003408,5.36,11.36
202200003413,3.3,8.69
202200003417,6.79,4.7
202200003421,5.08,4.12
202200003460,8.05,13.17
202200003470,8.63,8.31
202200003521,3.39,21.97
202200003525,11.95,10.52
202200003579,5.78,21.3
202200003590,10.28,21.14
202200003611,5.76,4.56
202200003616,0.69,1.45
202200003767,3.11,6.93
202200003841,6.53,2.93
202200003897,7.77,8.01
202200003900,4.8,2.94
202200004055,2.85,10.97
202200004142,6.6,5.84
202200004176,7.9,18.35
202200004260,8.18,12.77
202200004262,6.32,4.4
202200004264,6.95,6.48
202200004266,6.84,4.92
202200004267,5.18,5.42
202200004287,7.67,6.89
202200004289,5.66,3.2
202200004326,2.13,3.38
202200004383,8.53,11.44
202200004385,3.3,2.32
202200004450,9.07,11.99
202200004600,2.52,33.68
202200004648,2.83,6.97
202200004728,8.25,26.51
202200004734,3.15,16.9
202200004845,2.86,4.0
202200004849,1.25,1.84
202200004853,6.9,9.82
202200005061,8.15,13.59
202200005064,7.53,6.44
202200005066,6.84,7.52
202200005230,4.78,4.01
202200005234,3.81,4.04
202200005239,3.68,1.76
202200005272,10.84,9.77
202200005277,7.94,12.52
202200005392,3.27,4.42
202200005396,4.65,5.79
202200005598,6.05,5.02
202200005810,8.0,19.04
202200005929,7.42,31.13
202200005997,11.94,13.13
202200006064,9.45,31.08
202200006072,4.69,3.39
202200006074,1.63,6.21
202200006223,3.88,28.32
202200006352,6.74,7.56
202200006353,3.99,8.36
202200006437,9.34,27.21
202200006443,10.14,10.67
202200006594,4.64,23.63
202200006627,21.2,26.4
202200006714,1.99,4.74
202200006716,7.78,2.8
202200006717,4.37,9.05
202200006753,3.56,4.23
202200006771,2.55,1.68
202200006804,5.88,2.19
202200006809,7.27,4.09
202200006814,4.63,15.08
202200006829,3.49,7.75
202200006848,5.36,8.9
202200006922,5.72,7.15
202200006925,6.29,6.26
202200006944,5.12,6.21
202200006947,4.89,5.68
202200006948,2.9,2.18
202200007201,5.84,11.76
202200007203,0.76,6.07
202200007210,4.39,5.6
202200007274,3.8,1.88
202200007278,0.53,1.62
202200007323,6.84,12.35
202200007343,4.86,10.06
202200007400,2.14,13.75
202200007529,3.21,2.02
202200007533,10.73,11.12
202200007536,2.95,8.04
202200007587,5.57,11.47
