Num_Acc,nearest_pompiers_min_osrm,nearest_sau_min_osrm
202200000015,3.96,4.46
202200000016,2.48,6.3
202200000017,2.65,3.72
202200000018,4.31,4.81
202200000019,1.63,6.84
202200000020,5.04,7.98
202200000021,3.33,6.25
202200000022,2.41,5.98
202200000023,8.43,8.9
202200000024,3.95,7.19
202200000025,2.71,4.39
202200000026,4.58,4.03
202200000027,3.86,6.44
202200000028,2.1,7.43
202200000029,1.83,1.55
202200000030,4.84,5.03
202200000031,3.29,6.86
202200000032,4.58,7.45
202200000033,4.34,5.79
202200000034,3.97,4.61
202200000035,2.24,7.69
202200000036,5.56,6.39
202200000037,0.12,6.09
202200000038,5.89,9.18
202200000039,5.4,7.54
202200000040,3.01,5.59
202200000041,5.6,7.43
202200000042,5.44,5.49
202200000043,4.14,5.94
202200000044,1.59,6.34
202200000045,4.78,3.29
202200000046,3.3,8.98
202200000047,4.8,9.13
202200000048,4.59,4.81
202200000049,3.73,9.34
202200000050,1.28,4.56
202200000051,3.17,3.03
202200000052,7.22,1.06
202200000053,3.49,4.4
202200000054,6.36,6.78
202200000055,3.58,6.54
202200000056,3.59,6.27
202200000057,5.09,6.18
202200000058,2.86,5.52
202200000059,2.9,6.26
202200000060,6.67,6.7
202200000061,4.9,4.93
202200000062,0.36,7.09
202200000063,6.93,8.97
202200000064,2.61,5.03
202200000103,4.78,10.21
202200000109,6.43,9.44
202200000129,6.8,15.39
202200000130,8.54,11.08
202200000131,4.85,7.69
202200000132,7.0,12.83
202200000133,2.8,9.04
202200000134,4.47,10.71
202200000135,17.94,14.43
202200000136,3.19,5.28
202200000137,4.35,7.28
202200000138,5.49,10.06
202200000139,6.36,7.04
202200000140,2.81,3.47
202200000141,13.75,14.42
202200000142,3.66,5.79
202200000143,3.04,5.07
202200000144,7.93,9.59
202200000145,4.8,4.69
202200000146,4.84,4.47
202200000147,2.92,3.41
202200000148,4.89,5.86
202200000149,2.72,7.32
202200000150,2.57,8.46
202200000151,4.81,4.66
202200000152,3.86,5.0
202200000153,6.3,3.02
202200000154,3.57,5.86
202200000155,1.68,4.92
202200000156,2.04,6.22
202200000157,2.55,4.04
202200000183,3.98,7.96
202200000184,2.44,4.02
202200000185,4.15,2.12
202200000186,0.62,6.94
202200000187,0.6,1.8
202200000188,1.36,4.97
202200000189,2.63,6.33
202200000190,4.6,9.25
202200000191,4.78,8.01
202200000192,2.36,7.82
202200000193,1.29,4.43
202200000194,4.62,6.18
202200000195,3.74,5.33
202200000196,2.32,5.1
202200000197,5.66,4.53
202200000198,3.08,6.77
202200000199,4.18,6.81
202200000200,5.37,2.89
202200000201,4.24,2.76
202200000202,4.24,8.98
202200000203,1.45,3.79
202200000204,2.12,2.78
202200000205,3.32,4.67
202200000240,5.33,6.84
202200000241,3.24,3.8
202200000259,7.28,6.64
202200000260,4.56,9.27
202200000261,5.84,7.37
202200000262,5.4,7.32
202200000263,4.72,17.89
202200000264,4.45,8.18
202200000265,5.37,6.2
202200000276,1.91,26.41
202200000287,3.91,1.94
202200000290,2.16,9.73
202200000294,1.02,8.18
202200000295,7.69,9.04
202200000314,5.61,5.14
202200000316,4.94,5.21
202200000318,7.53,8.36
202200000321,5.86,8.13
202200000324,14.37,10.01
202200000326,3.74,8.61
202200000327,5.7,8.52
202200000328,4.4,4.76
202200000331,5.4,8.9
202200000333,4.52,12.29
202200000335,7.05,6.27
202200000336,8.89,6.73
202200000351,4.08,6.7
202200000352,3.55,13.9
202200000353,6.59,1.96
202200000354,6.18,9.62
202200000358,7.16,9.88
202200000391,5.94,5.24
202200000392,3.3,5.18
202200000393,5.89,4.15
202200000394,4.03,4.7
202200000395,5.27,6.51
202200000396,3.35,3.37
202200000397,5.41,4.1
202200000398,3.04,5.04
202200000399,3.36,8.71
202200000400,1.36,4.96
202200000401,4.8,7.22
202200000402,1.23,9.56
202200000403,4.1,2.64
202200000404,2.98,1.42
202200000405,2.01,3.71
202200000406,2.05,3.06
202200000407,0.19,4.05
202200000408,3.92,5.16
202200000409,4.81,1.09
202200000410,4.15,4.88
202200000411,6.05,7.3
202200000412,3.1,3.94
202200000413,3.25,4.08
202200000414,5.78,5.31
202200000415,5.11,7.91
202200000416,2.74,5.32
202200000417,3.03,3.2
202200000418,2.86,4.37
202200000419,2.6,3.54
202200000420,2.09,5.24
202200000421,4.58,7.61
202200000422,2.47,2.32
202200000423,4.82,3.33
202200000424,4.27,5.96
202200000425,6.43,7.09
202200000426,3.0,3.91
202200000448,3.57,3.57
202200000452,4.92,5.2
202200000456,1.62,7.53
202200000459,5.68,4.55
202200000463,3.72,6.1
202200000465,6.95,11.43
202200000469,5.49,9.15
202200000471,6.28,14.78
202200000474,4.65,4.62
202200000479,4.94,8.64
202200000484,2.21,4.15
202200000487,5.17,7.21
202200000489,3.5,6.53
202200000492,5.11,5.22
202200000494,4.53,3.94
202200000496,3.66,5.5
202200000505,0.79,5.39
202200000536,6.23,18.74
202200000542,7.42,6.8
202200000555,4.49,2.62
202200000558,6.59,13.63
202200000561,7.21,7.68
202200000564,3.15,8.26
202200000567,2.97,7.26
202200000569,4.8,12.16
202200000573,2.42,5.09
202200000609,14.37,13.42
202200000611,8.43,8.85
202200000614,7.41,8.92
202200000617,7.23,7.44
202200000619,5.46,7.55
202200000623,7.38,6.58
202200000626,4.73,8.51
202200000628,4.85,10.42
202200000630,4.14,5.98
202200000632,6.39,9.25
202200000635,5.48,10.41
202200000637,6.73,6.52
202200000645,1.9,6.76
202200000652,4.42,4.79
202200000682,2.74,12.74
202200000686,1.68,4.75
202200000688,0.49,4.47
202200000690,2.84,8.3
202200000695,3.66,6.36
202200000697,1.84,4.16
202200000698,4.3,6.3
202200000702,5.34,4.19
202200000707,4.14,7.0
202200000711,5.23,4.08
202200000715,3.23,5.26
202200000718,2.92,7.08
202200000719,4.39,6.2
202200000721,11.47,10.05
202200000723,4.0,3.36
202200000728,5.73,5.06
202200000733,3.18,3.76
202200000736,4.84,12.32
202200000740,5.63,8.07
202200000743,5.53,9.14
202200000745,2.25,7.01
202200000747,3.91,7.61
202200000748,4.42,7.08
202200000750,6.13,6.51
202200000752,3.05,5.12
202200000753,4.35,9.8
202200000755,4.81,10.94
202200000756,2.79,5.6
202200000758,2.87,4.03
202200000760,5.74,4.77
202200000761,2.84,7.59
202200000764,4.33,6.37
202200000767,2.6,3.59
202200000770,4.28,6.92
202200000795,3.21,5.18
202200000797,4.84,6.27
202200000798,3.97,2.2
202200000799,4.5,3.71
202200000804,4.94,9.57
202200000808,2.59,5.02
202200000823,5.58,6.08
202200000826,3.95,7.78
202200000829,5.04,6.52
202200000830,3.47,8.22
202200000832,3.78,4.61
202200000834,3.73,6.28
202200000835,4.97,5.23
202200000837,4.08,4.25
202200000838,5.86,5.15
202200000841,4.28,9.69
202200000844,5.93,6.14
202200000847,4.86,10.79
202200000851,5.55,5.4
202200000854,5.06,4.91
202200000857,1.61,5.75
202200000860,2.51,7.0
202200000861,4.83,4.04
202200000862,2.39,6.53
202200000864,4.04,5.54
202200000869,2.52,7.18
202200000950,6.06,4.74
202200000951,6.62,4.33
202200000957,2.54,8.59
202200000958,5.17,4.56
202200000959,3.28,1.72
202200000960,5.5,16.72
202200000961,2.94,8.0
202200001040,4.71,7.58
202200001041,4.66,8.42
202200001042,5.03,8.45
202200001043,4.49,9.99
202200001044,4.81,4.15
202200001045,5.58,12.06
202200001046,9.47,8.67
202200001047,5.32,12.22
202200001048,5.39,10.64
202200001049,4.56,6.34
202200001050,6.19,10.91
202200001051,5.31,7.22
202200001052,4.56,6.34
202200001053,6.87,9.72
202200001054,9.69,11.55
202200001055,3.93,2.66
202200001064,7.26,11.65
202200001094,8.1,8.63
202200001095,6.04,4.6
202200001096,8.08,5.28
202200001097,4.67,4.13
202200001098,1.58,6.02
202200001099,4.03,4.79
202200001100,3.98,2.67
202200001101,4.61,5.65
202200001102,1.97,3.47
202200001104,4.65,4.0
202200001106,2.74,3.52
202200001107,1.01,5.79
202200001108,0.9,8.61
202200001109,3.84,8.22
202200001110,3.76,4.26
202200001111,3.63,8.88
202200001112,4.8,8.54
202200001113,1.54,0.44
202200001116,4.18,5.46
202200001118,2.14,2.53
202200001121,2.19,6.11
202200001123,4.16,4.5
202200001127,4.72,8.01
202200001128,4.77,5.95
202200001129,6.21,10.51
202200001130,3.58,13.94
202200001131,0.1,3.82
202200001132,5.71,6.2
202200001134,3.68,6.96
202200001135,3.99,3.64
202200001137,3.02,8.95
202200001139,5.52,7.82
202200001141,0.42,8.22
202200001143,4.44,3.39
202200001145,2.98,4.54
202200001147,3.0,2.61
202200001190,4.44,5.92
202200001191,2.26,4.62
202200001192,3.9,3.6
202200001193,2.49,4.68
202200001194,4.26,3.55
202200001195,6.01,8.47
202200001196,3.13,8.82
202200001197,3.99,5.44
202200001198,2.2,5.81
202200001199,4.4,3.72
202200001200,4.16,5.19
202200001201,3.49,4.94
202200001202,3.98,6.98
202200001203,3.46,4.3
202200001204,2.05,5.66
202200001205,2.98,6.71
202200001206,2.74,7.37
202200001207,4.2,8.17
202200001208,4.62,9.49
202200001209,1.48,4.89
202200001210,5.26,5.83
202200001211,2.86,8.32
202200001212,2.89,3.28
202200001213,4.5,5.49
202200001214,4.54,5.26
202200001215,6.86,7.96
202200001216,3.36,4.61
202200001217,7.52,12.82
202200001218,3.1,6.79
202200001219,3.38,4.53
202200001220,2.6,5.16
202200001221,3.29,8.04
