Num_Acc,nearest_pompiers_min_osrm,nearest_sau_min_osrm
202200000101,14.15,17.37
202200000170,7.41,8.52
202200000182,2.68,5.13
202200000243,4.66,15.76
202200000244,6.23,11.43
202200000278,6.99,18.4
202200000334,10.56,4.8
202200000337,6.2,5.08
202200000374,8.49,4.88
202200000375,3.71,7.08
202200000387,5.47,6.04
202200000440,8.35,8.94
202200000462,9.59,58.28
202200000501,11.15,12.87
202200000524,4.74,4.56
202200000525,2.56,4.35
202200000539,6.79,11.37
202200000596,4.23,6.38
202200000608,8.38,32.22
202200000625,5.5,27.99
202200000759,10.09,5.05
202200000810,6.08,8.54
202200000812,3.26,4.15
202200000828,5.2,5.88
202200000831,4.04,4.6
202200000988,17.26,33.84
202200000993,13.42,18.13
202200001013,11.13,22.45
202200001025,1.37,10.72
202200001090,3.36,3.92
202200001250,8.81,6.77
202200001251,4.17,2.66
202200001252,13.14,7.32
202200001257,2.38,12.69
202200001309,7.94,12.13
202200001310,7.12,9.92
202200001341,6.04,7.12
202200001458,20.42,21.28
202200001459,14.99,22.9
202200001561,3.31,1.95
202200001637,7.36,13.0
202200001649,4.0,18.06
202200001672,9.82,9.4
202200001802,11.55,21.47
202200001826,4.91,15.29
202200001866,4.41,4.61
202200001870,1.85,4.44
202200001873,6.14,11.04
202200001902,8.3,19.36
202200001925,3.91,6.51
202200001966,6.57,5.3
202200002025,2.04,19.6
202200002166,7.24,26.54
202200002198,3.83,21.05
202200002204,12.18,27.25
202200002206,6.63,32.75
202200002272,11.03,14.58
202200002310,3.15,5.62
202200002313,9.71,10.86
202200002317,7.9,6.22
202200002351,12.66,62.32
202200002353,1.05,19.93
202200002356,8.07,17.39
202200002361,12.02,10.51
202200002365,2.88,13.67
202200002366,8.33,16.26
202200002367,5.23,19.76
202200002370,2.38,3.02
202200002372,5.98,11.03
202200002376,9.43,18.21
202200002380,12.48,18.46
202200002382,19.38,18.12
202200002511,1.6,1.68
202200002577,7.63,7.58
202200002633,4.14,4.27
202200002634,6.79,5.93
202200002661,5.37,5.24
202200002669,1.2,3.35
202200002686,4.18,6.63
202200002718,9.65,8.2
202200002733,2.94,6.29
202200002748,8.63,20.03
202200002832,8.02,4.74
202200002850,8.44,12.71
202200002919,2.94,10.85
202200002920,4.33,40.46
202200002921,11.8,35.72
202200002922,4.17,8.59
202200002983,2.43,2.38
202200003062,6.38,34.39
202200003067,5.83,7.72
202200003077,8.58,16.5
202200003078,9.66,9.93
202200003152,2.82,21.25
202200003162,7.58,8.27
202200003187,8.09,6.06
202200003189,5.8,6.48
202200003194,10.18,14.14
202200003307,6.16,30.56
202200003458,1.29,11.87
202200003493,3.88,3.01
202200003502,8.0,3.72
202200003506,3.58,2.13
202200003555,7.48,14.64
202200003570,8.64,8.25
202200003577,0.68,6.37
202200003633,5.11,1.25
202200003658,5.04,4.34
202200003820,7.27,3.82
202200003823,11.96,4.19
202200003828,5.66,5.53
202200003874,3.46,3.22
202200003882,5.39,7.0
202200003896,3.19,3.19
202200003903,3.02,6.26
202200003926,14.66,14.84
202200003946,5.01,35.48
202200004035,14.49,25.42
202200004076,6.55,4.84
202200004118,8.38,8.7
202200004130,13.71,12.96
202200004131,6.94,14.49
202200004138,6.5,5.42
202200004280,4.7,4.89
202200004298,6.51,3.63
202200004301,6.49,5.96
202200004310,3.4,15.25
202200004312,7.12,6.34
202200004322,10.1,2.84
202200004365,6.42,2.56
202200004416,5.43,3.93
202200004438,14.6,25.94
202200004440,7.56,35.33
202200004477,6.71,15.94
202200004576,5.89,17.57
202200004676,4.61,7.21
202200004677,5.1,3.41
202200004731,4.68,10.93
202200004735,6.78,6.4
202200004737,6.39,2.44
202200004797,9.72,13.99
202200004799,13.65,23.48
