Num_Acc,nearest_pompiers_min_osrm,nearest_sau_min_osrm
202200000234,16.32,35.36
202200000595,2.14,27.26
202200000595,2.14,27.26
202200000685,3.77,5.43
202200000685,3.77,5.43
202200000687,5.08,4.56
202200000687,5.08,4.56
202200000687,5.08,4.56
202200000809,6.49,1.34
202200000892,7.63,2.35
202200000892,7.63,2.35
202200000895,7.15,2.76
202200000895,7.15,2.76
202200000952,4.72,7.48
202200000952,4.72,7.48
202200000952,4.72,7.48
202200000953,0.24,7.24
202200000953,0.24,7.24
202200000980,6.9,16.57
202200001114,6.12,9.64
202200001114,6.12,9.64
202200001115,4.43,6.08
202200001115,4.43,6.08
202200001117,5.26,8.78
202200001178,6.88,0.76
202200001501,8.7,10.38
202200001501,8.7,10.38
202200001501,8.7,10.38
202200001776,3.6,5.31
202200001776,3.6,5.31
202200001779,0.99,6.11
202200001780,6.57,7.25
202200001780,6.57,7.25
202200001780,6.57,7.25
202200001937,3.9,7.04
202200001937,3.9,7.04
202200001942,7.94,4.52
202200002014,9.36,8.76
202200002014,9.36,8.76
202200002194,5.85,7.05
202200002194,5.85,7.05
202200002194,5.85,7.05
202200002194,5.85,7.05
202200002298,5.48,1.79
202200002298,5.48,1.79
202200002412,6.96,9.72
202200002412,6.96,9.72
202200002412,6.96,9.72
202200002416,4.44,3.48
202200002416,4.44,3.48
202200002421,6.01,11.06
202200002620,4.03,2.93
202200002621,6.84,12.41
202200002621,6.84,12.41
202200002621,6.84,12.41
202200002728,14.95,22.48
202200002728,14.95,22.48
202200002729,12.46,8.41
202200002814,5.3,9.06
202200002814,5.3,9.06
202200002815,2.28,4.6
202200002815,2.28,4.6
202200003061,8.39,13.39
202200003061,8.39,13.39
202200003061,8.39,13.39
202200003061,8.39,13.39
202200003061,8.39,13.39
202200003061,8.39,13.39
202200003061,8.39,13.39
202200003061,8.39,13.39
202200003061,8.39,13.39
202200003061,8.39,13.39
202200003061,8.39,13.39
202200003061,8.39,13.39
202200003148,8.4,17.27
202200003433,10.0,3.86
202200003433,10.0,3.86
202200003442,6.74,10.73
202200003533,8.38,29.08
202200003533,8.38,29.08
202200003574,12.13,13.35
202200003574,12.13,13.35
202200003574,12.13,13.35
202200003574,12.13,13.35
202200003642,7.51,1.26
202200003642,7.51,1.26
