Num_Acc,nearest_pompiers_min_osrm,nearest_sau_min_osrm
202200000311,5.15,20.92
202200000313,1.55,11.24
202200000366,3.02,5.2
202200000460,11.25,34.65
202200000546,10.13,10.28
202200000562,1.68,15.55
202200000566,5.64,13.97
202200000601,7.82,6.23
202200000647,11.52,25.99
202200000669,6.82,16.2
202200000710,2.06,2.53
202200000865,6.76,9.23
202200000897,6.25,26.97
202200000942,5.26,9.08
202200001072,2.95,19.87
202200001153,2.22,4.48
202200001154,1.56,33.44
202200001241,3.06,18.08
202200001318,9.15,31.88
202200001322,2.03,24.39
202200001378,4.14,5.34
202200001391,12.37,10.1
202200001449,6.84,17.91
202200001462,10.94,10.16
202200001471,7.81,16.71
202200001526,4.79,4.98
202200001634,7.05,40.12
202200001638,1.08,18.3
202200001641,6.64,8.28
202200001661,10.88,10.22
202200001896,4.86,4.79
202200001901,5.65,13.51
202200001934,4.18,34.38
202200002071,7.08,12.91
202200002162,4.56,5.86
202200002168,2.38,1.12
202200002180,1.96,36.01
202200002184,5.17,8.56
202200002189,2.19,10.6
202200002223,12.07,7.87
202200002454,5.51,24.21
202200002476,7.25,19.79
202200002478,5.18,1.68
202200002481,2.56,13.18
202200002483,4.05,10.05
202200002485,7.42,8.74
202200002487,7.2,7.46
202200002491,6.74,9.89
202200002556,4.25,11.61
202200002578,2.96,13.68
202200002590,6.97,16.16
202200002644,1.7,12.92
202200002646,7.7,9.02
202200002647,3.51,9.4
202200002648,5.85,10.51
202200002649,6.39,24.18
202200002734,2.46,2.52
202200002843,3.12,9.63
202200002844,6.41,6.36
202200002973,5.49,9.02
202200003081,12.18,15.21
202200003082,8.46,24.66
202200003083,4.28,29.54
202200003094,4.96,31.93
202200003127,8.56,9.71
202200003212,5.6,4.85
202200003216,0.74,11.37
202200003337,3.29,29.34
202200003394,9.49,24.2
202200003397,5.74,6.96
202200003494,6.8,29.66
202200003498,2.97,28.49
202200003503,5.91,7.48
202200003505,6.24,7.4
202200003509,4.58,11.79
202200003595,6.13,4.28
202200003726,7.53,8.32
202200003784,3.39,4.88
202200003801,3.24,24.14
202200003807,6.47,10.09
202200003911,3.54,9.14
202200003941,1.7,23.3
202200004024,5.68,8.82
202200004069,5.43,9.58
202200004143,3.52,25.11
202200004159,3.72,11.58
202200004161,3.3,24.1
202200004195,9.07,21.16
202200004295,5.44,10.92
202200004297,2.83,4.68
202200004299,6.31,3.87
202200004300,7.29,3.99
202200004320,6.86,9.51
202200004323,2.86,10.54
202200004325,6.43,7.52
202200004403,1.2,12.64
202200004439,3.85,20.92
202200004446,3.97,21.9
202200004481,10.12,18.06
202200004482,3.9,19.22
202200004526,3.59,4.97
202200004585,12.86,32.41
202200004592,8.81,10.06
202200004605,4.91,30.42
202200004627,12.32,15.44
202200004662,3.65,3.42
202200004663,3.87,3.74
202200004664,3.97,4.41
202200004783,3.44,6.31
202200004792,6.13,9.16
202200004987,3.96,7.5
202200004989,6.26,35.03
202200005077,10.65,21.51
202200005130,3.65,8.18
202200005156,7.81,7.19
202200005281,12.27,31.48
202200005334,8.12,4.82
202200005337,4.75,5.58
202200005341,1.15,33.82
202200005383,0.28,15.75
202200005385,7.91,23.05
202200005630,5.22,1.64
202200005849,7.03,17.29
202200005869,0.84,10.24
202200005908,1.84,33.82
202200005930,5.83,14.59
202200005980,3.49,19.12
202200006043,3.74,23.16
202200006088,8.44,22.8
202200006090,1.44,11.43
202200006092,6.1,10.29
202200006094,2.75,9.76
202200006101,6.39,14.04
202200006153,11.65,20.07
202200006165,9.84,14.58
202200006197,7.11,8.98
202200006217,6.32,15.03
202200006224,4.89,11.25
202200006336,6.9,6.15
202200006365,1.42,11.12
202200006423,14.28,18.07
202200006503,5.66,8.34
202200006591,5.92,14.24
202200006604,3.63,39.18
202200006611,6.1,2.84
202200006880,2.38,4.35
202200006888,5.93,10.5
202200006890,1.22,11.66
202200006892,3.79,3.24
202200006905,12.06,13.45
202200006967,2.25,7.56
202200006969,4.47,4.35
202200006970,7.34,8.66
202200007124,5.4,22.22
202200007145,2.77,12.99
202200007253,2.54,6.17
202200007254,6.71,4.43
202200007261,4.83,9.32
202200007264,8.25,4.99
202200007266,4.27,12.6
202200007351,9.96,7.32
202200007495,8.15,9.47
202200007576,2.72,3.0
202200007583,0.62,28.05
202200007596,2.48,24.2
202200007718,15.41,35.66
202200007731,2.72,14.71
202200007775,0.9,19.76
202200007807,4.42,27.72
202200007895,5.6,8.69
202200007932,4.83,5.4
202200008046,3.11,21.32
202200008083,5.47,35.99
202200008089,3.67,36.48
202200008125,3.98,19.35
202200008130,3.19,24.01
202200008245,2.09,9.89
202200008247,4.78,5.31
202200008249,2.81,17.82
202200008293,4.65,4.98
202200008300,1.67,12.31
202200008390,12.84,18.15
202200008485,5.75,27.77
202200008500,4.02,21.08
202200008545,5.71,13.7
202200008563,2.3,13.21
202200008748,4.87,3.73
202200008901,6.85,6.42
202200008913,2.79,17.01
202200008948,3.42,4.79
202200008951,5.44,3.57
202200008967,2.54,17.43
202200009026,9.56,13.88
202200009060,6.09,12.66
202200009146,2.44,12.46
202200009322,2.45,12.46
202200009349,3.4,21.69
202200009438,5.65,37.24
202200009459,6.82,32.22
202200009488,2.88,32.57
202200009515,4.74,19.1
202200009545,2.0,13.74
202200009721,4.25,16.47
202200009728,5.76,26.0
202200009742,6.11,8.35
202200009814,12.64,33.17
202200010056,1.81,19.07
202200010148,6.92,6.17
202200010261,2.43,20.7
202200010417,6.43,35.39
202200010489,3.88,38.92
202200010592,5.79,9.34
202200010678,4.14,5.93
202200010692,3.9,30.78
202200010739,1.62,15.84
202200010740,3.87,28.17
202200010975,7.3,9.65
202200010978,3.55,6.99
202200010996,2.54,20.87
202200011098,2.52,4.34
202200011107,4.93,9.67
202200011111,3.83,7.94
202200011345,4.85,0.46
202200011351,5.52,12.29
202200011360,8.24,38.32
202200011368,4.38,19.02
202200011371,4.03,7.36
202200011379,11.46,39.53
202200011416,2.62,30.59
202200011471,4.7,18.92
202200011482,4.0,14.28
202200011524,8.8,12.6
202200011528,5.72,10.05
202200011543,16.33,18.3
202200011579,2.87,13.33
202200011678,6.8,9.79
202200011679,2.34,5.21
202200011681,4.3,3.67
202200011691,7.6,13.65
202200011693,7.26,6.51
202200011848,5.89,15.36
202200011877,4.22,13.16
202200011891,6.15,19.97
202200011932,5.58,2.93
202200011934,6.78,6.0
202200012063,2.05,23.76
202200012104,9.26,18.45
202200012182,3.51,32.6
202200012221,3.65,8.87
202200012240,1.87,1.87
202200012362,2.84,15.38
202200012432,4.66,15.93
202200012444,7.22,11.94
202200012474,0.9,5.62
202200012519,7.16,37.19
202200012570,1.08,24.81
202200012596,3.72,17.9
202200012598,2.66,16.6
202200012675,4.08,9.25
202200012676,9.98,16.1
202200012728,3.74,6.73
202200012730,2.86,10.54
202200012783,4.3,17.48
202200012785,2.26,16.63
202200012996,4.72,4.31
202200013012,3.15,27.03
202200013040,1.84,2.82
202200013116,1.69,4.91
202200013123,8.12,4.82
202200013146,1.24,17.3
202200013155,3.44,21.26
202200013199,5.09,25.33
202200013224,10.73,24.06
202200013241,12.82,17.4
202200013292,5.01,11.95
202200013306,6.84,5.8
202200013347,4.52,5.24
202200013413,5.93,9.46
202200013420,7.25,6.5
202200013423,8.16,6.05
202200013447,6.23,5.24
202200013449,3.62,6.56
202200013458,6.53,9.5
202200013460,4.46,6.45
202200013506,9.24,19.74
202200013627,1.66,8.27
202200013680,5.6,11.91
202200013682,2.96,15.89
202200013735,11.71,16.03
202200013823,5.63,5.31
202200013986,4.25,7.23
202200014095,4.98,4.66
202200014226,6.62,11.41
202200014313,2.64,19.54
202200014325,8.5,13.81
202200014326,13.58,11.95
202200014336,1.04,11.8
202200014337,6.89,7.38
202200014382,4.62,5.36
202200014422,0.86,18.37
202200014529,4.35,10.62
202200014586,7.57,30.52
202200014731,3.64,4.9
202200014805,9.13,22.83
202200014853,9.32,21.16
202200014855,3.72,4.07
202200014857,1.55,12.75
202200014861,4.9,9.53
202200014867,2.82,22.71
202200014883,9.94,33.52
202200014896,9.54,5.99
202200014979,3.9,16.06
202200014982,4.16,17.4
202200015039,12.08,11.16
202200015044,5.94,24.24
202200015105,4.96,9.77
202200015230,4.12,7.28
202200015241,6.26,8.95
202200015247,6.53,7.6
202200015252,6.36,7.69
202200015259,4.06,2.63
202200015386,8.12,7.96
202200015577,6.19,19.53
202200015610,7.56,30.51
202200015676,4.44,15.03
202200015752,5.94,25.8
202200015773,9.0,9.49
202200015799,3.14,28.54
202200015953,5.08,30.39
202200016007,9.46,18.96
202200016044,2.68,29.33
202200016295,4.51,27.32
202200016431,9.78,14.0
202200016459,0.99,17.12
202200016461,1.01,5.56
202200016478,7.68,11.16
202200016523,4.64,6.7
202200016555,5.13,10.3
202200016627,5.11,9.68
202200016755,7.67,30.62
202200016785,7.57,16.45
202200016835,1.14,3.77
202200016896,1.9,19.62
202200016899,8.86,23.07
202200016902,4.97,25.17
202200016904,5.67,16.52
202200016908,6.45,29.56
202200016933,7.61,11.17
202200017043,7.01,8.32
202200017102,12.06,26.66
202200017163,5.09,12.05
202200017299,5.92,15.92
202200017309,5.94,8.79
202200017315,4.33,4.46
202200017321,5.83,14.42
202200017336,4.25,10.24
202200017374,6.1,5.57
202200017377,2.64,10.24
202200017379,2.68,4.46
202200017384,6.34,12.54
202200017389,5.48,4.67
202200017392,6.56,11.36
202200017503,6.87,16.53
202200017527,5.62,15.99
202200017614,1.85,10.84
202200017615,6.9,6.15
202200017628,3.93,6.91
202200017632,3.45,2.98
202200017637,6.96,7.12
202200017640,3.59,27.75
202200017783,5.5,26.16
202200017809,3.96,7.5
202200017907,7.31,10.6
202200017908,5.59,8.66
202200018045,2.67,8.76
202200018112,5.21,21.34
202200018332,2.29,32.66
202200018374,10.88,34.92
202200018405,4.39,7.38
202200018411,4.38,12.49
202200018413,3.44,6.1
202200018415,3.58,7.75
202200018493,5.97,5.64
202200018630,1.37,15.51
202200018631,2.19,22.46
202200018633,5.17,19.61
202200018638,2.83,3.16
202200018741,6.39,7.7
202200018838,22.8,37.77
202200018905,7.73,18.33
202200018938,3.36,25.26
202200018953,2.63,31.72
202200019133,4.31,10.58
202200019186,12.96,15.34
202200019245,6.09,33.59
202200019248,0.94,37.94
202200019285,2.9,33.64
202200019287,5.39,25.62
202200019356,13.22,19.57
202200019428,6.95,22.22
202200019515,3.71,20.04
202200019636,4.37,21.88
202200019663,6.72,28.74
202200019665,5.11,15.57
202200019739,5.26,3.88
202200019741,4.1,8.14
202200019804,3.96,11.08
202200019810,6.52,7.07
202200019812,3.7,14.87
202200019860,6.09,20.27
202200019928,2.67,29.34
202200019954,4.1,15.48
202200019994,6.32,8.51
202200019996,3.45,21.38
202200020053,5.43,5.37
202200020103,6.32,8.32
202200020104,3.63,5.81
202200020105,2.94,12.94
202200020107,8.71,7.5
202200020108,5.9,8.59
202200020109,2.86,27.04
202200020465,5.54,17.14
202200020511,7.63,8.94
202200020551,4.36,4.29
202200020555,6.64,12.82
202200020556,7.78,24.1
202200020606,2.69,9.58
202200020633,5.0,13.9
202200020785,1.29,14.97
202200020835,5.1,4.29
202200020837,4.54,3.99
202200020881,3.19,6.6
202200020883,5.8,3.07
202200020888,5.51,11.69
202200020891,4.15,13.82
202200020892,0.94,13.57
202200020894,7.65,11.68
202200020990,3.06,5.21
202200020993,12.36,22.73
202200021050,5.99,9.31
202200021107,3.37,15.38
202200021179,0.78,29.65
202200021246,8.66,22.47
202200021247,5.72,25.84
202200021284,4.33,25.18
202200021352,3.06,6.92
202200021441,3.24,32.78
202200021479,5.69,9.83
202200021480,7.78,3.1
202200021519,6.45,9.91
202200021535,4.96,9.77
202200021576,4.76,27.78
202200021664,8.23,41.85
202200021960,6.38,14.77
202200021983,10.92,27.07
202200021984,10.92,11.08
202200021996,16.15,18.12
202200022042,3.39,9.7
202200022045,2.56,26.21
202200022084,4.88,16.1
202200022138,7.13,10.58
202200022188,5.36,6.62
202200022236,5.89,35.83
202200022326,0.63,14.85
202200022342,7.25,8.5
202200022413,6.43,27.17
202200022662,5.51,14.17
202200022668,8.7,16.64
202200022725,3.62,3.07
202200022886,11.1,19.87
202200022900,0.38,7.45
202200022901,4.11,7.59
202200022902,7.12,7.38
202200022998,8.9,25.56
202200023049,6.17,20.68
202200023119,4.72,14.22
202200023204,12.2,34.66
202200023268,7.17,7.96
202200023270,1.53,9.43
202200023277,11.31,24.23
202200023278,12.85,19.82
202200023421,3.99,20.28
202200023503,11.94,31.95
202200023510,8.59,20.61
202200023575,7.17,16.79
202200023608,4.2,13.66
202200023633,3.93,5.58
202200023666,3.62,7.8
202200023877,4.73,27.09
202200023889,8.52,10.32
202200023894,6.16,10.83
202200023951,2.97,9.04
202200023957,5.38,6.25
202200023963,9.16,7.86
202200024166,1.74,33.45
202200024241,13.91,17.8
202200024243,6.97,18.05
202200024275,2.24,7.57
202200024328,15.29,31.08
202200024337,6.54,24.24
202200024338,7.77,15.66
202200024447,4.4,21.98
202200024508,5.34,41.52
202200024510,8.52,9.84
202200024515,2.62,17.43
202200024517,2.88,32.37
202200024537,1.77,5.82
202200024539,3.48,33.24
202200024710,4.3,20.8
202200024776,13.67,33.97
202200024802,6.53,5.78
202200024805,5.0,8.45
202200024807,6.2,4.1
202200024942,2.28,19.99
202200024943,2.57,28.33
202200025083,5.32,15.32
202200025084,4.23,3.21
202200025085,4.39,17.56
202200025153,9.32,33.78
202200025189,5.15,21.56
202200025242,2.92,10.28
202200025243,2.84,5.18
202200025440,7.72,20.57
202200025458,7.84,4.95
202200025532,10.98,7.71
202200025534,5.58,6.53
202200025539,7.13,7.11
202200025541,6.24,8.93
202200025544,1.18,11.7
202200025546,3.75,14.88
202200025710,16.9,14.05
202200025723,3.98,9.61
202200025724,4.04,9.21
202200025725,7.45,6.33
202200025769,5.6,27.86
202200025889,4.66,8.11
202200025930,0.99,13.73
202200026010,5.87,11.11
202200026032,6.17,6.52
202200026077,8.24,12.32
202200026142,7.36,8.27
202200026145,6.21,10.06
202200026148,2.21,5.35
202200026296,1.96,15.09
202200026314,5.27,34.63
202200026344,9.86,11.26
202200026374,5.26,5.44
202200026379,0.62,26.43
202200026491,3.12,26.77
202200026545,1.87,18.76
202200026552,4.2,25.38
202200026565,1.54,16.21
202200026572,7.22,28.99
202200026588,7.13,29.38
202200026589,6.54,20.96
202200026590,4.17,21.3
202200026595,5.87,15.52
202200026621,5.22,4.42
202200026624,4.44,11.62
202200026704,4.22,7.84
202200026713,4.89,18.14
202200026765,3.37,13.48
202200026772,6.06,18.47
202200026773,3.34,15.35
202200026774,3.87,14.7
202200026842,7.32,3.8
202200026876,4.93,10.73
202200026901,1.59,10.35
202200026908,5.0,2.97
202200027025,2.56,4.42
202200027062,5.26,19.23
202200027102,3.02,6.5
202200027120,7.76,9.25
202200027207,2.67,33.93
202200027347,2.67,10.1
202200027349,2.68,23.24
