Num_Acc,nearest_pompiers_min_osrm,nearest_sau_min_osrm
202200000008,5.27,9.08
202200000011,4.76,11.7
202200000076,3.82,5.97
202200000092,12.52,10.87
202200000117,7.42,21.92
202200000158,7.31,3.87
202200000173,3.82,7.98
202200000174,4.66,8.8
202200000181,9.18,7.96
202200000222,3.96,8.39
202200000431,2.38,12.57
202200000449,11.28,18.43
202200000451,4.07,27.08
202200000457,6.52,0.72
202200000461,5.3,19.52
202200000507,12.57,15.78
202200000560,5.03,35.69
202200000638,8.62,7.29
202200000639,1.04,4.57
202200000641,4.81,11.83
202200000693,1.83,4.44
202200000744,5.37,15.08
202200000769,6.92,9.82
202200000773,4.81,6.97
202200000824,3.0,8.14
202200000885,5.39,11.39
202200000904,6.56,5.36
202200000971,12.7,18.25
202200000985,11.17,63.83
202200000986,6.31,9.8
202200000987,13.69,44.88
202200001034,11.65,14.97
202200001063,7.94,5.72
202200001080,6.4,11.32
202200001126,4.01,3.43
202200001171,6.54,6.29
202200001172,8.67,10.44
202200001173,5.87,6.67
202200001254,10.94,24.74
202200001255,10.36,29.94
202200001256,4.54,6.7
202200001266,3.3,13.12
202200001267,2.21,14.21
202200001315,1.72,20.9
202200001333,10.54,27.35
202200001439,6.42,15.62
202200001441,12.53,24.2
202200001466,11.6,12.24
202200001549,1.12,9.33
202200001550,4.25,10.05
202200001551,3.32,6.0
202200001593,9.98,6.45
202200001607,4.07,40.72
202200001630,8.27,36.28
202200001652,12.42,27.14
202200001668,5.64,9.52
202200001675,3.5,13.21
202200001712,5.64,5.13
202200001739,2.02,5.68
202200001804,6.41,5.66
202200001842,7.58,16.0
202200001851,3.17,2.6
202200001905,6.35,10.72
202200001908,8.86,5.97
202200001921,9.1,11.54
202200002013,2.99,3.17
202200002175,11.18,13.97
202200002185,9.13,25.69
202200002195,11.98,24.6
202200002200,1.98,20.18
202200002203,8.98,32.46
202200002230,7.6,17.5
202200002260,5.63,9.11
202200002265,9.25,4.63
202200002296,7.46,11.13
202200002455,8.49,12.55
202200002462,2.42,3.38
202200002467,13.3,18.44
202200002468,16.14,22.98
202200002471,2.77,19.85
202200002472,4.42,27.81
202200002475,13.72,25.57
202200002477,14.01,12.85
202200002479,13.0,15.56
202200002595,6.63,28.6
202200002623,6.24,5.5
202200002666,6.67,11.49
202200002667,6.5,7.78
202200002668,9.26,6.76
202200002817,6.03,7.15
202200002853,5.77,9.39
202200002927,5.04,24.31
202200002928,5.03,2.21
202200002929,3.22,5.78
202200002947,2.1,4.83
202200002966,6.01,4.35
202200003022,12.92,13.35
202200003029,4.34,19.56
202200003032,18.29,50.2
202200003033,3.54,3.65
202200003038,11.5,20.75
202200003106,1.4,21.55
202200003110,2.78,30.22
202200003120,7.62,27.94
202200003262,6.09,11.48
202200003266,5.83,6.63
202200003269,4.42,10.59
202200003277,11.18,13.87
202200003323,5.34,6.26
202200003330,9.51,14.34
202200003334,2.35,6.24
202200003352,13.43,15.47
202200003424,4.94,24.62
202200003450,8.46,8.46
202200003512,3.2,2.34
202200003516,4.22,2.48
202200003564,12.6,16.36
202200003569,5.61,22.9
202200003594,5.24,9.32
202200003596,15.52,16.1
202200003599,7.27,9.72
202200003602,6.9,11.39
202200003607,2.89,7.38
202200003856,4.81,9.3
202200003857,8.86,19.75
202200003860,3.79,8.72
202200003864,7.15,3.48
202200003866,6.86,3.57
202200003943,5.87,7.6
202200004125,2.61,23.03
202200004172,7.35,18.68
202200004281,5.68,5.1
202200004321,3.17,4.83
202200004349,6.21,2.55
202200004581,3.91,32.25
202200004590,13.32,15.93
202200004646,8.99,1.44
202200004647,4.56,4.77
202200004687,2.93,9.96
202200004760,6.51,10.37
202200004763,6.57,9.35
202200004767,6.33,8.38
202200004860,5.17,14.3
202200004929,17.96,12.65
202200004944,5.35,16.77
202200004961,4.17,24.63
202200004966,8.49,12.74
202200004999,0.64,4.09
202200005023,8.53,15.32
202200005097,6.69,19.13
202200005237,10.36,15.19
202200005312,6.03,6.01
202200005314,3.82,2.08
202200005326,8.53,15.92
202200005331,5.25,12.27
202200005384,8.72,11.02
202200005388,2.63,2.85
202200005569,10.47,12.18
202200005595,7.22,23.53
202200005808,6.99,5.95
202200005818,10.43,35.12
202200005822,10.0,18.52
202200005857,6.32,11.36
202200005858,5.92,24.61
202200005861,11.38,16.94
202200005889,11.78,37.19
202200005945,7.04,11.42
202200005946,9.21,18.41
202200005985,4.28,4.29
202200005999,13.24,22.2
202200006005,11.85,13.59
202200006120,7.7,11.36
202200006172,4.7,26.01
202200006241,18.48,15.59
202200006252,14.9,13.71
202200006340,7.16,4.94
202200006376,4.2,9.72
202200006485,1.41,1.5
202200006486,6.05,28.25
202200006514,4.73,0.75
202200006515,3.18,9.59
202200006516,3.14,7.64
202200006517,4.56,10.07
202200006536,4.01,11.04
202200006595,11.35,10.56
202200006612,5.43,19.38
202200006663,3.12,6.02
202200006666,6.04,11.46
202200006676,3.49,2.92
202200006678,3.04,2.2
202200006767,10.82,13.59
202200006777,6.58,14.91
202200006779,8.54,11.72
202200006785,7.83,7.09
202200006790,8.64,22.89
202200006934,1.78,5.45
202200007227,11.04,20.56
202200007268,5.13,34.47
202200007285,9.24,10.05
202200007296,11.33,12.81
202200007317,9.31,13.06
202200007333,3.64,9.82
202200007387,13.19,20.24
202200007395,4.27,6.2
202200007456,1.55,25.27
202200007519,7.56,4.81
202200007520,3.26,9.05
202200007521,7.2,8.23
202200007548,5.66,5.0
202200007572,7.07,42.16
202200007609,15.17,22.86
202200007639,6.6,3.18
202200007652,17.63,20.64
202200007705,11.5,18.52
202200007736,7.27,18.13
202200007909,5.08,7.65
202200007923,7.03,7.91
202200007930,5.32,14.52
202200007931,5.98,13.87
202200007946,0.49,6.1
202200007948,5.67,10.05
202200007950,7.84,3.87
202200008016,9.49,4.17
202200008018,17.42,13.54
202200008021,12.08,13.4
202200008034,7.03,29.43
202200008058,16.93,17.46
202200008060,1.6,29.95
202200008098,9.51,19.41
202200008111,10.46,9.31
202200008129,10.45,18.89
202200008214,5.74,6.86
202200008226,2.09,6.71
202200008282,9.41,10.21
202200008284,5.21,6.5
202200008375,1.16,6.59
202200008376,14.61,46.52
202200008382,5.76,21.64
202200008402,9.18,13.58
202200008422,0.9,2.42
202200008437,6.96,12.22
202200008438,4.66,11.69
202200008483,3.65,19.71
202200008512,17.81,19.14
202200008513,1.66,5.53
202200008579,7.38,6.53
202200008665,10.22,31.11
202200008672,17.93,17.77
202200008673,14.36,23.13
202200008708,7.06,11.21
202200008847,8.53,19.98
202200008850,7.8,9.99
202200008884,3.76,2.9
202200008953,5.48,7.78
202200008972,3.56,6.12
202200008994,6.62,3.85
202200009009,5.63,9.3
202200009014,8.06,27.1
202200009015,3.11,4.77
202200009019,12.35,11.2
202200009074,3.19,14.0
202200009223,4.6,5.53
202200009229,6.61,11.44
202200009292,5.39,4.55
202200009344,4.15,17.17
202200009354,1.44,18.54
202200009356,14.74,17.31
202200009418,1.18,29.85
202200009421,5.81,7.61
202200009422,2.43,8.41
202200009433,16.24,28.4
202200009439,3.92,17.52
202200009521,5.89,27.4
202200009525,34.5,50.14
202200009529,9.31,24.47
202200009639,1.4,4.56
202200009665,4.81,3.97
202200009692,4.01,35.77
202200009703,7.64,24.45
202200009812,14.38,16.99
202200009818,10.5,15.45
202200009822,9.77,33.81
202200009823,14.45,15.48
202200009824,2.65,18.41
202200009828,16.4,18.02
202200009860,9.05,10.63
202200009880,7.85,17.49
202200009899,4.56,6.75
202200009917,5.08,9.24
202200009919,3.87,10.28
202200009942,4.45,13.09
202200009964,5.4,15.11
202200010053,6.5,35.12
202200010060,9.1,11.29
202200010070,6.02,17.46
202200010088,12.19,13.78
202200010110,9.62,19.04
202200010113,13.45,23.28
202200010216,3.99,20.62
202200010270,7.6,3.79
202200010273,7.03,8.3
202200010329,4.61,9.72
202200010409,8.18,30.34
202200010543,14.04,19.85
202200010544,9.88,14.42
202200010554,10.38,29.96
202200010555,21.27,28.06
202200010566,13.36,20.18
202200010628,3.8,5.6
202200010685,14.62,46.53
202200010759,8.32,22.82
202200010760,12.08,14.13
202200010961,5.85,18.59
202200011072,7.33,8.6
202200011184,4.26,2.59
202200011197,9.6,20.63
202200011207,5.62,35.53
202200011238,3.61,3.03
202200011314,1.02,3.23
202200011329,9.23,29.5
202200011342,4.77,8.8
202200011346,6.13,4.91
202200011362,7.48,13.66
202200011413,8.07,7.59
202200011418,2.62,7.92
202200011432,2.88,5.04
202200011449,7.39,23.8
202200011506,12.86,17.41
202200011509,5.5,4.71
202200011525,2.4,30.36
202200011587,5.34,25.25
202200011710,7.62,10.46
202200011715,6.52,6.82
202200011800,7.2,35.36
202200011808,8.92,14.26
202200011810,4.5,26.05
202200011819,6.01,13.98
202200011851,3.77,25.91
202200011872,12.77,36.7
202200011920,3.83,2.85
202200011997,9.53,12.07
202200012000,6.96,7.86
202200012079,2.83,12.98
202200012090,4.89,19.04
202200012109,1.0,35.5
202200012139,6.89,11.78
202200012204,6.79,6.06
202200012206,2.99,7.52
202200012357,13.33,15.59
202200012359,12.2,17.2
202200012377,12.16,27.35
202200012379,7.11,27.6
202200012468,11.15,15.98
202200012469,8.8,10.13
202200012485,18.02,20.04
202200012508,8.81,12.06
202200012520,9.84,29.14
202200012531,6.63,29.54
202200012533,13.4,10.27
202200012536,1.3,18.24
202200012655,2.21,6.82
202200012662,5.54,3.76
202200012677,7.32,2.38
202200012709,4.9,14.33
202200012755,9.92,7.04
202200012758,8.23,3.61
202200012872,6.94,20.46
202200012876,12.06,9.63
202200012947,11.62,13.4
202200012953,6.88,22.54
202200013074,1.95,2.16
202200013079,5.26,6.85
202200013173,7.33,4.86
202200013175,5.95,16.16
202200013177,9.41,13.51
202200013178,7.15,9.65
202200013232,2.28,9.78
202200013261,0.8,15.42
202200013300,5.9,7.1
202200013329,6.42,6.82
202200013345,2.78,5.8
202200013457,7.75,3.77
202200013468,7.55,8.35
202200013630,5.01,21.32
202200013675,4.52,48.45
202200013678,7.89,8.3
202200013679,4.08,21.6
202200013695,5.66,35.74
202200013706,7.52,47.63
202200013787,3.27,17.18
202200013848,7.72,3.74
202200013920,11.42,13.89
202200014043,6.88,7.95
202200014082,8.1,17.64
202200014126,6.97,7.26
202200014128,6.76,7.06
202200014130,7.04,2.45
202200014179,9.03,17.81
202200014182,7.75,24.91
202200014184,10.87,30.17
202200014250,2.86,21.33
202200014252,4.64,18.86
202200014286,8.8,13.63
202200014351,4.84,3.28
202200014355,7.28,3.3
202200014356,7.14,8.94
202200014397,11.1,24.32
202200014404,12.17,23.6
202200014405,6.56,9.57
202200014473,7.82,9.08
202200014557,1.88,6.04
202200014559,2.64,11.57
202200014583,5.92,26.55
202200014585,2.44,9.47
202200014589,8.4,16.39
202200014667,1.71,26.65
202200014669,13.9,14.48
202200014699,7.37,7.37
202200014702,6.11,11.33
202200014738,14.37,47.07
202200014739,1.79,5.46
202200014740,7.15,4.84
202200014787,7.8,12.63
202200014788,15.49,47.4
202200014790,9.51,62.18
202200014796,5.04,30.13
202200014907,8.17,31.65
202200015020,9.03,13.51
202200015026,15.42,20.05
202200015028,10.49,11.79
202200015038,10.11,13.12
202200015171,14.38,18.31
202200015180,10.53,25.76
202200015184,9.68,21.09
202200015188,15.64,44.94
202200015196,1.99,2.23
202200015215,8.67,20.72
202200015220,7.7,21.66
202200015231,2.52,22.63
202200015282,13.9,28.93
202200015288,14.69,17.25
202200015328,3.26,17.67
202200015332,8.44,61.11
202200015340,0.98,3.14
202200015354,4.18,1.3
202200015355,2.69,19.32
202200015366,4.51,17.33
202200015380,20.1,35.08
202200015384,2.29,19.61
202200015430,6.98,7.78
202200015457,8.23,7.08
202200015464,11.79,12.56
202200015582,1.53,10.66
202200015763,14.48,20.54
202200015830,1.69,1.93
202200015864,4.8,5.87
202200015866,2.58,1.81
202200015867,18.67,19.78
202200015962,7.63,20.92
202200016001,8.0,16.38
202200016053,8.83,23.88
202200016152,6.24,5.9
202200016165,3.9,32.24
202200016267,10.36,15.79
202200016323,3.3,8.77
202200016386,8.3,22.29
202200016436,5.85,17.1
202200016458,8.29,21.16
202200016468,5.54,7.64
202200016495,5.84,5.1
202200016532,7.3,4.05
202200016534,2.78,2.61
202200016573,3.85,8.41
202200016622,6.47,8.15
202200016728,8.46,12.14
202200016729,6.49,5.74
202200016758,4.28,2.55
202200016778,10.3,20.86
202200016784,8.37,17.89
202200016798,6.96,2.99
202200016799,5.28,11.11
202200016800,3.85,10.02
202200016802,5.29,7.67
202200016808,7.23,4.76
202200016810,5.42,15.99
202200016813,9.86,16.05
202200016842,11.81,17.14
202200016843,6.99,12.23
202200016944,16.68,19.53
202200016945,11.42,10.26
202200017002,6.06,3.88
202200017005,6.44,8.59
202200017028,5.72,9.26
202200017071,6.63,11.46
202200017073,0.98,14.9
202200017106,2.56,26.31
202200017141,4.98,2.5
202200017145,12.92,21.42
202200017222,10.11,12.52
202200017224,4.82,6.15
202200017276,5.35,5.86
202200017319,3.35,10.38
202200017391,4.94,10.09
202200017430,2.6,17.98
202200017436,7.07,14.16
202200017437,7.46,14.92
202200017537,3.37,25.75
202200017538,0.98,10.1
202200017540,6.9,19.44
202200017625,7.1,8.68
202200017630,4.6,5.87
202200017633,5.53,10.65
202200017641,5.25,6.82
202200017643,6.8,9.35
202200017646,3.05,7.54
202200017647,7.56,7.85
202200017747,10.96,11.76
202200017754,4.98,9.01
202200017769,1.97,2.08
202200017818,8.71,9.63
202200017853,12.27,14.38
202200017923,1.7,15.61
202200017927,2.32,3.52
202200017928,2.88,7.75
202200017972,6.04,4.39
202200018031,7.0,12.83
202200018051,5.83,6.04
202200018101,2.36,28.62
202200018102,8.41,22.62
202200018187,3.44,13.15
202200018232,7.51,12.59
202200018248,4.97,5.89
202200018346,4.7,3.03
202200018350,4.08,2.35
202200018362,6.97,8.63
202200018366,6.02,10.51
202200018387,4.76,4.02
202200018497,2.68,5.83
202200018511,4.41,7.39
202200018528,7.0,6.36
202200018532,5.33,9.4
202200018535,3.63,9.11
202200018540,1.91,9.41
202200018544,6.4,8.9
202200018553,8.99,6.47
202200018635,4.94,11.31
202200018658,2.45,6.12
202200018660,0.36,6.34
202200018683,5.04,10.15
202200018768,9.68,11.15
202200018811,9.8,13.68
202200018833,9.26,13.8
202200018916,4.79,6.66
202200018929,9.68,13.88
202200018972,11.74,14.21
202200018979,5.44,5.36
202200018984,2.07,8.4
202200018989,12.12,11.33
202200019065,5.45,8.4
202200019166,6.24,9.68
202200019170,6.36,3.42
202200019268,4.69,31.62
202200019324,0.86,34.01
202200019359,3.67,26.25
202200019363,2.26,5.17
202200019367,7.37,19.4
202200019373,9.82,11.15
202200019401,5.16,33.3
202200019449,13.03,19.48
202200019482,6.97,2.02
202200019529,5.53,8.1
202200019664,2.74,1.45
202200019670,9.06,19.12
202200019725,4.8,3.4
202200019759,9.96,10.76
202200019760,5.92,10.29
202200019773,5.32,12.35
202200019782,6.08,18.3
202200019823,7.94,5.47
202200019826,1.9,26.82
202200019861,7.48,8.84
202200019864,14.54,38.53
202200019907,12.34,10.69
202200019920,5.23,12.25
202200020144,2.06,6.17
202200020198,6.41,8.97
202200020200,7.1,22.9
202200020239,5.66,9.82
202200020277,6.84,8.82
202200020397,1.68,32.42
202200020399,5.58,4.68
202200020411,9.78,17.78
202200020447,7.15,7.04
202200020506,8.36,5.23
202200020507,9.2,16.38
202200020570,8.29,12.9
202200020572,2.98,20.9
202200020585,7.53,9.8
202200020698,29.56,70.63
202200020700,1.99,4.15
202200020743,3.58,4.04
202200020905,11.78,12.55
202200020908,11.95,12.27
202200020945,6.66,11.34
