Num_Acc,nearest_pompiers_min_osrm,nearest_sau_min_osrm
202200000071,6.68,15.58
202200000161,2.9,3.96
202200000162,2.84,10.11
202200000163,1.85,3.58
202200000256,0.36,12.28
202200000257,4.01,19.19
202200000266,6.92,5.36
202200000296,9.45,4.47
202200000365,4.83,7.33
202200000442,7.37,18.06
202200000444,13.3,15.58
202200000450,5.16,21.15
202200000663,3.22,8.44
202200000720,7.36,6.22
202200000722,5.81,7.51
202200000725,2.02,3.97
202200000727,2.3,11.54
202200000742,6.4,15.06
202200000772,3.98,0.79
202200000775,10.14,11.51
202200000778,7.17,8.47
202200000781,6.78,12.42
202200000816,6.05,12.08
202200000850,6.62,11.01
202200000853,9.47,6.01
202200000856,2.97,5.36
202200000920,8.45,9.41
202200000934,10.22,19.33
202200000936,4.03,12.26
202200000978,6.39,22.11
202200001151,11.61,14.98
202200001152,2.24,2.63
202200001242,2.55,25.54
202200001306,10.99,20.88
202200001354,7.57,17.22
202200001365,4.76,13.15
202200001386,7.27,3.72
202200001387,3.22,13.78
202200001388,4.97,8.74
202200001389,6.43,5.25
202200001390,2.16,6.2
202200001521,8.33,4.96
202200001522,5.29,7.92
202200001523,3.14,7.59
202200001524,5.94,5.1
202200001525,5.16,4.51
202200001595,10.23,8.47
202200001670,10.85,10.03
202200001691,3.86,16.81
202200001692,5.61,12.61
202200001693,4.14,13.46
202200001696,7.8,11.69
202200001702,3.03,6.06
202200001704,6.9,20.36
202200001705,8.83,12.0
202200001719,6.01,5.51
202200001857,3.32,4.37
202200001859,4.5,5.3
202200001861,2.72,5.01
202200001864,3.45,6.17
202200001881,5.01,3.07
202200001885,3.01,5.4
202200001892,2.66,13.7
202200001997,5.14,2.42
202200002075,1.19,10.2
202200002098,6.0,7.57
202200002124,0.3,9.02
202200002129,6.98,6.82
202200002133,5.13,8.15
202200002138,5.0,6.94
202200002145,8.34,4.89
202200002151,5.58,7.28
202200002157,2.0,4.86
202200002187,1.59,17.46
202200002284,4.86,9.22
202200002386,1.32,4.26
202200002400,7.1,9.97
202200002470,1.47,10.24
202200002473,4.92,7.66
