Num_Acc,nearest_pompiers_min_osrm,nearest_sau_min_osrm
202200000097,6.91,21.15
202200000164,2.6,3.62
202200000228,9.8,18.91
202200000229,2.29,14.91
202200000286,3.76,30.15
202200000288,12.16,23.91
202200000323,3.49,3.17
202200000355,5.92,5.04
202200000369,3.31,6.17
202200000370,4.86,4.59
202200000438,6.8,27.27
202200000470,4.64,16.94
202200000475,4.5,35.45
202200000481,6.2,34.06
202200000483,7.75,3.98
202200000497,1.34,32.02
202200000498,13.3,39.48
202200000510,2.04,4.67
202200000514,7.01,29.74
202200000590,10.12,31.31
202200000683,1.84,22.51
202200000689,4.82,30.03
202200000691,2.3,27.28
202200000732,3.74,3.71
202200000735,2.29,7.22
202200000737,2.4,8.0
202200000739,4.39,5.84
202200000868,5.28,5.26
202200000875,2.08,5.4
202200000954,3.31,6.3
202200000969,13.94,20.57
202200000970,11.11,17.74
202200000976,10.22,15.7
202200001136,6.58,7.1
202200001138,3.38,4.72
202200001157,4.52,6.22
202200001158,6.19,7.74
202200001159,3.29,4.25
202200001160,5.24,5.99
202200001261,8.62,28.79
202200001303,4.83,25.74
202200001319,5.8,33.89
202200001320,8.18,25.36
202200001331,2.71,21.47
202200001338,5.47,14.43
202200001394,4.4,4.16
202200001395,6.38,5.34
202200001396,4.64,3.9
202200001397,7.2,5.38
202200001398,8.7,7.98
202200001440,6.23,23.91
202200001455,3.16,21.33
202200001470,4.74,14.24
202200001502,3.98,6.74
202200001534,0.68,4.66
202200001535,6.64,4.86
202200001536,3.72,2.78
202200001537,3.74,3.84
202200001538,7.44,3.66
202200001616,9.43,20.94
202200001629,5.74,23.88
202200001632,4.44,15.27
202200001640,0.7,27.43
202200001757,11.01,25.4
202200001775,7.34,27.43
202200001835,4.77,4.87
202200001883,5.18,5.15
202200001886,4.8,4.86
202200001906,6.62,15.72
202200001943,2.62,9.25
202200002003,8.51,30.14
202200002006,4.41,23.51
202200002011,3.09,2.69
202200002080,8.31,14.06
202200002205,5.59,4.69
202200002224,4.49,36.11
202200002251,28.6,19.0
202200002433,4.22,3.52
202200002437,4.14,2.45
202200002486,6.96,7.18
202200002501,3.85,5.1
202200002502,4.4,6.28
202200002506,3.32,5.43
202200002581,11.21,22.35
202200002653,3.96,3.18
202200002654,6.13,6.94
202200002655,7.8,3.28
202200002657,5.67,4.92
202200002723,3.91,18.48
202200002725,6.98,25.13
202200002726,5.89,24.23
202200002735,7.35,39.85
202200002739,19.14,38.92
202200002823,4.14,4.66
202200002846,4.99,4.66
202200002847,8.89,9.38
202200002933,7.62,14.14
202200002975,8.39,4.42
202200002976,7.52,8.12
202200002977,5.73,5.02
202200002978,4.89,6.61
202200003043,0.9,14.75
202200003049,7.81,14.33
202200003058,5.74,26.28
202200003059,8.2,34.65
202200003060,12.72,15.5
202200003095,5.98,19.04
202200003163,1.86,2.38
202200003164,1.43,3.9
202200003225,7.16,4.88
202200003294,3.66,19.34
202200003311,8.59,11.54
202200003364,6.71,22.02
202200003390,11.71,24.26
202200003412,2.07,22.25
202200003431,7.09,5.62
202200003432,6.8,22.86
202200003436,7.79,10.06
202200003439,7.41,7.93
202200003445,5.19,29.88
202200003452,6.61,21.43
202200003456,8.44,9.6
202200003499,8.83,8.27
202200003515,4.22,11.78
202200003532,3.33,3.64
202200003541,7.52,5.85
202200003586,10.29,20.65
202200003663,5.38,2.07
202200003668,5.64,8.34
202200003701,5.3,5.2
202200003705,3.97,5.32
202200003708,8.26,6.19
202200003712,5.94,6.23
202200003743,6.81,25.52
202200003770,5.42,2.41
202200003776,5.36,7.63
202200003901,4.98,7.82
202200003939,2.3,17.74
202200003994,2.52,15.28
202200004011,4.25,7.79
202200004013,6.48,5.14
202200004017,6.86,6.08
202200004052,11.72,35.29
202200004070,5.96,7.99
202200004103,8.05,16.66
202200004108,4.05,23.82
202200004126,9.81,30.5
202200004140,7.79,35.96
202200004173,4.24,11.05
202200004175,4.9,11.96
202200004302,7.56,4.75
202200004305,2.34,7.27
202200004306,5.6,4.09
202200004307,4.82,4.65
202200004331,4.52,8.73
202200004332,2.27,3.91
202200004430,12.79,22.58
202200004444,6.25,8.12
202200004459,1.95,9.27
202200004463,10.79,18.9
202200004464,6.6,9.16
202200004465,8.11,24.54
202200004492,3.14,9.67
202200004528,5.4,6.72
202200004588,7.89,19.75
202200004593,4.76,22.85
202200004599,12.92,31.26
202200004643,6.74,6.24
202200004651,6.19,4.46
202200004666,4.46,5.03
202200004668,4.31,5.88
202200004669,6.21,7.93
202200004722,8.12,35.22
202200004729,5.34,29.53
202200004738,4.01,28.2
202200004740,2.78,29.68
202200004749,8.15,22.97
202200004751,9.99,10.43
202200004778,4.04,2.16
202200004794,12.5,23.65
202200004878,5.14,3.48
202200004924,2.03,15.41
202200004952,8.04,6.96
202200004958,2.11,6.1
202200004970,8.03,28.65
202200005004,1.58,10.19
202200005107,12.43,13.6
202200005145,8.38,6.4
202200005148,4.1,5.61
202200005151,2.7,5.54
202200005205,3.43,4.6
202200005207,6.18,4.04
202200005340,2.85,22.86
202200005348,2.93,8.16
202200005352,0.5,6.23
202200005355,8.49,7.2
202200005359,8.32,14.92
202200005363,4.92,4.33
202200005401,8.24,25.19
202200005571,5.35,5.54
202200005572,1.14,10.82
202200005591,7.74,9.75
202200005610,10.33,9.99
202200005635,3.17,6.1
202200005639,5.87,7.46
202200005676,10.08,15.63
202200005680,8.45,23.16
202200005761,4.72,7.44
202200005797,4.69,7.59
202200005826,3.54,14.18
202200005847,5.44,27.1
202200005871,3.49,2.41
202200005898,9.64,11.48
202200005903,11.62,39.28
202200005915,3.74,29.91
202200005924,8.98,7.99
202200005926,7.81,22.09
202200005996,8.96,19.8
202200006017,11.03,28.2
202200006076,9.08,10.03
202200006100,9.53,9.5
202200006102,6.41,11.24
202200006104,6.14,4.07
202200006106,6.66,8.38
202200006233,8.11,30.58
202200006235,1.8,26.96
202200006239,6.78,32.96
202200006247,3.12,4.8
202200006248,1.66,21.83
202200006254,10.44,30.29
202200006288,15.44,10.21
