Num_Acc,nearest_pompiers_min_osrm,nearest_sau_min_osrm
202200000014,2.38,12.82
202200000089,11.78,9.12
202200000093,6.21,16.41
202200000121,2.67,24.64
202200000122,0.86,6.86
202200000225,8.01,8.21
202200000255,4.75,26.21
202200000292,10.61,16.69
202200000293,5.41,19.78
202200000427,3.82,22.1
202200000436,6.98,10.4
202200000472,2.55,22.35
202200000476,2.76,17.55
202200000482,6.48,6.68
202200000563,5.5,15.12
202200000581,7.5,7.32
202200000667,5.55,5.56
202200000803,5.93,4.13
202200000899,6.48,5.07
202200000940,7.17,19.96
202200001002,3.26,13.94
202200001036,2.01,5.54
202200001150,4.62,11.46
202200001321,13.26,21.49
202200001350,5.12,22.82
202200001351,8.05,16.45
202200001352,7.76,14.57
202200001353,5.86,14.26
202200001438,10.13,10.8
202200001506,7.57,11.04
202200001660,10.95,21.96
202200001688,11.24,12.24
202200001689,0.99,3.85
202200001788,12.1,6.38
202200001791,8.97,12.04
202200001795,3.0,6.82
202200001800,2.47,7.13
202200001850,8.82,23.17
202200001856,7.96,13.13
202200001858,11.68,9.58
202200001862,8.16,13.52
202200001869,17.39,21.17
202200001971,4.7,5.4
202200002021,12.24,29.21
202200002028,7.76,25.64
202200002031,17.1,19.56
202200002034,2.93,19.44
202200002099,0.91,12.87
202200002279,10.05,14.86
202200002299,10.58,17.27
202200002302,2.88,6.28
202200002314,6.71,6.9
202200002346,3.97,2.97
202200002396,6.66,9.52
202200002500,10.74,9.32
202200002504,10.06,11.65
202200002564,2.88,35.36
202200002579,10.59,12.99
202200002601,5.5,4.35
202200002767,3.45,5.63
202200002768,4.81,4.81
202200002769,5.3,13.81
202200002818,7.28,10.97
202200002907,5.92,25.06
202200002946,4.49,1.7
202200002970,5.23,5.04
202200003045,2.94,18.35
202200003046,17.54,21.0
202200003099,6.86,6.68
202200003100,6.75,8.09
202200003102,7.98,2.3
202200003103,3.35,8.46
202200003105,14.98,21.65
202200003109,8.06,12.2
202200003111,7.86,20.32
202200003118,2.91,9.7
202200003198,4.2,2.01
202200003200,9.45,8.34
202200003368,12.95,25.68
202200003371,11.05,11.88
202200003428,6.29,6.49
202200003454,7.58,10.85
202200003457,8.09,11.15
202200003462,3.76,7.34
202200003557,3.48,12.12
202200003646,4.89,5.05
202200003846,7.91,9.98
202200003905,4.63,10.58
202200003917,13.18,19.27
202200003938,5.41,5.23
202200003967,6.65,26.86
202200003978,7.92,24.89
202200004114,9.61,7.93
202200004177,3.72,19.17
202200004178,9.21,21.84
202200004206,3.01,9.58
202200004255,4.42,5.01
202200004288,4.85,9.64
202200004436,11.95,15.83
202200004475,8.85,11.71
202200004495,5.16,16.88
202200004496,3.08,5.08
202200004633,4.95,7.81
202200004744,4.76,10.25
202200004856,9.57,11.8
202200004858,9.68,22.14
202200004875,3.7,8.57
202200005006,9.32,9.52
202200005029,7.04,17.86
202200005035,7.04,16.88
202200005078,5.24,10.2
202200005082,7.42,13.27
202200005086,5.17,7.48
202200005090,5.2,3.93
202200005103,2.79,21.81
202200005371,1.63,7.89
202200005376,6.59,11.81
202200005494,7.02,20.64
202200005577,5.02,7.58
202200005580,3.69,11.46
202200005581,4.41,5.53
202200005788,9.99,22.0
202200005859,10.44,29.77
202200006065,4.31,4.83
202200006066,7.98,15.1
202200006230,11.81,14.67
202200006265,4.5,4.31
202200006301,7.14,9.0
202200006420,10.14,18.83
202200006421,2.21,19.01
202200006438,8.4,5.38
202200006457,13.62,26.02
202200006492,3.05,5.91
202200006650,9.06,16.95
202200006652,20.58,23.0
202200006708,5.66,5.49
202200006733,5.86,9.9
202200006788,6.14,9.61
202200006789,5.46,8.03
202200006791,4.89,3.62
202200006802,12.01,14.65
202200007005,5.0,9.69
202200007173,5.07,17.09
202200007177,7.46,8.8
202200007181,6.47,6.59
202200007228,3.61,5.83
202200007307,5.32,12.11
202200007327,4.39,7.82
202200007331,9.92,8.24
202200007335,2.44,16.97
202200007337,8.08,8.97
202200007371,2.58,9.89
202200007459,5.88,10.84
202200007460,8.82,26.7
202200007463,6.1,21.46
202200007482,4.33,12.27
202200007501,1.58,18.95
202200007614,12.05,12.82
202200007746,2.88,13.4
202200007748,7.22,18.02
202200007749,4.45,28.09
202200007761,9.34,17.21
202200007766,18.64,15.06
202200007778,7.71,31.46
202200007797,5.5,20.31
202200007798,5.27,28.09
202200007875,5.11,8.65
202200007893,4.6,4.75
202200008063,3.89,19.42
202200008064,5.5,26.33
202200008076,8.16,25.33
202200008147,11.13,13.39
202200008384,4.45,27.14
202200008385,8.09,9.54
202200008425,5.71,9.29
202200008426,8.04,15.95
202200008499,25.42,26.35
202200008560,3.22,3.38
202200008590,5.58,10.68
202200008730,2.89,8.24
202200008731,4.3,1.44
202200008743,6.32,4.68
202200008774,2.29,4.25
202200008830,4.94,20.88
202200008866,6.97,11.74
202200008911,9.87,14.03
202200008955,8.72,11.58
202200009013,3.22,2.8
202200009050,4.63,5.22
202200009052,8.59,6.97
202200009054,2.62,7.25
202200009059,4.51,4.6
202200009062,5.84,8.0
202200009067,6.36,9.04
202200009121,3.62,4.45
202200009199,3.31,10.07
202200009207,5.87,7.78
202200009281,2.99,3.31
202200009287,1.42,1.93
202200009323,7.28,19.0
202200009351,12.07,17.22
202200009390,4.92,30.58
202200009394,8.46,8.73
202200009396,7.28,7.29
202200009398,10.19,9.9
202200009425,10.99,18.15
202200009481,9.66,16.7
202200009527,10.97,12.52
202200009554,2.7,18.86
202200009558,7.86,22.04
202200009588,8.85,11.3
202200009591,5.42,6.39
202200009630,5.27,6.24
202200009830,12.26,12.46
202200009866,5.98,3.41
202200009867,19.3,21.72
202200010048,5.08,25.15
202200010081,1.14,21.93
202200010112,12.55,11.7
202200010114,3.88,23.97
202200010118,3.18,12.66
202200010141,4.28,12.16
202200010143,0.91,17.02
202200010183,7.58,10.15
202200010200,3.41,8.49
202200010203,5.46,3.7
202200010225,7.61,9.58
202200010228,6.27,8.24
202200010245,4.76,10.46
202200010311,5.24,9.04
202200010331,4.02,6.24
202200010334,8.87,11.93
202200010338,3.64,4.2
202200010346,5.53,7.39
202200010348,2.45,5.63
202200010350,5.83,4.4
202200010430,8.9,16.02
202200010553,4.31,24.34
202200010567,0.75,16.26
202200010568,12.07,9.79
202200010572,3.49,17.48
202200010573,1.81,24.62
202200010599,10.08,12.11
202200010600,3.45,5.72
202200010601,1.9,1.5
202200010602,6.03,21.69
202200010646,5.14,7.37
202200010700,2.98,5.72
202200010811,4.7,9.66
202200010819,5.53,4.8
202200010960,3.82,5.43
202200010965,4.91,5.23
202200010966,3.24,6.87
202200010969,3.09,3.05
202200010989,5.91,20.38
202200011064,8.9,8.61
202200011211,3.92,3.39
202200011278,13.0,13.01
202200011386,7.37,10.86
202200011444,5.06,24.31
202200011546,9.78,21.21
202200011605,9.52,13.39
202200011657,3.47,8.42
202200011659,2.99,4.29
202200011874,4.23,15.74
202200012112,12.0,12.3
202200012131,8.54,10.26
202200012237,2.41,9.86
202200012375,3.02,29.53
202200012402,10.12,17.91
202200012404,1.52,13.83
202200012419,6.38,2.38
202200012442,1.55,11.46
202200012535,6.06,14.44
202200012556,9.06,11.46
202200012564,8.53,11.39
202200012593,6.99,8.96
202200012595,7.65,19.46
202200012597,8.72,15.53
202200012599,9.37,13.92
202200012610,2.82,4.43
202200012678,3.26,5.36
202200012723,3.86,9.33
202200012756,2.73,21.71
202200012807,5.74,7.58
202200012866,17.16,12.93
202200013002,8.74,17.97
202200013105,4.14,11.59
202200013170,3.42,5.84
202200013250,12.06,19.16
202200013274,8.95,8.95
202200013279,3.7,22.65
202200013297,8.58,6.1
202200013301,4.07,5.6
202200013305,7.45,10.93
202200013308,9.86,15.27
202200013436,3.67,11.04
202200013519,9.27,8.9
202200013609,17.1,20.98
202200013643,1.69,25.35
202200013671,10.55,25.18
202200013673,2.13,21.22
202200013696,5.76,5.64
202200013780,12.21,16.48
202200013902,17.1,29.83
202200013930,9.53,31.92
202200013944,9.51,15.63
202200013995,7.52,14.43
202200014049,3.67,9.14
202200014201,4.26,20.28
202200014206,4.66,20.73
202200014228,6.16,17.06
202200014244,3.28,8.54
202200014268,7.57,13.66
202200014285,4.14,9.1
202200014287,4.44,5.68
202200014395,6.69,24.99
202200014409,7.43,8.88
202200014449,18.37,24.54
202200014478,5.2,8.07
202200014480,2.74,18.33
202200014582,2.77,20.27
202200014629,8.75,16.98
202200014653,6.9,9.49
202200014655,3.39,6.82
202200014657,13.47,17.69
202200014845,3.92,6.86
202200014893,3.23,12.36
202200014943,12.66,12.66
202200014955,9.05,6.42
202200014961,6.1,18.03
202200015017,7.3,7.13
202200015032,7.02,4.29
202200015065,0.38,22.06
202200015117,3.55,22.46
202200015158,11.97,26.31
202200015163,11.5,8.32
202200015167,11.66,17.3
202200015329,3.81,9.38
202200015392,2.25,14.32
202200015408,2.34,26.11
202200015411,8.99,12.23
202200015465,7.45,24.44
202200015525,2.8,2.29
202200015590,1.59,8.9
202200015608,9.06,32.82
202200015613,3.37,16.58
202200015637,18.6,24.78
202200015657,9.17,15.72
202200015699,6.12,6.12
202200015783,3.84,5.11
202200015811,6.46,6.46
202200015836,4.4,8.66
202200015972,0.7,25.96
202200016164,2.47,25.92
202200016276,5.52,28.02
202200016388,8.09,7.98
202200016395,4.35,16.28
202200016426,2.25,37.48
202200016432,11.12,13.16
202200016475,3.54,10.68
202200016497,2.85,18.26
202200016630,5.09,10.44
202200016631,8.24,16.64
202200016635,5.08,5.08
202200016637,4.82,17.74
202200016640,18.86,14.63
202200016732,2.36,7.92
202200016740,7.27,23.15
202200016806,12.8,15.66
202200016891,2.61,16.98
202200016893,1.98,23.27
202200016895,11.03,13.08
202200017127,2.02,6.55
202200017228,3.94,13.49
202200017285,3.27,13.1
202200017458,8.51,15.44
202200017507,7.51,18.11
202200017739,13.47,21.98
202200017768,9.2,26.98
202200017770,7.49,4.08
202200017781,4.66,21.96
202200017796,4.7,27.3
202200017817,3.26,14.98
202200017820,7.65,9.5
202200017822,1.92,1.64
202200017859,3.58,7.01
202200017861,4.1,20.65
202200017862,3.75,24.8
202200017887,2.18,9.22
202200017898,2.82,8.88
202200018023,2.55,20.95
202200018137,10.58,10.7
202200018285,5.23,8.66
202200018286,8.49,11.96
202200018309,7.31,21.16
202200018382,5.52,5.53
202200018385,6.57,8.42
202200018412,3.56,6.43
202200018414,3.0,17.86
202200018420,9.06,9.48
202200018579,5.74,7.58
202200018772,6.66,2.67
202200018776,9.31,3.51
202200018781,7.98,1.83
202200018853,1.18,20.38
202200018855,10.71,16.31
202200018919,4.69,7.39
202200018934,2.96,11.33
202200018936,2.24,2.46
202200018937,9.8,24.78
202200018940,3.46,17.62
202200018999,3.9,6.76
202200019030,1.97,9.36
202200019044,2.06,14.6
202200019056,7.29,21.14
202200019262,7.84,23.85
202200019263,5.2,22.98
202200019365,4.35,35.73
202200019368,3.71,21.18
202200019371,9.01,10.86
202200019376,7.84,21.6
202200019385,7.74,23.69
202200019463,5.56,17.28
202200019550,1.73,14.55
202200019551,2.6,5.83
202200019669,6.48,8.45
202200019671,3.84,19.42
202200019874,4.49,13.67
202200019884,12.48,12.28
202200019886,9.8,21.69
202200019908,9.12,12.22
202200019913,13.48,15.52
202200019939,5.11,20.08
202200020224,5.91,9.71
202200020241,6.62,6.5
202200020327,1.51,8.82
202200020417,1.52,12.72
202200020452,9.99,13.53
202200020453,5.5,10.06
202200020455,5.42,27.96
202200020514,5.38,4.11
202200020611,9.27,28.85
202200020814,6.32,9.79
202200020853,8.35,35.1
202200020898,12.94,18.29
202200021030,4.38,20.81
202200021219,4.29,19.05
202200021224,14.06,17.49
202200021267,1.87,13.74
202200021298,1.01,12.9
202200021305,8.73,19.24
202200021370,10.81,13.11
202200021424,3.04,23.3
202200021449,1.45,4.99
202200021492,5.86,10.82
202200021517,18.23,24.34
202200021520,11.55,17.15
202200021567,4.65,2.7
202200021667,5.55,13.72
202200021706,4.69,4.69
202200021750,5.06,4.87
202200021844,2.92,9.28
202200021962,3.67,3.37
202200022125,4.81,12.44
202200022128,6.36,5.0
202200022349,5.01,12.04
202200022353,7.68,25.1
202200022505,3.06,2.78
202200022533,3.31,10.15
202200022591,14.86,14.99
202200022654,7.62,7.19
202200022661,7.01,21.04
202200022798,12.42,13.18
202200022804,7.26,11.77
202200022838,2.22,4.44
202200022936,6.56,11.84
202200023021,5.14,6.82
202200023106,3.63,25.23
202200023107,1.23,17.42
202200023121,1.76,14.05
202200023156,4.62,7.28
202200023158,7.1,12.58
202200023219,5.21,8.24
202200023221,4.81,5.14
202200023337,3.99,5.82
202200023461,5.87,10.52
202200023490,2.76,20.55
202200023511,11.79,15.1
202200023523,5.54,27.06
202200023537,2.03,22.04
202200023581,3.42,3.42
202200023610,8.16,13.52
202200023789,12.4,12.04
202200023802,5.65,23.98
202200023885,22.91,18.35
202200023927,11.02,14.57
202200023947,6.64,18.38
202200023950,8.22,12.11
202200023952,7.87,3.52
202200023955,3.6,6.01
202200024102,3.48,8.14
202200024291,4.64,23.15
202200024294,10.14,10.99
202200024343,4.06,24.65
202200024364,9.44,8.96
202200024423,8.76,15.95
202200024426,6.16,21.05
202200024593,5.05,14.13
202200024661,6.62,13.4
202200024662,2.03,14.05
202200024664,0.53,4.82
202200024666,5.21,8.07
202200024668,12.34,20.85
202200024671,8.25,5.4
202200024674,7.64,7.64
202200024738,5.86,6.83
202200024740,3.78,7.6
202200024743,6.26,4.58
202200024808,12.61,15.54
202200024888,5.2,22.98
202200024896,4.18,23.1
202200024915,7.1,7.1
202200024916,4.62,11.44
202200024992,10.17,27.9
202200025019,8.12,13.56
202200025061,2.86,6.43
202200025152,14.88,15.06
202200025163,4.91,6.46
202200025195,1.9,19.43
202200025196,0.82,2.71
202200025234,5.91,7.76
202200025235,2.96,8.69
202200025273,5.82,6.01
202200025380,8.24,11.1
202200025382,17.78,18.72
202200025593,2.5,9.8
202200025690,12.02,9.75
202200025695,4.86,17.69
202200025708,6.08,29.84
202200025712,3.07,14.19
202200025791,4.56,16.65
202200025827,8.0,7.82
202200025828,4.34,5.82
202200025873,10.18,14.94
202200025911,8.37,25.17
202200025935,3.82,11.96
202200026069,5.13,8.86
202200026127,4.54,8.6
202200026130,6.23,4.24
202200026282,4.05,14.51
202200026285,5.6,26.33
202200026324,7.93,7.98
202200026347,5.94,9.04
202200026421,5.58,8.71
202200026616,4.98,7.21
202200026671,2.45,18.13
202200026674,9.33,20.37
202200026769,1.7,10.86
202200026780,12.99,19.17
202200026783,7.61,6.46
202200026785,8.65,6.06
202200026838,5.78,7.64
202200026859,1.73,22.42
202200026861,8.48,24.14
202200026874,6.78,9.62
202200026954,2.31,16.96
202200027053,7.26,23.59
202200027089,5.79,9.48
202200027272,1.63,4.04
202200027300,5.68,11.57
202200027303,9.18,17.58
202200027304,7.69,10.14
202200027382,1.79,4.66
202200027385,7.49,13.65
202200027517,4.36,8.72
202200027519,2.21,18.65
202200027539,8.37,21.17
202200027558,2.3,9.07
202200027679,8.8,11.26
202200027680,2.51,7.16
202200027770,4.4,4.83
202200027921,3.18,9.02
202200027923,6.55,2.64
202200027925,4.72,8.3
202200027927,3.64,7.92
202200028027,6.37,4.57
202200028029,2.32,7.88
202200028137,10.02,3.41
202200028140,10.74,14.98
202200028143,3.2,8.22
202200028146,5.19,3.98
202200028149,5.5,10.46
202200028181,2.74,9.5
202200028270,4.05,27.6
202200028271,14.83,18.86
202200028282,5.78,13.76
202200028468,3.32,31.47
202200028589,12.06,14.36
202200028590,7.72,21.48
202200028815,7.06,29.47
202200028841,4.5,12.51
202200028945,6.97,11.93
202200028997,3.86,26.38
202200029064,3.23,33.87
202200029096,4.18,10.8
202200029157,7.18,7.0
202200029217,1.86,25.76
202200029237,7.76,10.81
202200029445,3.13,17.15
202200029482,15.36,25.52
202200029543,1.58,19.22
