Num_Acc,nearest_pompiers_min_osrm,nearest_sau_min_osrm
202200000004,6.35,4.84
202200000096,8.63,33.4
202200000100,2.22,42.91
202200000118,3.83,15.88
202200000176,5.42,5.77
202200000208,4.78,16.9
202200000216,9.8,24.59
202200000217,7.92,21.94
202200000233,8.45,19.57
202200000252,11.87,14.12
202200000350,5.69,5.38
202200000380,8.75,13.35
202200000428,10.87,17.82
202200000578,10.35,30.02
202200000670,3.57,9.25
202200000896,11.91,17.01
202200001084,6.91,6.49
202200001085,6.32,5.9
202200001086,8.39,1.36
202200001179,6.37,1.07
202200001304,6.53,15.84
202200001405,4.79,11.82
202200001432,6.26,6.25
202200001437,7.0,25.96
202200001454,4.28,4.86
202200001457,4.03,30.38
202200001468,6.09,10.01
202200001555,7.01,4.28
202200001609,0.18,25.02
202200001631,2.76,31.2
202200001644,7.78,30.0
202200001695,11.34,21.4
202200001697,3.46,18.24
202200001783,6.99,9.02
202200001784,5.46,9.22
202200001917,4.12,5.84
202200001946,7.32,6.12
202200002131,3.21,19.21
202200002137,12.04,17.59
202200002183,9.49,13.17
202200002188,8.57,29.34
202200002243,10.49,32.81
202200002389,5.38,28.08
202200002480,3.14,17.09
202200002521,5.43,13.36
202200002574,2.4,22.13
202200002675,1.34,4.57
202200002909,7.31,14.54
202200002930,9.65,11.0
202200002931,5.39,28.04
202200002961,3.22,8.86
202200003028,6.26,42.72
202200003055,3.68,6.11
202200003101,11.83,48.96
202200003144,4.48,14.39
202200003210,16.02,18.11
202200003213,5.86,7.47
202200003273,6.14,10.23
202200003275,4.07,5.78
202200003278,5.38,6.41
202200003279,2.75,12.23
202200003286,6.84,17.26
202200003288,0.95,6.9
202200003298,2.9,43.3
202200003355,7.55,18.55
202200003423,7.66,19.83
202200003438,7.19,12.59
202200003444,10.34,17.48
202200003448,1.91,27.06
202200003449,5.1,42.43
202200003530,3.42,14.97
202200003603,1.74,22.05
202200003694,2.52,27.77
202200003982,12.35,15.01
202200003996,4.33,5.9
202200004104,10.98,25.5
202200004128,6.26,14.8
202200004256,4.84,9.57
202200004279,2.49,30.25
202200004434,7.0,26.25
202200004471,1.79,20.0
202200004472,9.13,9.13
202200004489,10.62,9.04
202200004539,7.46,6.26
202200004540,5.74,5.24
202200004572,5.64,36.33
202200004578,6.56,27.51
202200004579,2.33,26.02
202200004601,0.32,46.42
202200004681,4.31,3.49
202200004844,13.34,18.76
202200004851,8.51,2.8
202200004896,6.21,6.17
202200004953,0.55,34.52
202200004973,1.68,29.65
202200005001,7.43,15.3
202200005019,12.84,24.66
202200005138,8.52,2.37
202200005142,3.93,9.17
202200005146,3.03,6.64
202200005154,4.61,5.96
202200005161,4.39,6.17
202200005201,9.62,6.55
202200005357,4.62,6.61
202200005386,5.52,4.31
202200005393,6.43,30.36
202200005404,7.57,6.36
202200005519,14.58,9.46
202200005795,4.84,13.89
202200005798,11.31,16.08
202200005878,4.88,20.65
202200005888,7.03,33.8
202200006038,7.35,11.8
202200006067,3.67,27.8
202200006157,12.28,33.62
202200006159,6.96,10.29
202200006285,10.31,15.35
202200006377,7.88,1.01
202200006429,5.71,27.74
202200006487,3.07,13.1
202200006488,10.47,9.91
202200006489,8.0,14.94
202200006622,1.09,16.37
202200006775,11.94,10.8
202200006778,4.37,5.96
202200006780,1.87,5.85
202200006808,7.66,20.57
202200006843,2.81,21.84
202200006966,5.44,6.76
202200006968,5.26,8.49
202200007068,8.8,18.43
202200007223,6.46,4.62
202200007225,7.02,13.63
202200007265,10.64,31.21
202200007391,3.29,13.58
202200007649,1.03,14.78
202200007654,12.8,31.22
202200007657,8.96,13.43
