Num_Acc,nearest_pompiers_min_osrm,nearest_sau_min_osrm
202200000005,3.44,5.62
202200000006,4.8,4.08
202200000007,1.42,13.41
202200000012,5.18,5.58
202200000110,3.26,6.45
202200000111,11.25,21.25
202200000123,11.96,10.94
202200000177,9.32,8.18
202200000178,4.2,2.49
202200000179,2.16,4.14
202200000180,3.22,5.96
202200000231,1.09,26.95
202200000245,4.39,11.06
202200000258,7.38,13.13
202200000280,10.89,19.0
202200000298,3.77,8.1
202200000300,6.42,9.96
202200000302,4.81,11.87
202200000304,6.71,11.71
202200000306,2.76,5.69
202200000356,4.43,6.95
202200000357,5.63,5.06
202200000382,1.63,2.17
202200000383,2.97,5.16
202200000384,4.56,9.01
202200000385,1.86,4.59
202200000386,4.49,7.07
202200000433,2.27,8.43
202200000434,5.29,10.78
202200000437,10.24,10.82
202200000447,2.52,20.43
202200000485,0.84,11.58
202200000508,10.76,12.02
202200000526,11.39,16.43
202200000529,5.71,32.39
202200000532,5.95,8.18
202200000535,2.75,11.23
202200000543,3.54,15.49
202200000544,6.94,12.72
202200000547,2.48,18.98
202200000552,3.82,17.57
202200000570,5.95,14.76
202200000583,4.07,4.9
202200000586,9.67,13.2
202200000588,5.93,10.93
202200000591,4.87,9.58
202200000594,4.01,4.83
202200000597,4.73,8.13
202200000600,12.28,10.54
202200000607,1.07,14.81
202200000610,5.26,9.97
202200000636,12.33,35.8
202200000640,7.04,15.95
202200000642,5.69,10.42
202200000646,9.5,12.21
202200000650,8.14,7.87
202200000653,6.23,18.75
202200000654,5.14,8.12
202200000657,1.54,14.52
202200000673,2.87,11.0
202200000681,5.33,8.62
202200000692,6.44,14.58
202200000694,3.49,7.04
202200000696,3.33,4.2
202200000794,6.61,10.22
202200000796,3.81,6.64
202200000800,3.41,4.4
202200000802,2.85,5.58
202200000805,2.34,4.51
202200000807,4.42,5.35
202200000821,3.6,21.64
202200000898,5.2,4.18
202200000900,10.3,9.17
202200000902,7.06,8.75
202200000905,7.95,7.88
202200000907,9.28,15.55
202200000908,1.49,21.69
202200000955,0.97,6.22
202200000956,7.1,8.49
202200001001,6.13,15.11
202200001019,10.26,13.39
202200001026,6.1,2.82
202200001037,5.27,9.97
202200001038,7.56,14.82
202200001039,3.35,5.33
202200001062,1.93,9.73
202200001088,1.3,2.26
202200001089,4.0,2.89
202200001092,1.39,6.52
202200001093,6.02,8.57
202200001119,4.24,3.21
202200001120,2.68,6.11
202200001122,2.96,4.38
202200001124,0.77,7.96
202200001125,2.67,2.88
202200001181,1.75,2.14
202200001182,0.68,6.63
202200001183,4.85,11.94
202200001184,3.78,2.29
202200001185,2.81,6.31
202200001186,3.04,12.06
202200001187,11.51,9.22
