Num_Acc,nearest_pompiers_min_osrm,nearest_sau_min_osrm
202200000001,5.19,9.65
202200000088,4.0,25.98
202200000090,13.02,14.83
202200000095,4.52,14.04
202200000124,4.78,4.97
202200000125,4.17,4.09
202200000167,6.02,0.58
202200000168,3.47,1.9
202200000211,4.15,18.42
202200000214,1.55,19.48
202200000221,8.5,9.01
202200000226,6.82,36.67
202200000227,0.96,0.96
202200000236,5.92,31.89
202200000248,1.38,36.13
202200000249,1.47,21.59
202200000250,1.42,1.52
202200000251,3.5,43.02
202200000269,6.39,15.89
202200000270,4.77,4.92
202200000271,2.61,4.38
202200000272,3.34,8.67
202200000284,2.41,9.14
202200000303,4.97,7.58
202200000325,5.84,6.55
202200000329,3.05,6.49
202200000340,4.07,8.09
202200000342,6.16,7.16
202200000343,3.84,7.85
202200000347,5.76,5.4
202200000359,2.84,1.9
202200000371,4.77,3.2
202200000389,8.49,7.2
202200000390,3.39,5.61
202200000429,7.57,8.68
202200000432,11.61,23.85
202200000435,1.44,19.88
202200000467,3.02,29.42
202200000480,6.9,26.73
202200000486,3.29,19.88
202200000499,10.28,10.03
202200000502,5.61,24.5
202200000503,11.99,30.99
202200000511,4.28,4.15
202200000518,4.36,29.03
202200000545,11.87,37.88
202200000548,2.9,15.62
202200000549,7.5,5.22
202200000551,4.07,14.22
202200000572,6.56,17.34
202200000574,11.01,16.7
202200000585,2.64,18.71
202200000587,2.8,7.25
202200000589,6.15,10.53
202200000599,5.95,6.19
202200000616,1.28,15.94
202200000627,4.22,12.9
202200000634,4.73,9.1
202200000643,4.81,6.1
202200000668,3.86,6.02
202200000671,6.11,7.22
202200000672,3.6,11.47
202200000674,2.58,1.6
202200000675,5.92,4.0
202200000680,5.36,3.51
202200000699,4.97,2.88
202200000700,4.18,4.86
202200000701,4.75,5.81
202200000703,5.22,9.15
202200000705,6.99,11.57
202200000708,6.51,6.84
202200000713,4.93,12.38
202200000724,7.88,11.78
202200000726,1.77,0.85
202200000730,5.62,8.78
202200000731,2.33,5.35
202200000734,4.74,9.38
202200000738,1.5,9.92
202200000746,6.67,4.8
202200000763,5.14,18.61
202200000766,6.88,5.89
202200000782,7.08,4.85
202200000783,3.39,9.09
202200000786,2.19,7.63
202200000819,3.98,9.44
202200000820,4.8,2.19
202200000827,4.33,3.33
202200000840,2.85,19.98
202200000842,9.12,7.61
202200000845,4.23,6.55
202200000848,1.57,8.82
202200000852,6.74,10.65
202200000855,4.13,8.67
202200000858,6.7,11.8
202200000874,5.68,11.38
202200000876,6.43,9.56
202200000877,2.45,6.38
202200000878,6.42,7.89
202200000880,5.77,9.7
202200000882,7.45,11.38
202200000884,5.8,8.04
202200000886,5.8,7.4
202200000888,5.05,1.89
202200000890,5.51,9.12
202200000893,4.67,7.58
202200000894,4.16,5.86
202200000906,3.95,10.13
202200000909,2.37,16.52
202200000910,0.92,24.38
202200000911,7.59,11.31
202200000912,3.1,7.14
202200000913,2.08,19.21
202200000914,1.99,8.44
202200000916,11.12,25.22
202200000918,3.0,6.26
202200000921,4.29,7.35
202200000922,5.84,4.88
202200000923,2.35,7.66
202200000924,3.23,5.34
202200000925,5.46,6.32
202200000926,1.62,14.25
202200000928,6.06,6.48
202200000930,3.8,15.03
202200000932,3.84,6.7
202200000943,3.57,3.88
202200000944,5.19,8.58
202200000946,4.8,2.81
202200000966,5.73,4.86
202200000992,0.32,10.52
202200000996,8.73,15.3
202200000997,1.84,8.65
202200000999,2.4,11.26
202200001000,2.12,16.92
202200001005,6.82,24.3
202200001017,5.94,13.62
202200001029,3.92,13.3
202200001030,9.99,27.44
202200001031,5.93,11.49
202200001032,2.36,43.03
202200001033,7.72,23.73
202200001060,6.5,7.91
202200001066,5.18,5.66
202200001067,5.85,3.57
202200001082,5.98,3.42
202200001189,5.34,9.2
202200001243,8.6,11.27
202200001262,3.92,8.82
202200001268,11.24,23.04
202200001269,12.83,29.0
202200001270,3.26,14.65
202200001271,3.59,20.57
202200001272,1.42,20.24
202200001302,2.03,11.94
202200001335,12.61,13.26
202200001336,9.3,6.06
202200001347,9.77,20.38
202200001348,4.74,23.78
202200001349,5.76,30.2
202200001355,5.18,12.36
202200001372,4.01,3.9
202200001373,6.41,6.44
202200001374,1.76,3.75
202200001381,6.42,5.46
202200001382,4.44,7.03
202200001436,2.77,18.82
202200001463,12.27,27.01
202200001465,2.88,13.72
202200001485,11.08,16.34
202200001489,8.92,55.2
202200001493,0.02,5.44
202200001494,7.31,6.12
202200001495,2.5,3.14
202200001496,2.35,4.36
202200001497,7.49,7.76
202200001544,3.69,4.02
202200001545,1.08,7.92
202200001546,7.82,5.95
202200001565,3.67,5.14
202200001623,5.66,32.3
202200001626,6.19,11.92
202200001643,4.02,7.24
202200001656,2.39,3.72
202200001663,5.2,4.37
202200001664,13.51,16.4
202200001667,5.21,12.89
202200001669,3.99,13.15
202200001671,4.4,7.83
202200001673,2.16,3.32
202200001687,6.78,13.15
202200001690,3.47,2.29
202200001694,6.1,19.6
202200001722,4.56,5.28
202200001746,4.53,6.69
202200001747,4.2,1.78
202200001749,3.12,4.79
202200001750,6.22,3.24
202200001752,3.47,1.97
202200001755,7.16,8.58
202200001758,5.9,8.06
202200001759,4.31,5.32
202200001761,2.84,6.3
202200001767,2.86,8.1
202200001769,3.51,9.98
202200001772,6.78,7.16
202200001785,1.94,3.08
202200001786,7.44,6.05
202200001787,6.28,16.95
202200001803,4.74,8.34
202200001806,3.04,6.48
202200001807,4.08,5.49
202200001808,4.28,4.52
202200001813,5.38,5.5
202200001830,5.19,8.28
202200001833,9.41,17.33
202200001834,4.28,8.01
202200001836,2.24,10.2
202200001837,1.38,25.72
202200001838,7.4,6.44
202200001839,6.57,10.81
202200001840,5.97,5.0
202200001843,3.1,20.71
202200001846,6.35,4.44
202200001849,7.5,7.2
202200001852,5.38,6.74
202200001853,9.31,10.95
202200001855,9.53,12.38
202200001860,6.37,4.12
202200001877,0.8,4.01
202200001880,1.98,5.38
202200001893,4.08,8.85
202200001912,3.54,4.02
202200001918,5.21,11.88
202200001922,1.48,9.87
202200001927,2.04,5.28
202200001930,3.04,6.17
202200001950,5.02,7.42
202200001951,0.37,5.79
202200001955,6.26,11.28
202200001961,3.6,6.44
202200001964,4.51,3.87
202200001970,3.8,6.8
202200001972,3.6,4.21
202200001975,7.52,8.64
202200001978,4.92,7.24
202200001982,5.31,8.47
202200001983,9.55,4.7
202200001990,7.6,5.54
202200002007,6.37,3.59
202200002035,7.44,4.36
202200002038,5.99,7.12
202200002040,3.01,22.02
202200002041,8.57,13.96
202200002045,2.4,39.25
202200002048,1.38,18.76
202200002062,2.7,5.38
202200002065,2.08,4.55
202200002069,5.48,23.18
202200002072,4.53,5.53
202200002078,1.05,2.88
202200002079,6.58,8.36
202200002082,6.14,5.59
202200002089,5.64,5.88
202200002114,4.17,12.22
202200002115,1.77,15.55
202200002122,12.95,29.74
202200002128,16.89,32.66
202200002135,2.05,14.39
202200002139,7.89,4.31
202200002140,7.16,24.93
202200002143,13.39,20.49
202200002144,8.32,8.32
202200002146,3.5,5.4
202200002149,3.77,20.66
202200002153,7.78,6.52
202200002156,9.01,16.83
202200002160,2.63,6.0
202200002163,4.54,4.12
202200002167,4.65,20.04
202200002170,2.98,19.52
202200002171,5.86,15.12
202200002173,4.9,7.7
202200002176,5.23,9.54
202200002178,2.52,27.04
202200002181,2.81,26.5
202200002186,7.12,7.16
202200002208,11.83,19.38
202200002211,3.06,15.4
202200002215,7.14,3.61
202200002227,5.06,3.96
202200002229,0.35,5.39
202200002233,6.66,9.82
202200002235,8.06,18.85
202200002240,12.3,15.25
202200002244,7.38,12.64
202200002259,5.88,6.47
202200002274,5.23,3.24
202200002275,9.1,6.03
202200002280,9.43,10.26
202200002282,7.31,7.18
202200002283,2.05,41.58
202200002285,8.54,8.17
202200002287,5.87,14.69
202200002289,7.17,6.14
202200002292,3.62,8.14
202200002307,5.34,6.05
202200002324,4.04,4.16
202200002362,3.05,5.72
202200002368,5.87,9.72
202200002393,2.82,3.91
202200002409,7.38,11.27
202200002413,4.31,7.32
202200002431,8.18,12.79
202200002441,3.07,9.41
202200002445,4.97,7.47
202200002456,2.17,2.31
202200002458,4.65,20.27
202200002460,7.58,9.67
202200002461,3.05,20.99
202200002463,4.42,37.7
202200002464,4.5,20.86
202200002508,4.11,2.35
202200002542,4.9,22.58
202200002543,9.22,20.74
202200002563,1.33,26.95
202200002566,1.84,8.87
202200002592,4.99,14.6
202200002593,8.59,10.63
202200002594,9.76,16.41
202200002612,2.51,5.82
202200002615,4.04,9.52
202200002616,5.58,7.23
202200002628,2.34,11.04
202200002629,3.84,6.45
202200002630,3.97,7.98
202200002631,6.39,3.33
202200002720,6.85,34.13
202200002760,5.58,14.01
202200002761,13.7,25.3
202200002762,4.6,18.65
202200002803,4.38,8.24
202200002804,4.74,8.59
202200002805,4.71,7.09
202200002826,1.79,1.12
202200002827,4.9,7.71
202200002908,8.18,12.11
202200002925,9.13,13.63
202200002926,1.98,2.13
202200002953,2.54,3.55
202200002967,3.2,3.6
202200002989,5.02,3.42
202200003025,6.24,7.29
202200003047,4.57,13.94
202200003084,10.69,10.51
202200003085,0.32,29.29
202200003086,11.24,22.79
202200003088,6.39,31.91
202200003089,3.58,19.8
202200003092,1.64,19.52
202200003112,5.4,6.64
202200003158,5.53,2.3
202200003159,7.64,8.02
202200003165,4.79,4.7
202200003168,3.62,8.35
202200003170,5.48,5.67
202200003171,3.59,6.78
202200003172,6.12,9.97
202200003174,4.47,4.39
202200003175,6.56,3.76
202200003176,6.36,8.52
202200003201,1.86,5.54
202200003203,7.63,7.66
202200003205,1.76,8.55
202200003206,5.27,4.85
202200003208,7.14,10.44
202200003230,2.01,16.47
202200003235,3.76,8.6
202200003281,17.21,34.2
202200003299,3.37,7.95
202200003303,7.14,14.4
202200003318,4.8,4.27
202200003341,7.69,22.78
202200003344,6.36,18.87
202200003349,4.12,13.95
202200003386,2.81,3.97
202200003414,3.5,8.39
202200003415,0.13,16.09
202200003422,2.21,6.08
202200003425,2.35,6.73
202200003427,4.97,5.41
202200003430,5.18,12.4
202200003435,9.43,11.14
202200003459,7.87,6.9
202200003463,2.11,7.84
202200003467,2.52,3.93
202200003469,2.31,8.19
202200003472,4.25,7.03
202200003475,2.4,8.53
202200003477,4.37,5.31
202200003478,6.12,6.69
202200003491,3.73,50.65
202200003497,1.96,10.38
202200003501,3.26,13.61
202200003504,2.06,14.08
202200003508,7.07,17.02
202200003510,1.03,19.98
202200003511,7.53,39.77
202200003514,7.16,16.77
202200003545,3.75,25.3
202200003550,1.45,7.14
202200003606,4.39,9.33
202200003612,3.94,4.65
202200003615,7.07,6.67
202200003619,6.67,10.58
202200003622,1.49,6.58
202200003626,0.6,7.87
202200003627,7.24,6.2
202200003630,5.86,10.88
202200003655,5.64,7.81
202200003660,6.02,8.18
202200003665,4.16,7.72
202200003671,4.46,4.69
202200003680,3.71,3.6
202200003685,7.76,7.4
202200003693,7.03,4.24
202200003697,2.32,9.66
202200003702,3.98,7.83
202200003703,5.57,4.58
202200003706,5.25,7.91
202200003709,5.64,9.49
202200003714,5.44,7.46
202200003716,3.38,5.02
202200003719,6.89,4.53
202200003720,4.9,4.2
202200003724,5.14,7.78
202200003725,8.04,10.4
202200003729,7.8,10.04
202200003732,4.87,3.51
202200003735,5.42,10.91
202200003739,2.27,5.7
202200003778,8.38,8.45
202200003783,3.65,4.13
202200003786,2.2,4.04
202200003787,2.7,8.64
202200003790,3.15,10.42
202200003792,2.88,7.81
202200003796,3.89,9.3
202200003825,4.16,9.12
202200003833,5.07,19.45
202200003863,2.81,4.3
202200003867,4.09,4.23
202200003868,5.7,5.18
202200003870,1.7,5.32
202200003875,5.19,33.04
202200003877,7.42,35.34
202200003879,4.16,12.91
202200003881,1.95,21.65
202200003884,0.83,12.77
202200003887,5.94,10.81
202200003916,10.11,17.76
202200003920,6.38,16.59
202200003921,2.09,27.1
202200003928,4.72,40.31
202200003947,6.98,14.93
202200003960,8.58,13.4
202200003965,8.11,23.75
202200003983,7.67,47.29
202200003984,7.64,13.52
202200003985,7.04,5.65
202200003986,3.62,31.38
202200003988,1.74,25.22
202200003990,4.21,7.47
202200003991,5.13,3.18
202200003992,6.09,7.14
202200003993,1.93,14.44
202200003995,9.53,7.06
202200003997,5.79,12.11
202200003998,6.17,12.71
202200004001,3.69,9.75
202200004003,0.94,7.42
202200004005,4.49,10.98
202200004008,1.6,17.29
202200004010,5.93,4.35
202200004012,4.56,16.65
202200004038,7.15,11.1
202200004042,5.28,14.39
202200004045,4.22,13.91
202200004101,10.51,15.33
202200004105,0.76,17.42
202200004117,13.76,18.07
